#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1270500.1-p1   -            763 5491at5820           -            403  1.3e-197  655.2  63.9   1   4   1.6e-96     2e-93  312.1  25.2     1   184     1   191     1   218 0.89 | transcript=PVP01_1270500.1 | gene=PVP01_1270500 | organism=Plasmodium_vivax_P01 | gene_product=bromodomain protein 4, putative | transcript_product=bromodomain protein 4, putative | location=PvP01_12_v2:2976370-2978661(-) | protein_length=763 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1270500.1-p1   -            763 5491at5820           -            403  1.3e-197  655.2  63.9   2   4   7.4e-27   9.7e-24   82.6   1.4   168   243   236   315   227   327 0.84 | transcript=PVP01_1270500.1 | gene=PVP01_1270500 | organism=Plasmodium_vivax_P01 | gene_product=bromodomain protein 4, putative | transcript_product=bromodomain protein 4, putative | location=PvP01_12_v2:2976370-2978661(-) | protein_length=763 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1270500.1-p1   -            763 5491at5820           -            403  1.3e-197  655.2  63.9   3   4   3.1e-78     4e-75  251.8  11.9   234   381   468   615   439   625 0.95 | transcript=PVP01_1270500.1 | gene=PVP01_1270500 | organism=Plasmodium_vivax_P01 | gene_product=bromodomain protein 4, putative | transcript_product=bromodomain protein 4, putative | location=PvP01_12_v2:2976370-2978661(-) | protein_length=763 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1270500.1-p1   -            763 5491at5820           -            403  1.3e-197  655.2  63.9   4   4   9.7e-10   1.3e-06   26.2   2.4   360   403   695   738   682   738 0.78 | transcript=PVP01_1270500.1 | gene=PVP01_1270500 | organism=Plasmodium_vivax_P01 | gene_product=bromodomain protein 4, putative | transcript_product=bromodomain protein 4, putative | location=PvP01_12_v2:2976370-2978661(-) | protein_length=763 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0511000.1-p1   -           1539 5491at5820           -            403   9.7e-14   49.7   0.3   1   2      0.69     9e+02   -2.9   0.1   209   233  1118  1142  1080  1147 0.65 | transcript=PVP01_0511000.1 | gene=PVP01_0511000 | organism=Plasmodium_vivax_P01 | gene_product=histone acetyltransferase GCN5, putative | transcript_product=histone acetyltransferase GCN5, putative | location=PvP01_05_v2:472790-478013(-) | protein_length=1539 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0511000.1-p1   -           1539 5491at5820           -            403   9.7e-14   49.7   0.3   2   2   7.4e-17   9.7e-14   49.7   0.3    36   107  1454  1525  1426  1532 0.88 | transcript=PVP01_0511000.1 | gene=PVP01_0511000 | organism=Plasmodium_vivax_P01 | gene_product=histone acetyltransferase GCN5, putative | transcript_product=histone acetyltransferase GCN5, putative | location=PvP01_05_v2:472790-478013(-) | protein_length=1539 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0618800.1-p1   -            482 5491at5820           -            403   1.8e-12   45.5   2.2   1   1   2.6e-15   3.4e-12   44.6   2.2    24   123   329   431   316   478 0.73 | transcript=PVP01_0618800.1 | gene=PVP01_0618800 | organism=Plasmodium_vivax_P01 | gene_product=bromodomain protein 1, putative | transcript_product=bromodomain protein 1, putative | location=PvP01_06_v2:771504-773345(+) | protein_length=482 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1452200.1-p1   -           3353 5491at5820           -            403   3.1e-07   28.2  12.5   1   2         5   6.5e+03  -11.0  14.2   162   270  1682  1791  1656  1808 0.75 | transcript=PVP01_1452200.1 | gene=PVP01_1452200 | organism=Plasmodium_vivax_P01 | gene_product=bromodomain protein 5, putative | transcript_product=bromodomain protein 5, putative | location=PvP01_14_v2:2277158-2287219(+) | protein_length=3353 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1452200.1-p1   -           3353 5491at5820           -            403   3.1e-07   28.2  12.5   2   2   2.4e-10   3.1e-07   28.2  12.5     7   104  3157  3255  3150  3294 0.87 | transcript=PVP01_1452200.1 | gene=PVP01_1452200 | organism=Plasmodium_vivax_P01 | gene_product=bromodomain protein 5, putative | transcript_product=bromodomain protein 5, putative | location=PvP01_14_v2:2277158-2287219(+) | protein_length=3353 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0204600.1-p1   -           1567 5491at5820           -            403   2.9e-06   25.1   0.5   1   1   4.6e-09     6e-06   24.0   0.5    46    96   876   926   868   950 0.87 | transcript=PVP01_0204600.1 | gene=PVP01_0204600 | organism=Plasmodium_vivax_P01 | gene_product=bromodomain protein 3, putative | transcript_product=bromodomain protein 3, putative | location=PvP01_02_v2:218248-223110(-) | protein_length=1567 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
