#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0810300.1-p1   -           1751 1570at5820           -           1063         0 1812.6 132.4   1   9  3.2e-103  2.9e-100  335.1  23.5     1   197     1   207     1   211 0.95 | transcript=PVP01_0810300.1 | gene=PVP01_0810300 | organism=Plasmodium_vivax_P01 | gene_product=DNA2/NAM7 helicase, putative | transcript_product=DNA2/NAM7 helicase, putative | location=PvP01_08_v2:454507-459762(-) | protein_length=1751 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0810300.1-p1   -           1751 1570at5820           -           1063         0 1812.6 132.4   2   9   3.9e-57   3.6e-54  182.5   4.5   196   296   299   400   288   404 0.95 | transcript=PVP01_0810300.1 | gene=PVP01_0810300 | organism=Plasmodium_vivax_P01 | gene_product=DNA2/NAM7 helicase, putative | transcript_product=DNA2/NAM7 helicase, putative | location=PvP01_08_v2:454507-459762(-) | protein_length=1751 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0810300.1-p1   -           1751 1570at5820           -           1063         0 1812.6 132.4   3   9      0.28   2.6e+02   -2.5   0.0   295   310   509   524   506   527 0.87 | transcript=PVP01_0810300.1 | gene=PVP01_0810300 | organism=Plasmodium_vivax_P01 | gene_product=DNA2/NAM7 helicase, putative | transcript_product=DNA2/NAM7 helicase, putative | location=PvP01_08_v2:454507-459762(-) | protein_length=1751 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0810300.1-p1   -           1751 1570at5820           -           1063         0 1812.6 132.4   4   9   1.7e-39   1.6e-36  124.1   0.3   307   380   603   677   601   680 0.93 | transcript=PVP01_0810300.1 | gene=PVP01_0810300 | organism=Plasmodium_vivax_P01 | gene_product=DNA2/NAM7 helicase, putative | transcript_product=DNA2/NAM7 helicase, putative | location=PvP01_08_v2:454507-459762(-) | protein_length=1751 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0810300.1-p1   -           1751 1570at5820           -           1063         0 1812.6 132.4   5   9   8.5e-43   7.9e-40  135.0  19.9   373   487   694   843   690   847 0.79 | transcript=PVP01_0810300.1 | gene=PVP01_0810300 | organism=Plasmodium_vivax_P01 | gene_product=DNA2/NAM7 helicase, putative | transcript_product=DNA2/NAM7 helicase, putative | location=PvP01_08_v2:454507-459762(-) | protein_length=1751 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0810300.1-p1   -           1751 1570at5820           -           1063         0 1812.6 132.4   6   9  1.1e-247  9.8e-245  813.4  21.1   487   892   896  1318   879  1330 0.95 | transcript=PVP01_0810300.1 | gene=PVP01_0810300 | organism=Plasmodium_vivax_P01 | gene_product=DNA2/NAM7 helicase, putative | transcript_product=DNA2/NAM7 helicase, putative | location=PvP01_08_v2:454507-459762(-) | protein_length=1751 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0810300.1-p1   -           1751 1570at5820           -           1063         0 1812.6 132.4   7   9   2.2e-65   2.1e-62  209.8   9.7   883  1008  1345  1472  1332  1480 0.94 | transcript=PVP01_0810300.1 | gene=PVP01_0810300 | organism=Plasmodium_vivax_P01 | gene_product=DNA2/NAM7 helicase, putative | transcript_product=DNA2/NAM7 helicase, putative | location=PvP01_08_v2:454507-459762(-) | protein_length=1751 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0810300.1-p1   -           1751 1570at5820           -           1063         0 1812.6 132.4   8   9    0.0041       3.8    3.6   0.2  1003  1028  1506  1531  1492  1538 0.78 | transcript=PVP01_0810300.1 | gene=PVP01_0810300 | organism=Plasmodium_vivax_P01 | gene_product=DNA2/NAM7 helicase, putative | transcript_product=DNA2/NAM7 helicase, putative | location=PvP01_08_v2:454507-459762(-) | protein_length=1751 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0810300.1-p1   -           1751 1570at5820           -           1063         0 1812.6 132.4   9   9   1.9e-16   1.8e-13   47.8   1.1  1024  1063  1709  1748  1703  1748 0.95 | transcript=PVP01_0810300.1 | gene=PVP01_0810300 | organism=Plasmodium_vivax_P01 | gene_product=DNA2/NAM7 helicase, putative | transcript_product=DNA2/NAM7 helicase, putative | location=PvP01_08_v2:454507-459762(-) | protein_length=1751 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1403400.1-p1   -           2656 1570at5820           -           1063     2e-44  150.2  89.6   1   7         7   6.5e+03   -9.8  11.1   234   334   102   207    69   235 0.78 | transcript=PVP01_1403400.1 | gene=PVP01_1403400 | organism=Plasmodium_vivax_P01 | gene_product=AAA domain-containing protein, putative | transcript_product=AAA domain-containing protein, putative | location=PvP01_14_v2:156669-165240(-) | protein_length=2656 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1403400.1-p1   -           2656 1570at5820           -           1063     2e-44  150.2  89.6   2   7         7   6.5e+03   -8.3   7.6   216   255   490   529   404   595 0.51 | transcript=PVP01_1403400.1 | gene=PVP01_1403400 | organism=Plasmodium_vivax_P01 | gene_product=AAA domain-containing protein, putative | transcript_product=AAA domain-containing protein, putative | location=PvP01_14_v2:156669-165240(-) | protein_length=2656 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
