#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1255900.1-p1   -            832 2097at5820           -            830         0 2007.8   4.5   1   1         0         0 2007.6   4.5     1   830     1   832     1   832 1.00 | transcript=PVP01_1255900.1 | gene=PVP01_1255900 | organism=Plasmodium_vivax_P01 | gene_product=elongation factor 2, putative | transcript_product=elongation factor 2, putative | location=PvP01_12_v2:2295092-2297590(-) | protein_length=832 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0803600.1-p1   -           1247 2097at5820           -            830  1.2e-140  468.2   7.2   1   4    0.0032       1.6    4.7   0.0     4    40   168   204   166   212 0.88 | transcript=PVP01_0803600.1 | gene=PVP01_0803600 | organism=Plasmodium_vivax_P01 | gene_product=U5 small nuclear ribonucleoprotein component, putative | transcript_product=U5 small nuclear ribonucleoprotein component, putative | location=PvP01_08_v2:174624-178367(-) | protein_length=1247 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0803600.1-p1   -           1247 2097at5820           -            830  1.2e-140  468.2   7.2   2   4   1.2e-62   5.9e-60  201.3   3.2    54   464   273   710   259   718 0.90 | transcript=PVP01_0803600.1 | gene=PVP01_0803600 | organism=Plasmodium_vivax_P01 | gene_product=U5 small nuclear ribonucleoprotein component, putative | transcript_product=U5 small nuclear ribonucleoprotein component, putative | location=PvP01_08_v2:174624-178367(-) | protein_length=1247 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0803600.1-p1   -           1247 2097at5820           -            830  1.2e-140  468.2   7.2   3   4   5.7e-30   2.8e-27   93.2   0.1   475   596   808   929   797   946 0.93 | transcript=PVP01_0803600.1 | gene=PVP01_0803600 | organism=Plasmodium_vivax_P01 | gene_product=U5 small nuclear ribonucleoprotein component, putative | transcript_product=U5 small nuclear ribonucleoprotein component, putative | location=PvP01_08_v2:174624-178367(-) | protein_length=1247 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0803600.1-p1   -           1247 2097at5820           -            830  1.2e-140  468.2   7.2   4   4   2.6e-52   1.3e-49  167.1   0.0   609   799   998  1192   976  1197 0.93 | transcript=PVP01_0803600.1 | gene=PVP01_0803600 | organism=Plasmodium_vivax_P01 | gene_product=U5 small nuclear ribonucleoprotein component, putative | transcript_product=U5 small nuclear ribonucleoprotein component, putative | location=PvP01_08_v2:174624-178367(-) | protein_length=1247 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1206500.1-p1   -           1395 2097at5820           -            830   4.2e-78  261.3  15.5   1   4   1.6e-18   8.1e-16   55.3   0.2    12    77     6    71     1    81 0.91 | transcript=PVP01_1206500.1 | gene=PVP01_1206500 | organism=Plasmodium_vivax_P01 | gene_product=elongation factor Tu, putative | transcript_product=elongation factor Tu, putative | location=PvP01_12_v2:262608-267241(+) | protein_length=1395 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1206500.1-p1   -           1395 2097at5820           -            830   4.2e-78  261.3  15.5   2   4   6.4e-37   3.2e-34  116.2   3.7    88   378   171   496   157   535 0.77 | transcript=PVP01_1206500.1 | gene=PVP01_1206500 | organism=Plasmodium_vivax_P01 | gene_product=elongation factor Tu, putative | transcript_product=elongation factor Tu, putative | location=PvP01_12_v2:262608-267241(+) | protein_length=1395 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1206500.1-p1   -           1395 2097at5820           -            830   4.2e-78  261.3  15.5   3   4   4.8e-13   2.4e-10   37.2   0.3   454   573   704   824   690   837 0.85 | transcript=PVP01_1206500.1 | gene=PVP01_1206500 | organism=Plasmodium_vivax_P01 | gene_product=elongation factor Tu, putative | transcript_product=elongation factor Tu, putative | location=PvP01_12_v2:262608-267241(+) | protein_length=1395 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1206500.1-p1   -           1395 2097at5820           -            830   4.2e-78  261.3  15.5   4   4   1.9e-19   9.7e-17   58.4   0.0   661   804  1205  1348  1195  1362 0.94 | transcript=PVP01_1206500.1 | gene=PVP01_1206500 | organism=Plasmodium_vivax_P01 | gene_product=elongation factor Tu, putative | transcript_product=elongation factor Tu, putative | location=PvP01_12_v2:262608-267241(+) | protein_length=1395 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1451200.1-p1   -            763 2097at5820           -            830     2e-35  120.2   5.0   1   3   1.1e-21   5.6e-19   65.8   0.3    18   159    40   181    35   197 0.86 | transcript=PVP01_1451200.1 | gene=PVP01_1451200 | organism=Plasmodium_vivax_P01 | gene_product=elongation factor G, putative | transcript_product=elongation factor G, putative | location=PvP01_14_v2:2221901-2224192(-) | protein_length=763 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1451200.1-p1   -            763 2097at5820           -            830     2e-35  120.2   5.0   2   3   1.3e-13   6.4e-11   39.1   0.3   424   590   424   589   316   596 0.83 | transcript=PVP01_1451200.1 | gene=PVP01_1451200 | organism=Plasmodium_vivax_P01 | gene_product=elongation factor G, putative | transcript_product=elongation factor G, putative | location=PvP01_14_v2:2221901-2224192(-) | protein_length=763 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1451200.1-p1   -            763 2097at5820           -            830     2e-35  120.2   5.0   3   3   1.3e-06   0.00066   15.9   0.0   707   786   668   745   608   759 0.83 | transcript=PVP01_1451200.1 | gene=PVP01_1451200 | organism=Plasmodium_vivax_P01 | gene_product=elongation factor G, putative | transcript_product=elongation factor G, putative | location=PvP01_14_v2:2221901-2224192(-) | protein_length=763 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1146500.1-p1   -            923 2097at5820           -            830   2.4e-35  119.9   3.8   1   4   6.7e-26   3.3e-23   79.7   0.7    18   181    98   261    88   289 0.84 | transcript=PVP01_1146500.1 | gene=PVP01_1146500 | organism=Plasmodium_vivax_P01 | gene_product=elongation factor G, putative | transcript_product=elongation factor G, putative | location=PvP01_11_v2:1977749-1980995(+) | protein_length=923 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
