#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0526300.1-p1   -           2224 943at5820            -           1188         0 1662.3  64.4   1  10   2.7e-35   1.7e-31  107.3   0.2     1    78     1    86     1    93 0.89 | transcript=PVP01_0526300.1 | gene=PVP01_0526300 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_05_v2:1061019-1067947(-) | protein_length=2224 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0526300.1-p1   -           2224 943at5820            -           1188         0 1662.3  64.4   2  10   9.8e-48   6.4e-44  148.5   0.0    77   169   189   281   181   285 0.97 | transcript=PVP01_0526300.1 | gene=PVP01_0526300 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_05_v2:1061019-1067947(-) | protein_length=2224 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0526300.1-p1   -           2224 943at5820            -           1188         0 1662.3  64.4   3  10   1.3e-49   8.5e-46  154.7   0.8   170   283   320   445   318   449 0.92 | transcript=PVP01_0526300.1 | gene=PVP01_0526300 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_05_v2:1061019-1067947(-) | protein_length=2224 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0526300.1-p1   -           2224 943at5820            -           1188         0 1662.3  64.4   4  10  5.6e-119  3.7e-115  384.4  11.3   284   517   488   756   480   764 0.88 | transcript=PVP01_0526300.1 | gene=PVP01_0526300 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_05_v2:1061019-1067947(-) | protein_length=2224 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0526300.1-p1   -           2224 943at5820            -           1188         0 1662.3  64.4   5  10   4.2e-48   2.8e-44  149.7   0.2   520   610   911  1001   907  1004 0.97 | transcript=PVP01_0526300.1 | gene=PVP01_0526300 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_05_v2:1061019-1067947(-) | protein_length=2224 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0526300.1-p1   -           2224 943at5820            -           1188         0 1662.3  64.4   6  10     1e-42   6.8e-39  131.8   0.0   610   710  1034  1143  1027  1148 0.93 | transcript=PVP01_0526300.1 | gene=PVP01_0526300 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_05_v2:1061019-1067947(-) | protein_length=2224 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0526300.1-p1   -           2224 943at5820            -           1188         0 1662.3  64.4   7  10   7.6e-18   4.9e-14   49.5   0.1   711   770  1263  1327  1249  1349 0.86 | transcript=PVP01_0526300.1 | gene=PVP01_0526300 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_05_v2:1061019-1067947(-) | protein_length=2224 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0526300.1-p1   -           2224 943at5820            -           1188         0 1662.3  64.4   8  10   8.8e-43   5.7e-39  132.1   2.9   778   884  1553  1666  1528  1670 0.91 | transcript=PVP01_0526300.1 | gene=PVP01_0526300 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_05_v2:1061019-1067947(-) | protein_length=2224 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0526300.1-p1   -           2224 943at5820            -           1188         0 1662.3  64.4   9  10   2.6e-54   1.7e-50  170.3   3.8   906  1027  1837  1968  1831  1978 0.86 | transcript=PVP01_0526300.1 | gene=PVP01_0526300 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_05_v2:1061019-1067947(-) | protein_length=2224 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0526300.1-p1   -           2224 943at5820            -           1188         0 1662.3  64.4  10  10   6.8e-80   4.4e-76  255.0   4.6  1032  1188  2043  2216  2030  2216 0.91 | transcript=PVP01_0526300.1 | gene=PVP01_0526300 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_05_v2:1061019-1067947(-) | protein_length=2224 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/943at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/943at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/943at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:51:07 2026
# [ok]
