#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1226300.1-p1   -            270 9338at5820           -            247  1.5e-161  533.9   1.1   1   1    2e-164  1.7e-161  533.8   1.1     1   247     1   261     1   261 0.97 | transcript=PVP01_1226300.1 | gene=PVP01_1226300 | organism=Plasmodium_vivax_P01 | gene_product=proteasome subunit beta type-7, putative | transcript_product=proteasome subunit beta type-7, putative | location=PvP01_12_v2:1033108-1033920(-) | protein_length=270 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0811500.1-p1   -            273 9338at5820           -            247   2.4e-24   84.6   0.5   1   1   3.8e-27   3.1e-24   84.2   0.5    32   218    58   245    37   263 0.91 | transcript=PVP01_0811500.1 | gene=PVP01_0811500 | organism=Plasmodium_vivax_P01 | gene_product=proteasome subunit beta type-5, putative | transcript_product=proteasome subunit beta type-5, putative | location=PvP01_08_v2:492259-493080(-) | protein_length=273 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0730500.1-p1   -            282 9338at5820           -            247   2.1e-20   71.6   0.9   1   2   1.9e-10   1.5e-07   29.5   0.1    36    98    28    90    15   106 0.85 | transcript=PVP01_0730500.1 | gene=PVP01_0730500 | organism=Plasmodium_vivax_P01 | gene_product=proteasome subunit beta type-6, putative | transcript_product=proteasome subunit beta type-6, putative | location=PvP01_07_v2:1291584-1292432(-) | protein_length=282 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0730500.1-p1   -            282 9338at5820           -            247   2.1e-20   71.6   0.9   2   2   6.2e-14   5.1e-11   40.9   0.1   117   216   162   265   123   280 0.86 | transcript=PVP01_0730500.1 | gene=PVP01_0730500 | organism=Plasmodium_vivax_P01 | gene_product=proteasome subunit beta type-6, putative | transcript_product=proteasome subunit beta type-6, putative | location=PvP01_07_v2:1291584-1292432(-) | protein_length=282 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1117900.1-p1   -            246 9338at5820           -            247     6e-12   44.0   0.0   1   1   9.3e-15   7.6e-12   43.6   0.0    39   195    33   196    22   221 0.76 | transcript=PVP01_1117900.1 | gene=PVP01_1117900 | organism=Plasmodium_vivax_P01 | gene_product=proteasome subunit alpha type-4, putative | transcript_product=proteasome subunit alpha type-4, putative | location=PvP01_11_v2:758711-759594(+) | protein_length=246 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0213100.1-p1   -            256 9338at5820           -            247     1e-11   43.2   0.0   1   1   2.2e-14   1.8e-11   42.4   0.0    35   219    32   228    27   250 0.77 | transcript=PVP01_0213100.1 | gene=PVP01_0213100 | organism=Plasmodium_vivax_P01 | gene_product=proteasome subunit alpha type-5, putative | transcript_product=proteasome subunit alpha type-5, putative | location=PvP01_02_v2:548876-550047(+) | protein_length=256 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1015600.1-p1   -            241 9338at5820           -            247     2e-10   39.0   0.0   1   1   3.2e-13   2.6e-10   38.6   0.0    22   215    20   227     5   233 0.75 | transcript=PVP01_1015600.1 | gene=PVP01_1015600 | organism=Plasmodium_vivax_P01 | gene_product=proteasome subunit beta type-1, putative | transcript_product=proteasome subunit beta type-1, putative | location=PvP01_10_v2:702214-703680(+) | protein_length=241 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1235900.1-p1   -            195 9338at5820           -            247   4.4e-06   24.7   0.0   1   1   6.6e-09   5.4e-06   24.5   0.0    39   187     3   156     1   165 0.80 | transcript=PVP01_1235900.1 | gene=PVP01_1235900 | organism=Plasmodium_vivax_P01 | gene_product=proteasome subunit beta type-2, putative | transcript_product=proteasome subunit beta type-2, putative | location=PvP01_12_v2:1432237-1433031(-) | protein_length=195 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0116400.1-p1   -            256 9338at5820           -            247   5.8e-06   24.4   0.0   1   2     0.015        13    3.6   0.0    36    88     8    60     5    95 0.80 | transcript=PVP01_0116400.1 | gene=PVP01_0116400 | organism=Plasmodium_vivax_P01 | gene_product=proteasome subunit beta type-4, putative | transcript_product=proteasome subunit beta type-4, putative | location=PvP01_01_v2:743975-744899(+) | protein_length=256 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0116400.1-p1   -            256 9338at5820           -            247   5.8e-06   24.4   0.0   2   2   3.7e-07    0.0003   18.7   0.0   152   223   158   230   143   248 0.87 | transcript=PVP01_0116400.1 | gene=PVP01_0116400 | organism=Plasmodium_vivax_P01 | gene_product=proteasome subunit beta type-4, putative | transcript_product=proteasome subunit beta type-4, putative | location=PvP01_01_v2:743975-744899(+) | protein_length=256 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/9338at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/9338at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/9338at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:50:44 2026
# [ok]
