#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1444000.1-p1   -           1143 1289at5820           -            955         0 1797.0  50.3   1   3    2e-138  1.6e-135  452.2  12.6     6   254    37   308    33   316 0.94 | transcript=PVP01_1444000.1 | gene=PVP01_1444000 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-activating enzyme E1, putative | transcript_product=ubiquitin-activating enzyme E1, putative | location=PvP01_14_v2:1907310-1911281(+) | protein_length=1143 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1444000.1-p1   -           1143 1289at5820           -            955         0 1797.0  50.3   2   3   7.7e-49   6.3e-46  155.6   0.4   253   355   351   475   341   483 0.89 | transcript=PVP01_1444000.1 | gene=PVP01_1444000 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-activating enzyme E1, putative | transcript_product=ubiquitin-activating enzyme E1, putative | location=PvP01_14_v2:1907310-1911281(+) | protein_length=1143 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1444000.1-p1   -           1143 1289at5820           -            955         0 1797.0  50.3   3   3         0         0 1198.9  23.5   355   955   504  1143   501  1143 0.96 | transcript=PVP01_1444000.1 | gene=PVP01_1444000 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-activating enzyme E1, putative | transcript_product=ubiquitin-activating enzyme E1, putative | location=PvP01_14_v2:1907310-1911281(+) | protein_length=1143 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1221500.1-p1   -           1684 1289at5820           -            955   5.2e-63  212.2  33.1   1   4   2.4e-20     2e-17   61.3  10.6    15   179   196   380   189   429 0.79 | transcript=PVP01_1221500.1 | gene=PVP01_1221500 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-activating enzyme, putative | transcript_product=ubiquitin-activating enzyme, putative | location=PvP01_12_v2:850965-856019(-) | protein_length=1684 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1221500.1-p1   -           1684 1289at5820           -            955   5.2e-63  212.2  33.1   2   4   1.2e-30   9.4e-28   95.5   1.1   277   447   558   752   544   766 0.80 | transcript=PVP01_1221500.1 | gene=PVP01_1221500 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-activating enzyme, putative | transcript_product=ubiquitin-activating enzyme, putative | location=PvP01_12_v2:850965-856019(-) | protein_length=1684 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1221500.1-p1   -           1684 1289at5820           -            955   5.2e-63  212.2  33.1   3   4   3.5e-18   2.9e-15   54.2   3.3   469   651   817   994   809  1025 0.81 | transcript=PVP01_1221500.1 | gene=PVP01_1221500 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-activating enzyme, putative | transcript_product=ubiquitin-activating enzyme, putative | location=PvP01_12_v2:850965-856019(-) | protein_length=1684 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1221500.1-p1   -           1684 1289at5820           -            955   5.2e-63  212.2  33.1   4   4   6.4e-06    0.0052   13.6   0.1   745   801  1198  1254  1186  1259 0.91 | transcript=PVP01_1221500.1 | gene=PVP01_1221500 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-activating enzyme, putative | transcript_product=ubiquitin-activating enzyme, putative | location=PvP01_12_v2:850965-856019(-) | protein_length=1684 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1455100.1-p1   -            631 1289at5820           -            955   1.9e-40  137.5  10.7   1   2     2e-34   1.6e-31  108.0   5.1   363   566     7   213     3   242 0.87 | transcript=PVP01_1455100.1 | gene=PVP01_1455100 | organism=Plasmodium_vivax_P01 | gene_product=SUMO-activating enzyme subunit 2, putative | transcript_product=SUMO-activating enzyme subunit 2, putative | location=PvP01_14_v2:2392635-2394655(+) | protein_length=631 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1455100.1-p1   -            631 1289at5820           -            955   1.9e-40  137.5  10.7   2   2   1.4e-11   1.1e-08   32.3   0.3   734   804   338   406   321   413 0.89 | transcript=PVP01_1455100.1 | gene=PVP01_1455100 | organism=Plasmodium_vivax_P01 | gene_product=SUMO-activating enzyme subunit 2, putative | transcript_product=SUMO-activating enzyme subunit 2, putative | location=PvP01_14_v2:2392635-2394655(+) | protein_length=631 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0518300.1-p1   -            406 1289at5820           -            955   3.4e-18   63.8   1.3   1   2   1.5e-19   1.3e-16   58.7   0.3   377   508     5   137     1   143 0.88 | transcript=PVP01_0518300.1 | gene=PVP01_0518300 | organism=Plasmodium_vivax_P01 | gene_product=NEDD8-activating enzyme E1 catalytic subunit, putative | transcript_product=NEDD8-activating enzyme E1 catalytic subunit, putative | location=PvP01_05_v2:766293-767513(-) | protein_length=406 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0518300.1-p1   -            406 1289at5820           -            955   3.4e-18   63.8   1.3   2   2    0.0054       4.4    3.9   0.0   743   794   212   263   196   272 0.77 | transcript=PVP01_0518300.1 | gene=PVP01_0518300 | organism=Plasmodium_vivax_P01 | gene_product=NEDD8-activating enzyme E1 catalytic subunit, putative | transcript_product=NEDD8-activating enzyme E1 catalytic subunit, putative | location=PvP01_05_v2:766293-767513(-) | protein_length=406 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
