#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1253600.1-p1   -           1852 933at5820            -           1217         0 1938.1 163.4   1   9   5.3e-95   3.4e-91  305.4  17.8     1   181     1   187     1   205 0.95 | transcript=PVP01_1253600.1 | gene=PVP01_1253600 | organism=Plasmodium_vivax_P01 | gene_product=gamma-tubulin complex component, putative | transcript_product=gamma-tubulin complex component, putative | location=PvP01_12_v2:2190508-2196066(-) | protein_length=1852 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1253600.1-p1   -           1852 933at5820            -           1217         0 1938.1 163.4   2   9   4.3e-22   2.8e-18   63.9   0.2   177   221   232   276   213   294 0.90 | transcript=PVP01_1253600.1 | gene=PVP01_1253600 | organism=Plasmodium_vivax_P01 | gene_product=gamma-tubulin complex component, putative | transcript_product=gamma-tubulin complex component, putative | location=PvP01_12_v2:2190508-2196066(-) | protein_length=1852 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1253600.1-p1   -           1852 933at5820            -           1217         0 1938.1 163.4   3   9   7.9e-24   5.2e-20   69.6   0.3   218   283   330   404   307   410 0.86 | transcript=PVP01_1253600.1 | gene=PVP01_1253600 | organism=Plasmodium_vivax_P01 | gene_product=gamma-tubulin complex component, putative | transcript_product=gamma-tubulin complex component, putative | location=PvP01_12_v2:2190508-2196066(-) | protein_length=1852 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1253600.1-p1   -           1852 933at5820            -           1217         0 1938.1 163.4   4   9  3.5e-117  2.3e-113  378.9  28.1   280   521   484   763   461   783 0.88 | transcript=PVP01_1253600.1 | gene=PVP01_1253600 | organism=Plasmodium_vivax_P01 | gene_product=gamma-tubulin complex component, putative | transcript_product=gamma-tubulin complex component, putative | location=PvP01_12_v2:2190508-2196066(-) | protein_length=1852 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1253600.1-p1   -           1852 933at5820            -           1217         0 1938.1 163.4   5   9  3.2e-105  2.1e-101  339.2  11.6   512   703   798   998   792  1021 0.93 | transcript=PVP01_1253600.1 | gene=PVP01_1253600 | organism=Plasmodium_vivax_P01 | gene_product=gamma-tubulin complex component, putative | transcript_product=gamma-tubulin complex component, putative | location=PvP01_12_v2:2190508-2196066(-) | protein_length=1852 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1253600.1-p1   -           1852 933at5820            -           1217         0 1938.1 163.4   6   9   2.1e-86   1.4e-82  276.9  12.8   701   865  1083  1259  1080  1271 0.91 | transcript=PVP01_1253600.1 | gene=PVP01_1253600 | organism=Plasmodium_vivax_P01 | gene_product=gamma-tubulin complex component, putative | transcript_product=gamma-tubulin complex component, putative | location=PvP01_12_v2:2190508-2196066(-) | protein_length=1852 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1253600.1-p1   -           1852 933at5820            -           1217         0 1938.1 163.4   7   9  2.1e-105  1.4e-101  339.8  22.7   863  1066  1365  1580  1360  1596 0.93 | transcript=PVP01_1253600.1 | gene=PVP01_1253600 | organism=Plasmodium_vivax_P01 | gene_product=gamma-tubulin complex component, putative | transcript_product=gamma-tubulin complex component, putative | location=PvP01_12_v2:2190508-2196066(-) | protein_length=1852 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1253600.1-p1   -           1852 933at5820            -           1217         0 1938.1 163.4   8   9   1.6e-26   1.1e-22   78.5  10.3  1065  1139  1647  1738  1638  1743 0.76 | transcript=PVP01_1253600.1 | gene=PVP01_1253600 | organism=Plasmodium_vivax_P01 | gene_product=gamma-tubulin complex component, putative | transcript_product=gamma-tubulin complex component, putative | location=PvP01_12_v2:2190508-2196066(-) | protein_length=1852 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1253600.1-p1   -           1852 933at5820            -           1217         0 1938.1 163.4   9   9   9.7e-41   6.3e-37  125.6   1.6  1137  1217  1763  1843  1755  1843 0.97 | transcript=PVP01_1253600.1 | gene=PVP01_1253600 | organism=Plasmodium_vivax_P01 | gene_product=gamma-tubulin complex component, putative | transcript_product=gamma-tubulin complex component, putative | location=PvP01_12_v2:2190508-2196066(-) | protein_length=1852 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/933at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/933at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/933at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:50:45 2026
# [ok]
