#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0908600.1-p1   -           2020 2702at5820           -            961         0 1124.0 174.7   1  16      0.15   9.9e+02   -3.8   0.3     1    14     1    14     1    15 0.93 | transcript=PVP01_0908600.1 | gene=PVP01_0908600 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor AP2-P, putative | transcript_product=AP2 domain transcription factor AP2-P, putative | location=PvP01_09_v2:455562-461780(-) | protein_length=2020 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0908600.1-p1   -           2020 2702at5820           -            961         0 1124.0 174.7   2  16   2.2e-28   1.5e-24   85.0   7.7     9   106    35   136    29   173 0.68 | transcript=PVP01_0908600.1 | gene=PVP01_0908600 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor AP2-P, putative | transcript_product=AP2 domain transcription factor AP2-P, putative | location=PvP01_09_v2:455562-461780(-) | protein_length=2020 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0908600.1-p1   -           2020 2702at5820           -            961         0 1124.0 174.7   3  16     0.015        97   -0.5   1.3    78   105   142   172   115   211 0.76 | transcript=PVP01_0908600.1 | gene=PVP01_0908600 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor AP2-P, putative | transcript_product=AP2 domain transcription factor AP2-P, putative | location=PvP01_09_v2:455562-461780(-) | protein_length=2020 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0908600.1-p1   -           2020 2702at5820           -            961         0 1124.0 174.7   4  16     0.001       6.8    3.4   4.2   100   132   299   333   291   357 0.73 | transcript=PVP01_0908600.1 | gene=PVP01_0908600 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor AP2-P, putative | transcript_product=AP2 domain transcription factor AP2-P, putative | location=PvP01_09_v2:455562-461780(-) | protein_length=2020 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0908600.1-p1   -           2020 2702at5820           -            961         0 1124.0 174.7   5  16   2.7e-12   1.7e-08   31.8   6.9    85   185   338   446   331   457 0.81 | transcript=PVP01_0908600.1 | gene=PVP01_0908600 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor AP2-P, putative | transcript_product=AP2 domain transcription factor AP2-P, putative | location=PvP01_09_v2:455562-461780(-) | protein_length=2020 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0908600.1-p1   -           2020 2702at5820           -            961         0 1124.0 174.7   6  16   6.5e-57   4.3e-53  179.5   8.9   186   291   600   705   594   710 0.96 | transcript=PVP01_0908600.1 | gene=PVP01_0908600 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor AP2-P, putative | transcript_product=AP2 domain transcription factor AP2-P, putative | location=PvP01_09_v2:455562-461780(-) | protein_length=2020 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0908600.1-p1   -           2020 2702at5820           -            961         0 1124.0 174.7   7  16   5.2e-22   3.4e-18   63.9   0.0   281   337   717   773   711   805 0.88 | transcript=PVP01_0908600.1 | gene=PVP01_0908600 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor AP2-P, putative | transcript_product=AP2 domain transcription factor AP2-P, putative | location=PvP01_09_v2:455562-461780(-) | protein_length=2020 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0908600.1-p1   -           2020 2702at5820           -            961         0 1124.0 174.7   8  16  5.8e-103   3.8e-99  331.9  29.3   348   573   911  1157   885  1160 0.91 | transcript=PVP01_0908600.1 | gene=PVP01_0908600 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor AP2-P, putative | transcript_product=AP2 domain transcription factor AP2-P, putative | location=PvP01_09_v2:455562-461780(-) | protein_length=2020 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0908600.1-p1   -           2020 2702at5820           -            961         0 1124.0 174.7   9  16   5.6e-12   3.6e-08   30.7   0.1   572   597  1226  1251  1224  1259 0.94 | transcript=PVP01_0908600.1 | gene=PVP01_0908600 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor AP2-P, putative | transcript_product=AP2 domain transcription factor AP2-P, putative | location=PvP01_09_v2:455562-461780(-) | protein_length=2020 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0908600.1-p1   -           2020 2702at5820           -            961         0 1124.0 174.7  10  16   1.5e-13   9.9e-10   35.9   0.2   597   641  1288  1345  1284  1355 0.83 | transcript=PVP01_0908600.1 | gene=PVP01_0908600 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor AP2-P, putative | transcript_product=AP2 domain transcription factor AP2-P, putative | location=PvP01_09_v2:455562-461780(-) | protein_length=2020 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0908600.1-p1   -           2020 2702at5820           -            961         0 1124.0 174.7  11  16   6.6e-10   4.3e-06   23.9   7.8   644   705  1392  1447  1387  1477 0.61 | transcript=PVP01_0908600.1 | gene=PVP01_0908600 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor AP2-P, putative | transcript_product=AP2 domain transcription factor AP2-P, putative | location=PvP01_09_v2:455562-461780(-) | protein_length=2020 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
