#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1326000.1-p1   -            533 6247at5820           -            432  3.7e-255  844.9  32.3   1   1  2.4e-256  2.2e-253  839.0  32.3     1   432     1   475     1   475 0.95 | transcript=PVP01_1326000.1 | gene=PVP01_1326000 | organism=Plasmodium_vivax_P01 | gene_product=nucleolar GTP-binding protein 2, putative | transcript_product=nucleolar GTP-binding protein 2, putative | location=PvP01_13_v2:1132456-1134057(+) | protein_length=533 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1318100.1-p1   -            780 6247at5820           -            432   2.8e-18   64.3   2.3   1   4      0.85   7.9e+02   -3.0   0.2   261   295   120   154   112   161 0.56 | transcript=PVP01_1318100.1 | gene=PVP01_1318100 | organism=Plasmodium_vivax_P01 | gene_product=large subunit GTPase 1, putative | transcript_product=large subunit GTPase 1, putative | location=PvP01_13_v2:841539-844043(-) | protein_length=780 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1318100.1-p1   -            780 6247at5820           -            432   2.8e-18   64.3   2.3   2   4   4.2e-10   3.9e-07   27.6   0.0   173   238   340   405   292   428 0.90 | transcript=PVP01_1318100.1 | gene=PVP01_1318100 | organism=Plasmodium_vivax_P01 | gene_product=large subunit GTPase 1, putative | transcript_product=large subunit GTPase 1, putative | location=PvP01_13_v2:841539-844043(-) | protein_length=780 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1318100.1-p1   -            780 6247at5820           -            432   2.8e-18   64.3   2.3   3   4   5.8e-12   5.4e-09   33.8   0.1   282   336   540   595   531   620 0.84 | transcript=PVP01_1318100.1 | gene=PVP01_1318100 | organism=Plasmodium_vivax_P01 | gene_product=large subunit GTPase 1, putative | transcript_product=large subunit GTPase 1, putative | location=PvP01_13_v2:841539-844043(-) | protein_length=780 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1318100.1-p1   -            780 6247at5820           -            432   2.8e-18   64.3   2.3   4   4      0.12   1.1e+02   -0.2   0.0   403   430   686   713   664   715 0.81 | transcript=PVP01_1318100.1 | gene=PVP01_1318100 | organism=Plasmodium_vivax_P01 | gene_product=large subunit GTPase 1, putative | transcript_product=large subunit GTPase 1, putative | location=PvP01_13_v2:841539-844043(-) | protein_length=780 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1313000.1-p1   -            417 6247at5820           -            432   1.7e-13   48.6   6.6   1   1   3.6e-15   3.3e-12   44.3   6.6   178   302   102   223    97   328 0.82 | transcript=PVP01_1313000.1 | gene=PVP01_1313000 | organism=Plasmodium_vivax_P01 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=PvP01_13_v2:585179-586432(-) | protein_length=417 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1313700.1-p1   -            499 6247at5820           -            432     6e-07   27.0   1.2   1   2   8.4e-09   7.9e-06   23.3   0.2   278   339   102   166    90   181 0.77 | transcript=PVP01_1313700.1 | gene=PVP01_1313700 | organism=Plasmodium_vivax_P01 | gene_product=GTPase Era, putative | transcript_product=GTPase Era, putative | location=PvP01_13_v2:620234-621733(-) | protein_length=499 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1313700.1-p1   -            499 6247at5820           -            432     6e-07   27.0   1.2   2   2     0.026        24    2.0   0.0   218   248   333   360   324   394 0.76 | transcript=PVP01_1313700.1 | gene=PVP01_1313700 | organism=Plasmodium_vivax_P01 | gene_product=GTPase Era, putative | transcript_product=GTPase Era, putative | location=PvP01_13_v2:620234-621733(-) | protein_length=499 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0310000.1-p1   -            788 6247at5820           -            432   8.2e-06   23.3   5.8   1   3    0.0077       7.2    3.7   0.1   124   195   364   438   357   485 0.81 | transcript=PVP01_0310000.1 | gene=PVP01_0310000 | organism=Plasmodium_vivax_P01 | gene_product=ribosome biogenesis GTPase A, putative | transcript_product=ribosome biogenesis GTPase A, putative | location=PvP01_03_v2:452864-455230(-) | protein_length=788 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0310000.1-p1   -            788 6247at5820           -            432   8.2e-06   23.3   5.8   2   3   3.3e-08   3.1e-05   21.4   0.2   271   339   537   609   509   637 0.76 | transcript=PVP01_0310000.1 | gene=PVP01_0310000 | organism=Plasmodium_vivax_P01 | gene_product=ribosome biogenesis GTPase A, putative | transcript_product=ribosome biogenesis GTPase A, putative | location=PvP01_03_v2:452864-455230(-) | protein_length=788 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0310000.1-p1   -            788 6247at5820           -            432   8.2e-06   23.3   5.8   3   3      0.22     2e+02   -1.1   0.1   316   379   647   708   640   732 0.68 | transcript=PVP01_0310000.1 | gene=PVP01_0310000 | organism=Plasmodium_vivax_P01 | gene_product=ribosome biogenesis GTPase A, putative | transcript_product=ribosome biogenesis GTPase A, putative | location=PvP01_03_v2:452864-455230(-) | protein_length=788 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
