#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0923600.1-p1   -           2156 1047at5820           -            938         0 1238.8 132.2   1  12   1.1e-29     7e-26   89.1   9.0     1    79    34   121    34   129 0.92 | transcript=PVP01_0923600.1 | gene=PVP01_0923600 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_09_v2:1045466-1051936(-) | protein_length=2156 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0923600.1-p1   -           2156 1047at5820           -            938         0 1238.8 132.2   2  12   2.2e-46   1.4e-42  144.3   7.6    81   191   184   298   166   304 0.92 | transcript=PVP01_0923600.1 | gene=PVP01_0923600 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_09_v2:1045466-1051936(-) | protein_length=2156 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0923600.1-p1   -           2156 1047at5820           -            938         0 1238.8 132.2   3  12   6.8e-31   4.5e-27   93.1   1.4   182   263   378   461   374   466 0.93 | transcript=PVP01_0923600.1 | gene=PVP01_0923600 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_09_v2:1045466-1051936(-) | protein_length=2156 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0923600.1-p1   -           2156 1047at5820           -            938         0 1238.8 132.2   4  12   3.3e-13   2.1e-09   34.5   0.0   260   293   493   526   480   529 0.92 | transcript=PVP01_0923600.1 | gene=PVP01_0923600 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_09_v2:1045466-1051936(-) | protein_length=2156 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0923600.1-p1   -           2156 1047at5820           -            938         0 1238.8 132.2   5  12       0.7   4.6e+03   -6.3   3.0   293   309   595   611   595   613 0.78 | transcript=PVP01_0923600.1 | gene=PVP01_0923600 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_09_v2:1045466-1051936(-) | protein_length=2156 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0923600.1-p1   -           2156 1047at5820           -            938         0 1238.8 132.2   6  12   2.8e-23   1.8e-19   67.9   4.1   307   383   642   736   636   741 0.86 | transcript=PVP01_0923600.1 | gene=PVP01_0923600 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_09_v2:1045466-1051936(-) | protein_length=2156 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0923600.1-p1   -           2156 1047at5820           -            938         0 1238.8 132.2   7  12   1.3e-78   8.6e-75  251.0   4.9   378   511   834   968   826   981 0.94 | transcript=PVP01_0923600.1 | gene=PVP01_0923600 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_09_v2:1045466-1051936(-) | protein_length=2156 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0923600.1-p1   -           2156 1047at5820           -            938         0 1238.8 132.2   8  12   8.1e-43   5.3e-39  132.5   2.8   510   590   996  1078   993  1082 0.95 | transcript=PVP01_0923600.1 | gene=PVP01_0923600 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_09_v2:1045466-1051936(-) | protein_length=2156 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0923600.1-p1   -           2156 1047at5820           -            938         0 1238.8 132.2   9  12   1.8e-65   1.2e-61  207.5  13.4   594   725  1113  1252  1105  1256 0.92 | transcript=PVP01_0923600.1 | gene=PVP01_0923600 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_09_v2:1045466-1051936(-) | protein_length=2156 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0923600.1-p1   -           2156 1047at5820           -            938         0 1238.8 132.2  10  12   1.5e-36   9.6e-33  111.8   1.7   724   792  1298  1366  1294  1385 0.87 | transcript=PVP01_0923600.1 | gene=PVP01_0923600 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_09_v2:1045466-1051936(-) | protein_length=2156 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0923600.1-p1   -           2156 1047at5820           -            938         0 1238.8 132.2  11  12   5.2e-19   3.4e-15   53.7   3.6   787   869  1633  1733  1626  1757 0.74 | transcript=PVP01_0923600.1 | gene=PVP01_0923600 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_09_v2:1045466-1051936(-) | protein_length=2156 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
