#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0312600.1-p1   -            327 7874at5820           -            267  5.3e-169  559.1   5.1   1   1  5.2e-171  2.4e-168  557.0   5.1     1   267     1   296     1   296 0.96 | transcript=PVP01_0312600.1 | gene=PVP01_0312600 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic translation initiation factor 3 subunit I, putative | transcript_product=eukaryotic translation initiation factor 3 subunit I, putative | location=PvP01_03_v2:546721-548166(-) | protein_length=327 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1412200.1-p1   -            524 7874at5820           -            267   4.1e-08   31.6   4.2   1   2   1.1e-09     5e-07   28.0   0.3   127   187   281   341   262   356 0.86 | transcript=PVP01_1412200.1 | gene=PVP01_1412200 | organism=Plasmodium_vivax_P01 | gene_product=transducin beta-like protein TBL1, putative | transcript_product=transducin beta-like protein TBL1, putative | location=PvP01_14_v2:542094-543668(-) | protein_length=524 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1412200.1-p1   -            524 7874at5820           -            267   4.1e-08   31.6   4.2   2   2     0.021       9.7    4.1   0.4    37    77   354   394   348   408 0.82 | transcript=PVP01_1412200.1 | gene=PVP01_1412200 | organism=Plasmodium_vivax_P01 | gene_product=transducin beta-like protein TBL1, putative | transcript_product=transducin beta-like protein TBL1, putative | location=PvP01_14_v2:542094-543668(-) | protein_length=524 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0507600.1-p1   -            322 7874at5820           -            267   3.7e-07   28.5   1.4   1   3    0.0029       1.4    6.9   0.1   129   184    35    97    25   100 0.81 | transcript=PVP01_0507600.1 | gene=PVP01_0507600 | organism=Plasmodium_vivax_P01 | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=PvP01_05_v2:335035-336445(+) | protein_length=322 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0507600.1-p1   -            322 7874at5820           -            267   3.7e-07   28.5   1.4   2   3   1.1e-05    0.0053   14.8   0.0   140   223    95   177    92   179 0.84 | transcript=PVP01_0507600.1 | gene=PVP01_0507600 | organism=Plasmodium_vivax_P01 | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=PvP01_05_v2:335035-336445(+) | protein_length=322 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0507600.1-p1   -            322 7874at5820           -            267   3.7e-07   28.5   1.4   3   3     0.003       1.4    6.9   0.0   128   187   170   229   149   252 0.79 | transcript=PVP01_0507600.1 | gene=PVP01_0507600 | organism=Plasmodium_vivax_P01 | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=PvP01_05_v2:335035-336445(+) | protein_length=322 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0946700.1-p1   -            660 7874at5820           -            267   6.1e-07   27.8   3.8   1   4      0.58   2.7e+02   -0.6   0.0    59   110    12    65     7    91 0.82 | transcript=PVP01_0946700.1 | gene=PVP01_0946700 | organism=Plasmodium_vivax_P01 | gene_product=ribosome assembly protein 4, putative | transcript_product=ribosome assembly protein 4, putative | location=PvP01_09_v2:2037475-2039457(-) | protein_length=660 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0946700.1-p1   -            660 7874at5820           -            267   6.1e-07   27.8   3.8   2   4   0.00027      0.13   10.3   0.0   122   167   170   215   146   228 0.82 | transcript=PVP01_0946700.1 | gene=PVP01_0946700 | organism=Plasmodium_vivax_P01 | gene_product=ribosome assembly protein 4, putative | transcript_product=ribosome assembly protein 4, putative | location=PvP01_09_v2:2037475-2039457(-) | protein_length=660 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0946700.1-p1   -            660 7874at5820           -            267   6.1e-07   27.8   3.8   3   4   0.00075      0.35    8.9   0.1   132   173   387   428   364   451 0.87 | transcript=PVP01_0946700.1 | gene=PVP01_0946700 | organism=Plasmodium_vivax_P01 | gene_product=ribosome assembly protein 4, putative | transcript_product=ribosome assembly protein 4, putative | location=PvP01_09_v2:2037475-2039457(-) | protein_length=660 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0946700.1-p1   -            660 7874at5820           -            267   6.1e-07   27.8   3.8   4   4    0.0067       3.1    5.8   0.0   114   186   493   565   481   578 0.86 | transcript=PVP01_0946700.1 | gene=PVP01_0946700 | organism=Plasmodium_vivax_P01 | gene_product=ribosome assembly protein 4, putative | transcript_product=ribosome assembly protein 4, putative | location=PvP01_09_v2:2037475-2039457(-) | protein_length=660 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1458200.1-p1   -            472 7874at5820           -            267   6.8e-05   21.1   1.8   1   2       1.3     6e+02   -1.7   0.0   120   184    90   156    83   186 0.68 | transcript=PVP01_1458200.1 | gene=PVP01_1458200 | organism=Plasmodium_vivax_P01 | gene_product=polyadenylation factor subunit 2, putative | transcript_product=polyadenylation factor subunit 2, putative | location=PvP01_14_v2:2537122-2538780(-) | protein_length=472 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
