#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1424700.1-p1   -            771 3302at5820           -            593         0 1262.2  31.4   1   2  3.9e-135  1.6e-132  441.6   5.9     1   205    99   308    99   328 0.96 | transcript=PVP01_1424700.1 | gene=PVP01_1424700 | organism=Plasmodium_vivax_P01 | gene_product=GTP-binding translation elongation factor tu family protein, putative | transcript_product=GTP-binding translation elongation factor tu family protein, putative | location=PvP01_14_v2:1065963-1068278(+) | protein_length=771 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1424700.1-p1   -            771 3302at5820           -            593         0 1262.2  31.4   2   2  9.2e-252  3.8e-249  826.7  17.4   204   593   364   769   357   769 0.96 | transcript=PVP01_1424700.1 | gene=PVP01_1424700 | organism=Plasmodium_vivax_P01 | gene_product=GTP-binding translation elongation factor tu family protein, putative | transcript_product=GTP-binding translation elongation factor tu family protein, putative | location=PvP01_14_v2:1065963-1068278(+) | protein_length=771 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1451200.1-p1   -            763 3302at5820           -            593   4.3e-29  100.0   8.6   1   3   1.6e-22   6.6e-20   69.7   0.2     8   134    38   177    32   197 0.78 | transcript=PVP01_1451200.1 | gene=PVP01_1451200 | organism=Plasmodium_vivax_P01 | gene_product=elongation factor G, putative | transcript_product=elongation factor G, putative | location=PvP01_14_v2:2221901-2224192(-) | protein_length=763 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1451200.1-p1   -            763 3302at5820           -            593   4.3e-29  100.0   8.6   2   3     2e-10   8.3e-08   29.7   0.7   158   382   328   550   307   557 0.66 | transcript=PVP01_1451200.1 | gene=PVP01_1451200 | organism=Plasmodium_vivax_P01 | gene_product=elongation factor G, putative | transcript_product=elongation factor G, putative | location=PvP01_14_v2:2221901-2224192(-) | protein_length=763 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1451200.1-p1   -            763 3302at5820           -            593   4.3e-29  100.0   8.6   3   3      0.01       4.3    4.3   0.1   391   463   673   749   655   756 0.83 | transcript=PVP01_1451200.1 | gene=PVP01_1451200 | organism=Plasmodium_vivax_P01 | gene_product=elongation factor G, putative | transcript_product=elongation factor G, putative | location=PvP01_14_v2:2221901-2224192(-) | protein_length=763 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1146500.1-p1   -            923 3302at5820           -            593   8.6e-29   99.0  13.5   1   3     6e-25   2.5e-22   77.7   2.5     7   146    95   249    91   289 0.79 | transcript=PVP01_1146500.1 | gene=PVP01_1146500 | organism=Plasmodium_vivax_P01 | gene_product=elongation factor G, putative | transcript_product=elongation factor G, putative | location=PvP01_11_v2:1977749-1980995(+) | protein_length=923 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1146500.1-p1   -            923 3302at5820           -            593   8.6e-29   99.0  13.5   2   3   3.2e-08   1.3e-05   22.5   2.4   208   384   478   651   466   660 0.70 | transcript=PVP01_1146500.1 | gene=PVP01_1146500 | organism=Plasmodium_vivax_P01 | gene_product=elongation factor G, putative | transcript_product=elongation factor G, putative | location=PvP01_11_v2:1977749-1980995(+) | protein_length=923 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1146500.1-p1   -            923 3302at5820           -            593   8.6e-29   99.0  13.5   3   3     0.024       9.7    3.1   0.0   389   456   829   901   819   913 0.69 | transcript=PVP01_1146500.1 | gene=PVP01_1146500 | organism=Plasmodium_vivax_P01 | gene_product=elongation factor G, putative | transcript_product=elongation factor G, putative | location=PvP01_11_v2:1977749-1980995(+) | protein_length=923 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0710200.1-p1   -            910 3302at5820           -            593   4.7e-26   90.0   9.6   1   2   8.4e-28   3.4e-25   87.1   8.1     9   277   189   441   186   515 0.71 | transcript=PVP01_0710200.1 | gene=PVP01_0710200 | organism=Plasmodium_vivax_P01 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=PvP01_07_v2:516692-519424(+) | protein_length=910 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0710200.1-p1   -            910 3302at5820           -            593   4.7e-26   90.0   9.6   2   2      0.37   1.5e+02   -0.9   0.0   355   384   577   607   538   621 0.80 | transcript=PVP01_0710200.1 | gene=PVP01_0710200 | organism=Plasmodium_vivax_P01 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=PvP01_07_v2:516692-519424(+) | protein_length=910 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1255900.1-p1   -            832 3302at5820           -            593   1.8e-20   71.5   1.8   1   2   1.6e-22   6.5e-20   69.7   0.6     7   150    15   170     9   186 0.79 | transcript=PVP01_1255900.1 | gene=PVP01_1255900 | organism=Plasmodium_vivax_P01 | gene_product=elongation factor 2, putative | transcript_product=elongation factor 2, putative | location=PvP01_12_v2:2295092-2297590(-) | protein_length=832 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
