#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0926400.1-p1   -            563 5407at5820           -            457  1.4e-250  830.1  24.8   1   1  4.4e-253  4.1e-250  828.6  24.8     2   457     3   500     2   500 0.94 | transcript=PVP01_0926400.1 | gene=PVP01_0926400 | organism=Plasmodium_vivax_P01 | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=PvP01_09_v2:1164896-1167411(-) | protein_length=563 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0926500.1-p1   -            566 5407at5820           -            457   5.4e-42  142.5  14.2   1   1   7.8e-45   7.3e-42  142.1  14.2    51   450   140   554   119   560 0.82 | transcript=PVP01_0926500.1 | gene=PVP01_0926500 | organism=Plasmodium_vivax_P01 | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=PvP01_09_v2:1168688-1170978(-) | protein_length=566 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1432200.1-p1   -            586 5407at5820           -            457   3.4e-37  126.7  13.8   1   1   5.6e-40   5.2e-37  126.1  13.8    46   431   128   527   122   549 0.80 | transcript=PVP01_1432200.1 | gene=PVP01_1432200 | organism=Plasmodium_vivax_P01 | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=PvP01_14_v2:1405386-1407146(-) | protein_length=586 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1240700.1-p1   -            878 5407at5820           -            457     1e-20   72.4   0.1   1   3   1.7e-06    0.0016   15.7   0.0   264   320    15    72     1    82 0.78 | transcript=PVP01_1240700.1 | gene=PVP01_1240700 | organism=Plasmodium_vivax_P01 | gene_product=protein phosphatase containing kelch-like domains, putative | transcript_product=protein phosphatase containing kelch-like domains, putative | location=PvP01_12_v2:1642983-1645747(-) | protein_length=878 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1240700.1-p1   -            878 5407at5820           -            457     1e-20   72.4   0.1   2   3   3.9e-17   3.7e-14   50.8   0.0   119   291    87   266    80   276 0.80 | transcript=PVP01_1240700.1 | gene=PVP01_1240700 | organism=Plasmodium_vivax_P01 | gene_product=protein phosphatase containing kelch-like domains, putative | transcript_product=protein phosphatase containing kelch-like domains, putative | location=PvP01_12_v2:1642983-1645747(-) | protein_length=878 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1240700.1-p1   -            878 5407at5820           -            457     1e-20   72.4   0.1   3   3     0.033        31    1.6   0.1    67    88   295   316   280   325 0.85 | transcript=PVP01_1240700.1 | gene=PVP01_1240700 | organism=Plasmodium_vivax_P01 | gene_product=protein phosphatase containing kelch-like domains, putative | transcript_product=protein phosphatase containing kelch-like domains, putative | location=PvP01_12_v2:1642983-1645747(-) | protein_length=878 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1246700.1-p1   -            647 5407at5820           -            457   8.9e-16   56.1  15.7   1   2   3.5e-16   3.2e-13   47.7   7.7    68   264    83   280    74   287 0.47 | transcript=PVP01_1246700.1 | gene=PVP01_1246700 | organism=Plasmodium_vivax_P01 | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=PvP01_12_v2:1912137-1914080(-) | protein_length=647 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1246700.1-p1   -            647 5407at5820           -            457   8.9e-16   56.1  15.7   2   2     2e-05     0.019   12.2   1.0   270   336   344   412   332   468 0.73 | transcript=PVP01_1246700.1 | gene=PVP01_1246700 | organism=Plasmodium_vivax_P01 | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=PvP01_12_v2:1912137-1914080(-) | protein_length=647 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0932400.1-p1   -           2385 5407at5820           -            457   2.7e-08   31.5   2.1   1   3     0.089        83    0.2   0.0    76   101  1190  1215  1176  1251 0.78 | transcript=PVP01_0932400.1 | gene=PVP01_0932400 | organism=Plasmodium_vivax_P01 | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=PvP01_09_v2:1383753-1390910(+) | protein_length=2385 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0932400.1-p1   -           2385 5407at5820           -            457   2.7e-08   31.5   2.1   2   3     0.024        23    2.0   0.0    77   138  1269  1342  1258  1365 0.73 | transcript=PVP01_0932400.1 | gene=PVP01_0932400 | organism=Plasmodium_vivax_P01 | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=PvP01_09_v2:1383753-1390910(+) | protein_length=2385 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0932400.1-p1   -           2385 5407at5820           -            457   2.7e-08   31.5   2.1   3   3   2.2e-09     2e-06   25.3   0.4   232   322  1446  1534  1428  1545 0.84 | transcript=PVP01_0932400.1 | gene=PVP01_0932400 | organism=Plasmodium_vivax_P01 | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=PvP01_09_v2:1383753-1390910(+) | protein_length=2385 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0603800.1-p1   -           1606 5407at5820           -            457   0.00091   16.5   0.6   1   3      0.15   1.4e+02   -0.5   0.1   162   196   545   580   494   588 0.47 | transcript=PVP01_0603800.1 | gene=PVP01_0603800 | organism=Plasmodium_vivax_P01 | gene_product=tRNA wybutosine-synthesizing protein, putative | transcript_product=tRNA wybutosine-synthesizing protein, putative | location=PvP01_06_v2:141806-146626(-) | protein_length=1606 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0603800.1-p1   -           1606 5407at5820           -            457   0.00091   16.5   0.6   2   3    0.0089       8.3    3.5   0.0   211   250   615   657   611   678 0.78 | transcript=PVP01_0603800.1 | gene=PVP01_0603800 | organism=Plasmodium_vivax_P01 | gene_product=tRNA wybutosine-synthesizing protein, putative | transcript_product=tRNA wybutosine-synthesizing protein, putative | location=PvP01_06_v2:141806-146626(-) | protein_length=1606 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0603800.1-p1   -           1606 5407at5820           -            457   0.00091   16.5   0.6   3   3   0.00018      0.17    9.1   0.2   264   324   771   828   753   866 0.79 | transcript=PVP01_0603800.1 | gene=PVP01_0603800 | organism=Plasmodium_vivax_P01 | gene_product=tRNA wybutosine-synthesizing protein, putative | transcript_product=tRNA wybutosine-synthesizing protein, putative | location=PvP01_06_v2:141806-146626(-) | protein_length=1606 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5407at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/5407at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5407at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:41:41 2026
# [ok]
