#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0922000.1-p1   -            555 5121at5820           -            437  3.4e-265  878.2  32.4   1   3  5.4e-164  5.9e-161  534.7  13.3     1   258    12   270    12   280 0.98 | transcript=PVP01_0922000.1 | gene=PVP01_0922000 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_09_v2:954818-956599(+) | protein_length=555 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0922000.1-p1   -            555 5121at5820           -            437  3.4e-265  878.2  32.4   2   3   1.9e-80   2.1e-77  259.3   4.7   255   382   331   458   310   472 0.92 | transcript=PVP01_0922000.1 | gene=PVP01_0922000 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_09_v2:954818-956599(+) | protein_length=555 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0922000.1-p1   -            555 5121at5820           -            437  3.4e-265  878.2  32.4   3   3   1.8e-30     2e-27   94.7   0.4   381   437   495   555   484   555 0.90 | transcript=PVP01_0922000.1 | gene=PVP01_0922000 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_09_v2:954818-956599(+) | protein_length=555 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0507600.1-p1   -            322 5121at5820           -            437   5.1e-11   40.6   6.4   1   4     0.003       3.2    5.0   0.0    82   113    17    51     7    61 0.86 | transcript=PVP01_0507600.1 | gene=PVP01_0507600 | organism=Plasmodium_vivax_P01 | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=PvP01_05_v2:335035-336445(+) | protein_length=322 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0507600.1-p1   -            322 5121at5820           -            437   5.1e-11   40.6   6.4   2   4   1.6e-09   1.8e-06   25.6   0.2    37   120    69   149    65   154 0.89 | transcript=PVP01_0507600.1 | gene=PVP01_0507600 | organism=Plasmodium_vivax_P01 | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=PvP01_05_v2:335035-336445(+) | protein_length=322 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0507600.1-p1   -            322 5121at5820           -            437   5.1e-11   40.6   6.4   3   4     0.015        16    2.7   0.2    83   116   154   190   150   208 0.82 | transcript=PVP01_0507600.1 | gene=PVP01_0507600 | organism=Plasmodium_vivax_P01 | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=PvP01_05_v2:335035-336445(+) | protein_length=322 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0507600.1-p1   -            322 5121at5820           -            437   5.1e-11   40.6   6.4   4   4   0.00037       0.4    8.0   0.0    38   113   240   317   224   321 0.76 | transcript=PVP01_0507600.1 | gene=PVP01_0507600 | organism=Plasmodium_vivax_P01 | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=PvP01_05_v2:335035-336445(+) | protein_length=322 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0946700.1-p1   -            660 5121at5820           -            437     2e-07   28.7   9.5   1   3   1.2e-07   0.00014   19.4   0.1    38   118   121   198   117   209 0.87 | transcript=PVP01_0946700.1 | gene=PVP01_0946700 | organism=Plasmodium_vivax_P01 | gene_product=ribosome assembly protein 4, putative | transcript_product=ribosome assembly protein 4, putative | location=PvP01_09_v2:2037475-2039457(-) | protein_length=660 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0946700.1-p1   -            660 5121at5820           -            437     2e-07   28.7   9.5   2   3   1.5e-05     0.016   12.5   2.7    42   233   374   571   353   583 0.77 | transcript=PVP01_0946700.1 | gene=PVP01_0946700 | organism=Plasmodium_vivax_P01 | gene_product=ribosome assembly protein 4, putative | transcript_product=ribosome assembly protein 4, putative | location=PvP01_09_v2:2037475-2039457(-) | protein_length=660 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0946700.1-p1   -            660 5121at5820           -            437     2e-07   28.7   9.5   3   3       1.1   1.2e+03   -3.5   0.1    72   111   618   658   612   659 0.60 | transcript=PVP01_0946700.1 | gene=PVP01_0946700 | organism=Plasmodium_vivax_P01 | gene_product=ribosome assembly protein 4, putative | transcript_product=ribosome assembly protein 4, putative | location=PvP01_09_v2:2037475-2039457(-) | protein_length=660 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0312600.1-p1   -            327 5121at5820           -            437   0.00043   17.8   2.3   1   2     0.015        16    2.7   0.0   152   232     4    84     1    95 0.88 | transcript=PVP01_0312600.1 | gene=PVP01_0312600 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic translation initiation factor 3 subunit I, putative | transcript_product=eukaryotic translation initiation factor 3 subunit I, putative | location=PvP01_03_v2:546721-548166(-) | protein_length=327 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0312600.1-p1   -            327 5121at5820           -            437   0.00043   17.8   2.3   2   2   4.1e-05     0.044   11.1   0.9   141   198   167   224   106   252 0.61 | transcript=PVP01_0312600.1 | gene=PVP01_0312600 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic translation initiation factor 3 subunit I, putative | transcript_product=eukaryotic translation initiation factor 3 subunit I, putative | location=PvP01_03_v2:546721-548166(-) | protein_length=327 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1141000.1-p1   -            361 5121at5820           -            437    0.0096   13.3   1.4   1   3       1.1   1.1e+03   -3.4   0.1   337   373    97   134    93   143 0.70 | transcript=PVP01_1141000.1 | gene=PVP01_1141000 | organism=Plasmodium_vivax_P01 | gene_product=diphthine methyltransferase, putative | transcript_product=diphthine methyltransferase, putative | location=PvP01_11_v2:1737892-1740448(+) | protein_length=361 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1141000.1-p1   -            361 5121at5820           -            437    0.0096   13.3   1.4   2   3     0.071        78    0.4   0.0    37    72   190   225   179   233 0.86 | transcript=PVP01_1141000.1 | gene=PVP01_1141000 | organism=Plasmodium_vivax_P01 | gene_product=diphthine methyltransferase, putative | transcript_product=diphthine methyltransferase, putative | location=PvP01_11_v2:1737892-1740448(+) | protein_length=361 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1141000.1-p1   -            361 5121at5820           -            437    0.0096   13.3   1.4   3   3   4.8e-05     0.052   10.9   0.1   154   192   232   270   226   325 0.81 | transcript=PVP01_1141000.1 | gene=PVP01_1141000 | organism=Plasmodium_vivax_P01 | gene_product=diphthine methyltransferase, putative | transcript_product=diphthine methyltransferase, putative | location=PvP01_11_v2:1737892-1740448(+) | protein_length=361 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0519300.1-p1   -            458 5121at5820           -            437     0.016   12.6   0.0   1   2   7.6e-05     0.082   10.2   0.0   260   317   335   391   328   405 0.79 | transcript=PVP01_0519300.1 | gene=PVP01_0519300 | organism=Plasmodium_vivax_P01 | gene_product=ribosome assembly protein RRB1, putative | transcript_product=ribosome assembly protein RRB1, putative | location=PvP01_05_v2:793390-794766(+) | protein_length=458 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0519300.1-p1   -            458 5121at5820           -            437     0.016   12.6   0.0   2   2     0.012        13    3.0   0.0    38    70   370   403   364   430 0.81 | transcript=PVP01_0519300.1 | gene=PVP01_0519300 | organism=Plasmodium_vivax_P01 | gene_product=ribosome assembly protein RRB1, putative | transcript_product=ribosome assembly protein RRB1, putative | location=PvP01_05_v2:793390-794766(+) | protein_length=458 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
