#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0619100.1-p1   -            657 3835at5820           -            545  2.5e-301  998.4  54.4   1   2  1.4e-178  3.1e-175  582.2  31.2     1   312     1   354     1   360 0.92 | transcript=PVP01_0619100.1 | gene=PVP01_0619100 | organism=Plasmodium_vivax_P01 | gene_product=Sec1 family protein, putative | transcript_product=Sec1 family protein, putative | location=PvP01_06_v2:784912-786885(-) | protein_length=657 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0619100.1-p1   -            657 3835at5820           -            545  2.5e-301  998.4  54.4   2   2  2.1e-127  4.5e-124  413.3  15.2   307   545   372   652   370   652 0.92 | transcript=PVP01_0619100.1 | gene=PVP01_0619100 | organism=Plasmodium_vivax_P01 | gene_product=Sec1 family protein, putative | transcript_product=Sec1 family protein, putative | location=PvP01_06_v2:784912-786885(-) | protein_length=657 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1135400.1-p1   -            654 3835at5820           -            545   1.1e-07   29.2   7.6   1   3   1.1e-10   2.4e-07   28.0   0.7    34   259    24   253    12   261 0.77 | transcript=PVP01_1135400.1 | gene=PVP01_1135400 | organism=Plasmodium_vivax_P01 | gene_product=syntaxin-binding protein, putative | transcript_product=syntaxin-binding protein, putative | location=PvP01_11_v2:1521915-1523879(+) | protein_length=654 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1135400.1-p1   -            654 3835at5820           -            545   1.1e-07   29.2   7.6   2   3      0.11   2.4e+02   -1.7   0.4   261   321   301   365   289   407 0.70 | transcript=PVP01_1135400.1 | gene=PVP01_1135400 | organism=Plasmodium_vivax_P01 | gene_product=syntaxin-binding protein, putative | transcript_product=syntaxin-binding protein, putative | location=PvP01_11_v2:1521915-1523879(+) | protein_length=654 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1135400.1-p1   -            654 3835at5820           -            545   1.1e-07   29.2   7.6   3   3    0.0021       4.6    4.0   0.0   495   540   602   647   591   651 0.90 | transcript=PVP01_1135400.1 | gene=PVP01_1135400 | organism=Plasmodium_vivax_P01 | gene_product=syntaxin-binding protein, putative | transcript_product=syntaxin-binding protein, putative | location=PvP01_11_v2:1521915-1523879(+) | protein_length=654 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0408600.1-p1   -            715 3835at5820           -            545   1.9e-07   28.3  34.8   1   4     0.033        72    0.1   0.3    20    68    16    63     9    72 0.77 | transcript=PVP01_0408600.1 | gene=PVP01_0408600 | organism=Plasmodium_vivax_P01 | gene_product=vacuolar protein sorting-associated protein 45, putative | transcript_product=vacuolar protein sorting-associated protein 45, putative | location=PvP01_04_v2:350897-353044(-) | protein_length=715 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0408600.1-p1   -            715 3835at5820           -            545   1.9e-07   28.3  34.8   2   4     1e-05     0.022   11.7   2.2    69   150    91   173    82   188 0.88 | transcript=PVP01_0408600.1 | gene=PVP01_0408600 | organism=Plasmodium_vivax_P01 | gene_product=vacuolar protein sorting-associated protein 45, putative | transcript_product=vacuolar protein sorting-associated protein 45, putative | location=PvP01_04_v2:350897-353044(-) | protein_length=715 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0408600.1-p1   -            715 3835at5820           -            545   1.9e-07   28.3  34.8   3   4     0.017        36    1.0   0.1   159   199   276   315   269   332 0.78 | transcript=PVP01_0408600.1 | gene=PVP01_0408600 | organism=Plasmodium_vivax_P01 | gene_product=vacuolar protein sorting-associated protein 45, putative | transcript_product=vacuolar protein sorting-associated protein 45, putative | location=PvP01_04_v2:350897-353044(-) | protein_length=715 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0408600.1-p1   -            715 3835at5820           -            545   1.9e-07   28.3  34.8   4   4   3.1e-10   6.8e-07   26.5  15.2   227   540   378   708   365   712 0.75 | transcript=PVP01_0408600.1 | gene=PVP01_0408600 | organism=Plasmodium_vivax_P01 | gene_product=vacuolar protein sorting-associated protein 45, putative | transcript_product=vacuolar protein sorting-associated protein 45, putative | location=PvP01_04_v2:350897-353044(-) | protein_length=715 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3835at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3835at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3835at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:38:59 2026
# [ok]
