#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0925900.1-p1   -            246 13512at5820          -            166   8.9e-75  248.8  17.6   1   2   8.3e-43   1.1e-39  134.7   1.9     1    76     4    79     4    83 0.97 | transcript=PVP01_0925900.1 | gene=PVP01_0925900 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-like domain-containing protein, putative | transcript_product=ubiquitin-like domain-containing protein, putative | location=PvP01_09_v2:1149732-1151033(-) | protein_length=246 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0925900.1-p1   -            246 13512at5820          -            166   8.9e-75  248.8  17.6   2   2     4e-38   5.2e-35  119.4   8.2    76   165   117   226   111   227 0.85 | transcript=PVP01_0925900.1 | gene=PVP01_0925900 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-like domain-containing protein, putative | transcript_product=ubiquitin-like domain-containing protein, putative | location=PvP01_09_v2:1149732-1151033(-) | protein_length=246 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1311000.1-p1   -            153 13512at5820          -            166   2.6e-12   45.6   0.0   1   2   2.6e-08   3.4e-05   22.4   0.0    15    66    11    62     5    86 0.79 | transcript=PVP01_1311000.1 | gene=PVP01_1311000 | organism=Plasmodium_vivax_P01 | gene_product=polyubiquitin, putative | transcript_product=polyubiquitin, putative | location=PvP01_13_v2:513368-514321(+) | protein_length=153 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1311000.1-p1   -            153 13512at5820          -            166   2.6e-12   45.6   0.0   2   2   4.8e-08   6.3e-05   21.6   0.0    15    64    87   136    77   146 0.84 | transcript=PVP01_1311000.1 | gene=PVP01_1311000 | organism=Plasmodium_vivax_P01 | gene_product=polyubiquitin, putative | transcript_product=polyubiquitin, putative | location=PvP01_13_v2:513368-514321(+) | protein_length=153 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1106100.1-p1   -            128 13512at5820          -            166   2.5e-05   22.9   0.0   1   1   2.9e-08   3.8e-05   22.3   0.0    15    64    11    60     4    73 0.84 | transcript=PVP01_1106100.1 | gene=PVP01_1106100 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-60S ribosomal protein L40, putative | transcript_product=ubiquitin-60S ribosomal protein L40, putative | location=PvP01_11_v2:247411-248217(+) | protein_length=128 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1413900.1-p1   -             76 13512at5820          -            166     0.013   14.0   0.0   1   1     1e-05     0.013   14.0   0.0    30    63    26    59     5    69 0.79 | transcript=PVP01_1413900.1 | gene=PVP01_1413900 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-like protein Nedd8, putative | transcript_product=ubiquitin-like protein Nedd8, putative | location=PvP01_14_v2:615074-615591(-) | protein_length=76 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0739200.1-p1   -            259 13512at5820          -            166       1.9    7.0  14.3   1   3   0.00011      0.14   10.7   0.7   102   118    20    36     2    43 0.82 | transcript=PVP01_0739200.1 | gene=PVP01_0739200 | organism=Plasmodium_vivax_P01 | gene_product=Plasmodium exported protein, unknown function | transcript_product=Plasmodium exported protein, unknown function | location=PvP01_07_v2:1642894-1643801(-) | protein_length=259 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0739200.1-p1   -            259 13512at5820          -            166       1.9    7.0  14.3   2   3      0.27   3.6e+02   -0.4   0.7    56    75   123   142    85   175 0.73 | transcript=PVP01_0739200.1 | gene=PVP01_0739200 | organism=Plasmodium_vivax_P01 | gene_product=Plasmodium exported protein, unknown function | transcript_product=Plasmodium exported protein, unknown function | location=PvP01_07_v2:1642894-1643801(-) | protein_length=259 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0739200.1-p1   -            259 13512at5820          -            166       1.9    7.0  14.3   3   3    0.0076       9.9    4.7   0.8   121   143   224   246   210   254 0.85 | transcript=PVP01_0739200.1 | gene=PVP01_0739200 | organism=Plasmodium_vivax_P01 | gene_product=Plasmodium exported protein, unknown function | transcript_product=Plasmodium exported protein, unknown function | location=PvP01_07_v2:1642894-1643801(-) | protein_length=259 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/13512at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/13512at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/13512at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:30:33 2026
# [ok]
