#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0515400.1-p1   -            690 3994at5820           -            641         0 1477.0  29.4   1   2         0         0 1469.5   6.3     1   634     8   657     8   657 0.99 | transcript=PVP01_0515400.1 | gene=PVP01_0515400 | organism=Plasmodium_vivax_P01 | gene_product=heat shock protein 70, putative | transcript_product=heat shock protein 70, putative | location=PvP01_05_v2:641615-643687(-) | protein_length=690 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0515400.1-p1   -            690 3994at5820           -            641         0 1477.0  29.4   2   2   4.8e-07   0.00034   17.3  16.3   605   641   652   690   652   690 0.68 | transcript=PVP01_0515400.1 | gene=PVP01_0515400 | organism=Plasmodium_vivax_P01 | gene_product=heat shock protein 70, putative | transcript_product=heat shock protein 70, putative | location=PvP01_05_v2:641615-643687(-) | protein_length=690 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0716300.1-p1   -            652 3994at5820           -            641  1.5e-234  778.4  10.3   1   1  2.7e-237    2e-234  778.0  10.3    10   605    30   635    22   643 0.95 | transcript=PVP01_0716300.1 | gene=PVP01_0716300 | organism=Plasmodium_vivax_P01 | gene_product=endoplasmic reticulum chaperone BiP, putative | transcript_product=endoplasmic reticulum chaperone BiP, putative | location=PvP01_07_v2:727938-730337(+) | protein_length=652 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0934800.1-p1   -            663 3994at5820           -            641    2e-177  589.6  11.0   1   1  3.3e-180  2.4e-177  589.4  11.0     7   564    40   590    33   644 0.92 | transcript=PVP01_0934800.1 | gene=PVP01_0934800 | organism=Plasmodium_vivax_P01 | gene_product=heat shock protein 70, putative | transcript_product=heat shock protein 70, putative | location=PvP01_09_v2:1483505-1485496(+) | protein_length=663 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0109100.1-p1   -            887 3994at5820           -            641   5.4e-40  135.6   6.1   1   3   5.2e-31   3.8e-28   96.5   2.3    11   252     4   251     2   271 0.87 | transcript=PVP01_0109100.1 | gene=PVP01_0109100 | organism=Plasmodium_vivax_P01 | gene_product=heat shock protein 110, putative | transcript_product=heat shock protein 110, putative | location=PvP01_01_v2:435685-438348(+) | protein_length=887 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0109100.1-p1   -            887 3994at5820           -            641   5.4e-40  135.6   6.1   2   3   7.1e-17   5.2e-14   49.8   0.1   267   387   294   414   276   421 0.89 | transcript=PVP01_0109100.1 | gene=PVP01_0109100 | organism=Plasmodium_vivax_P01 | gene_product=heat shock protein 110, putative | transcript_product=heat shock protein 110, putative | location=PvP01_01_v2:435685-438348(+) | protein_length=887 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0109100.1-p1   -            887 3994at5820           -            641   5.4e-40  135.6   6.1   3   3       4.8   3.5e+03   -5.9   3.9   542   583   739   780   645   852 0.66 | transcript=PVP01_0109100.1 | gene=PVP01_0109100 | organism=Plasmodium_vivax_P01 | gene_product=heat shock protein 110, putative | transcript_product=heat shock protein 110, putative | location=PvP01_01_v2:435685-438348(+) | protein_length=887 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1210600.1-p1   -            928 3994at5820           -            641   4.5e-23   79.7   1.9   1   3    0.0016       1.1    5.7   0.0    10    75    26    92    18   116 0.88 | transcript=PVP01_1210600.1 | gene=PVP01_1210600 | organism=Plasmodium_vivax_P01 | gene_product=endoplasmic reticulum chaperone GRP170, putative | transcript_product=endoplasmic reticulum chaperone GRP170, putative | location=PvP01_12_v2:440718-443504(-) | protein_length=928 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1210600.1-p1   -            928 3994at5820           -            641   4.5e-23   79.7   1.9   2   3   6.2e-26   4.5e-23   79.7   1.9   119   401   165   461   135   562 0.81 | transcript=PVP01_1210600.1 | gene=PVP01_1210600 | organism=Plasmodium_vivax_P01 | gene_product=endoplasmic reticulum chaperone GRP170, putative | transcript_product=endoplasmic reticulum chaperone GRP170, putative | location=PvP01_12_v2:440718-443504(-) | protein_length=928 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1210600.1-p1   -            928 3994at5820           -            641   4.5e-23   79.7   1.9   3   3      0.78   5.7e+02   -3.2   3.3   515   584   648   717   625   740 0.77 | transcript=PVP01_1210600.1 | gene=PVP01_1210600 | organism=Plasmodium_vivax_P01 | gene_product=endoplasmic reticulum chaperone GRP170, putative | transcript_product=endoplasmic reticulum chaperone GRP170, putative | location=PvP01_12_v2:440718-443504(-) | protein_length=928 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0720200.1-p1   -            616 3994at5820           -            641   3.3e-07   27.3   2.7   1   2   4.6e-10   3.3e-07   27.3   2.7   528   639    86   200    59   202 0.76 | transcript=PVP01_0720200.1 | gene=PVP01_0720200 | organism=Plasmodium_vivax_P01 | gene_product=conserved protein, unknown function | transcript_product=conserved protein, unknown function | location=PvP01_07_v2:878869-881193(-) | protein_length=616 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
