#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1124900.1-p1   -           2934 313at5820            -           2082         0 3978.0 295.8   1   5         0         0 1938.3  49.8     1   881     1   929     1   932 0.90 | transcript=PVP01_1124900.1 | gene=PVP01_1124900 | organism=Plasmodium_vivax_P01 | gene_product=ISWI chromatin-remodeling complex ATPase, putative | transcript_product=ISWI chromatin-remodeling complex ATPase, putative | location=PvP01_11_v2:1081518-1090322(-) | protein_length=2934 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1124900.1-p1   -           2934 313at5820            -           2082         0 3978.0 295.8   2   5   1.2e-13   6.4e-11   38.6  27.6   815   919  1018  1128  1005  1132 0.60 | transcript=PVP01_1124900.1 | gene=PVP01_1124900 | organism=Plasmodium_vivax_P01 | gene_product=ISWI chromatin-remodeling complex ATPase, putative | transcript_product=ISWI chromatin-remodeling complex ATPase, putative | location=PvP01_11_v2:1081518-1090322(-) | protein_length=2934 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1124900.1-p1   -           2934 313at5820            -           2082         0 3978.0 295.8   3   5         0         0 1433.6  55.2   841  1611  1131  1962  1125  1972 0.84 | transcript=PVP01_1124900.1 | gene=PVP01_1124900 | organism=Plasmodium_vivax_P01 | gene_product=ISWI chromatin-remodeling complex ATPase, putative | transcript_product=ISWI chromatin-remodeling complex ATPase, putative | location=PvP01_11_v2:1081518-1090322(-) | protein_length=2934 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1124900.1-p1   -           2934 313at5820            -           2082         0 3978.0 295.8   4   5  3.3e-184  1.8e-181  604.2  64.0  1565  2047  2096  2728  2040  2738 0.84 | transcript=PVP01_1124900.1 | gene=PVP01_1124900 | organism=Plasmodium_vivax_P01 | gene_product=ISWI chromatin-remodeling complex ATPase, putative | transcript_product=ISWI chromatin-remodeling complex ATPase, putative | location=PvP01_11_v2:1081518-1090322(-) | protein_length=2934 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1124900.1-p1   -           2934 313at5820            -           2082         0 3978.0 295.8   5   5   9.3e-08     5e-05   19.1  13.2  1997  2081  2854  2931  2745  2932 0.65 | transcript=PVP01_1124900.1 | gene=PVP01_1124900 | organism=Plasmodium_vivax_P01 | gene_product=ISWI chromatin-remodeling complex ATPase, putative | transcript_product=ISWI chromatin-remodeling complex ATPase, putative | location=PvP01_11_v2:1081518-1090322(-) | protein_length=2934 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0905000.1-p1   -           1396 313at5820            -           2082   2.6e-83  278.7  10.4   1   7   1.9e-45     1e-42  144.1   1.5   322   535   305   515   296   522 0.89 | transcript=PVP01_0905000.1 | gene=PVP01_0905000 | organism=Plasmodium_vivax_P01 | gene_product=chromatin remodeling protein, putative | transcript_product=chromatin remodeling protein, putative | location=PvP01_09_v2:300938-305917(-) | protein_length=1396 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0905000.1-p1   -           1396 313at5820            -           2082   2.6e-83  278.7  10.4   2   7     0.017       9.2    1.6   0.3   572   645   520   596   515   609 0.79 | transcript=PVP01_0905000.1 | gene=PVP01_0905000 | organism=Plasmodium_vivax_P01 | gene_product=chromatin remodeling protein, putative | transcript_product=chromatin remodeling protein, putative | location=PvP01_09_v2:300938-305917(-) | protein_length=1396 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0905000.1-p1   -           1396 313at5820            -           2082   2.6e-83  278.7  10.4   3   7      0.06        33   -0.2   0.0   682   710   607   635   599   636 0.93 | transcript=PVP01_0905000.1 | gene=PVP01_0905000 | organism=Plasmodium_vivax_P01 | gene_product=chromatin remodeling protein, putative | transcript_product=chromatin remodeling protein, putative | location=PvP01_09_v2:300938-305917(-) | protein_length=1396 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0905000.1-p1   -           1396 313at5820            -           2082   2.6e-83  278.7  10.4   4   7   5.6e-47     3e-44  149.1   1.9   925  1059   635   769   619   786 0.96 | transcript=PVP01_0905000.1 | gene=PVP01_0905000 | organism=Plasmodium_vivax_P01 | gene_product=chromatin remodeling protein, putative | transcript_product=chromatin remodeling protein, putative | location=PvP01_09_v2:300938-305917(-) | protein_length=1396 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0905000.1-p1   -           1396 313at5820            -           2082   2.6e-83  278.7  10.4   5   7     0.084        45   -0.7   1.3  1939  1980   794   835   769   850 0.80 | transcript=PVP01_0905000.1 | gene=PVP01_0905000 | organism=Plasmodium_vivax_P01 | gene_product=chromatin remodeling protein, putative | transcript_product=chromatin remodeling protein, putative | location=PvP01_09_v2:300938-305917(-) | protein_length=1396 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0905000.1-p1   -           1396 313at5820            -           2082   2.6e-83  278.7  10.4   6   7      0.59   3.2e+02   -3.5  12.6   820   948   854   994   842  1013 0.42 | transcript=PVP01_0905000.1 | gene=PVP01_0905000 | organism=Plasmodium_vivax_P01 | gene_product=chromatin remodeling protein, putative | transcript_product=chromatin remodeling protein, putative | location=PvP01_09_v2:300938-305917(-) | protein_length=1396 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
