#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1226400.1-p1   -           2267 576at5820            -           1368         0 1852.8 276.5   1  12   1.6e-48   5.2e-45  152.0  19.1     1   160     1   190     1   209 0.81 | transcript=PVP01_1226400.1 | gene=PVP01_1226400 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:1037028-1043831(+) | protein_length=2267 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1226400.1-p1   -           2267 576at5820            -           1368         0 1852.8 276.5   2  12     2e-31   6.6e-28   95.4  21.0   107   281   225   402   192   434 0.64 | transcript=PVP01_1226400.1 | gene=PVP01_1226400 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:1037028-1043831(+) | protein_length=2267 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1226400.1-p1   -           2267 576at5820            -           1368         0 1852.8 276.5   3  12   0.00043       1.4    4.8   3.2   268   292   441   465   435   487 0.80 | transcript=PVP01_1226400.1 | gene=PVP01_1226400 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:1037028-1043831(+) | protein_length=2267 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1226400.1-p1   -           2267 576at5820            -           1368         0 1852.8 276.5   4  12   0.00048       1.6    4.7   0.7   286   326   584   624   556   650 0.72 | transcript=PVP01_1226400.1 | gene=PVP01_1226400 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:1037028-1043831(+) | protein_length=2267 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1226400.1-p1   -           2267 576at5820            -           1368         0 1852.8 276.5   5  12   1.2e-07   0.00038   16.6   0.8   337   393   718   778   712   802 0.67 | transcript=PVP01_1226400.1 | gene=PVP01_1226400 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:1037028-1043831(+) | protein_length=2267 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1226400.1-p1   -           2267 576at5820            -           1368         0 1852.8 276.5   6  12         0         0 1241.7  74.9   377   988   869  1538   858  1543 0.92 | transcript=PVP01_1226400.1 | gene=PVP01_1226400 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:1037028-1043831(+) | protein_length=2267 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1226400.1-p1   -           2267 576at5820            -           1368         0 1852.8 276.5   7  12     7e-63   2.3e-59  199.6  42.8   981  1211  1631  1859  1618  1878 0.77 | transcript=PVP01_1226400.1 | gene=PVP01_1226400 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:1037028-1043831(+) | protein_length=2267 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1226400.1-p1   -           2267 576at5820            -           1368         0 1852.8 276.5   8  12   0.00022      0.72    5.8   7.3  1134  1171  1888  1925  1853  1944 0.75 | transcript=PVP01_1226400.1 | gene=PVP01_1226400 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:1037028-1043831(+) | protein_length=2267 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1226400.1-p1   -           2267 576at5820            -           1368         0 1852.8 276.5   9  12    0.0015       4.8    3.1   3.8  1163  1225  1949  2028  1933  2033 0.72 | transcript=PVP01_1226400.1 | gene=PVP01_1226400 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:1037028-1043831(+) | protein_length=2267 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1226400.1-p1   -           2267 576at5820            -           1368         0 1852.8 276.5  10  12    0.0017       5.7    2.8   8.9  1132  1243  1962  2076  1959  2083 0.71 | transcript=PVP01_1226400.1 | gene=PVP01_1226400 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:1037028-1043831(+) | protein_length=2267 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1226400.1-p1   -           2267 576at5820            -           1368         0 1852.8 276.5  11  12     8e-06     0.026   10.6   5.3  1224  1259  2085  2123  2077  2128 0.85 | transcript=PVP01_1226400.1 | gene=PVP01_1226400 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:1037028-1043831(+) | protein_length=2267 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
