#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0719400.1-p1   -            163 12427at5820          -            140   1.2e-91  302.2   6.1   1   2     1e-52   5.3e-50  167.3   0.3     1    79     5    84     5    89 0.97 | transcript=PVP01_0719400.1 | gene=PVP01_0719400 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-conjugating enzyme E2, putative | transcript_product=ubiquitin-conjugating enzyme E2, putative | location=PvP01_07_v2:850305-851664(-) | protein_length=163 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0719400.1-p1   -            163 12427at5820          -            140   1.2e-91  302.2   6.1   2   2   9.1e-44   4.6e-41  138.3   0.9    74   140    94   163    84   163 0.93 | transcript=PVP01_0719400.1 | gene=PVP01_0719400 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-conjugating enzyme E2, putative | transcript_product=ubiquitin-conjugating enzyme E2, putative | location=PvP01_07_v2:850305-851664(-) | protein_length=163 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1427600.1-p1   -            164 12427at5820          -            140   1.8e-23   81.3   0.0   1   1   4.3e-26   2.2e-23   81.0   0.0    10   135    15   143     5   147 0.85 | transcript=PVP01_1427600.1 | gene=PVP01_1427600 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-conjugating enzyme E2, putative | transcript_product=ubiquitin-conjugating enzyme E2, putative | location=PvP01_14_v2:1176660-1177459(+) | protein_length=164 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0820900.1-p1   -            160 12427at5820          -            140   4.4e-22   76.8   0.1   1   1   1.1e-24   5.4e-22   76.5   0.1     9   133    14   141     6   146 0.87 | transcript=PVP01_0820900.1 | gene=PVP01_0820900 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-conjugating enzyme E2, putative | transcript_product=ubiquitin-conjugating enzyme E2, putative | location=PvP01_08_v2:917934-918552(-) | protein_length=160 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0713500.1-p1   -            159 12427at5820          -            140   7.3e-19   66.4   0.0   1   1   1.9e-21   9.4e-19   66.0   0.0     3   136     7   151     4   154 0.85 | transcript=PVP01_0713500.1 | gene=PVP01_0713500 | organism=Plasmodium_vivax_P01 | gene_product=SUMO-conjugating enzyme UBC9, putative | transcript_product=SUMO-conjugating enzyme UBC9, putative | location=PvP01_07_v2:630597-631487(-) | protein_length=159 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1115600.1-p1   -            202 12427at5820          -            140     4e-17   60.7   0.1   1   1   1.1e-19   5.5e-17   60.3   0.1     2   129     9   143     8   152 0.86 | transcript=PVP01_1115600.1 | gene=PVP01_1115600 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-conjugating enzyme E2, putative | transcript_product=ubiquitin-conjugating enzyme E2, putative | location=PvP01_11_v2:668834-670589(-) | protein_length=202 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1303100.1-p1   -            147 12427at5820          -            140     4e-17   60.7   0.0   1   1   9.8e-20   4.9e-17   60.4   0.0     4   135     6   140     3   144 0.88 | transcript=PVP01_1303100.1 | gene=PVP01_1303100 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-conjugating enzyme E2, putative | transcript_product=ubiquitin-conjugating enzyme E2, putative | location=PvP01_13_v2:139095-140725(+) | protein_length=147 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0619000.1-p1   -            191 12427at5820          -            140   1.9e-15   55.3   0.0   1   1   5.2e-18   2.6e-15   54.9   0.0     4   137     7   145     4   148 0.87 | transcript=PVP01_0619000.1 | gene=PVP01_0619000 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-conjugating enzyme E2, putative | transcript_product=ubiquitin-conjugating enzyme E2, putative | location=PvP01_06_v2:779067-780509(-) | protein_length=191 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1142700.1-p1   -            152 12427at5820          -            140   3.8e-15   54.3   0.0   1   1     9e-18   4.5e-15   54.1   0.0    25   124    26   130     5   145 0.83 | transcript=PVP01_1142700.1 | gene=PVP01_1142700 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-conjugating enzyme E2 PEX4, putative | transcript_product=ubiquitin-conjugating enzyme E2 PEX4, putative | location=PvP01_11_v2:1812408-1813708(+) | protein_length=152 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1006700.1-p1   -            152 12427at5820          -            140   4.2e-13   47.7   0.0   1   1   9.3e-16   4.7e-13   47.6   0.0    27   134    29   140     5   146 0.84 | transcript=PVP01_1006700.1 | gene=PVP01_1006700 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-conjugating enzyme E2 13, putative | transcript_product=ubiquitin-conjugating enzyme E2 13, putative | location=PvP01_10_v2:295548-296628(+) | protein_length=152 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1209300.1-p1   -            262 12427at5820          -            140   3.6e-09   35.0   0.0   1   1   1.3e-11   6.3e-09   34.2   0.0    25   108   143   231   123   247 0.87 | transcript=PVP01_1209300.1 | gene=PVP01_1209300 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-conjugating enzyme E2, putative | transcript_product=ubiquitin-conjugating enzyme E2, putative | location=PvP01_12_v2:382832-383620(-) | protein_length=262 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
