#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1019200.1-p1   -           1376 2594at5820           -           1171         0 1349.9  30.3   1   1         0         0 1345.7  30.3     6  1170    11  1375     9  1376 0.84 | transcript=PVP01_1019200.1 | gene=PVP01_1019200 | organism=Plasmodium_vivax_P01 | gene_product=MORN repeat protein, putative | transcript_product=MORN repeat protein, putative | location=PvP01_10_v2:845868-849998(-) | protein_length=1376 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0616300.1-p1   -            369 2594at5820           -           1171   1.5e-31  107.6  89.6   1   7   5.3e-06    0.0029   13.9   7.4   255   295    32    72    23    81 0.90 | transcript=PVP01_0616300.1 | gene=PVP01_0616300 | organism=Plasmodium_vivax_P01 | gene_product=MORN repeat-containing protein 1, putative | transcript_product=MORN repeat-containing protein 1, putative | location=PvP01_06_v2:675252-676361(+) | protein_length=369 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0616300.1-p1   -            369 2594at5820           -           1171   1.5e-31  107.6  89.6   2   7   2.9e-09   1.6e-06   24.7   9.4   257   297    80   120    73   127 0.90 | transcript=PVP01_0616300.1 | gene=PVP01_0616300 | organism=Plasmodium_vivax_P01 | gene_product=MORN repeat-containing protein 1, putative | transcript_product=MORN repeat-containing protein 1, putative | location=PvP01_06_v2:675252-676361(+) | protein_length=369 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0616300.1-p1   -            369 2594at5820           -           1171   1.5e-31  107.6  89.6   3   7   3.7e-09     2e-06   24.3   7.7   257   296   103   142   103   148 0.93 | transcript=PVP01_0616300.1 | gene=PVP01_0616300 | organism=Plasmodium_vivax_P01 | gene_product=MORN repeat-containing protein 1, putative | transcript_product=MORN repeat-containing protein 1, putative | location=PvP01_06_v2:675252-676361(+) | protein_length=369 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0616300.1-p1   -            369 2594at5820           -           1171   1.5e-31  107.6  89.6   4   7   1.8e-11   9.8e-09   32.0  27.6   217   304   126   224   125   225 0.90 | transcript=PVP01_0616300.1 | gene=PVP01_0616300 | organism=Plasmodium_vivax_P01 | gene_product=MORN repeat-containing protein 1, putative | transcript_product=MORN repeat-containing protein 1, putative | location=PvP01_06_v2:675252-676361(+) | protein_length=369 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0616300.1-p1   -            369 2594at5820           -           1171   1.5e-31  107.6  89.6   5   7   1.2e-10   6.6e-08   29.3   8.2   257   301   223   267   221   268 0.94 | transcript=PVP01_0616300.1 | gene=PVP01_0616300 | organism=Plasmodium_vivax_P01 | gene_product=MORN repeat-containing protein 1, putative | transcript_product=MORN repeat-containing protein 1, putative | location=PvP01_06_v2:675252-676361(+) | protein_length=369 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0616300.1-p1   -            369 2594at5820           -           1171   1.5e-31  107.6  89.6   6   7   6.3e-11   3.4e-08   30.2   7.6   256   309   268   322   265   328 0.89 | transcript=PVP01_0616300.1 | gene=PVP01_0616300 | organism=Plasmodium_vivax_P01 | gene_product=MORN repeat-containing protein 1, putative | transcript_product=MORN repeat-containing protein 1, putative | location=PvP01_06_v2:675252-676361(+) | protein_length=369 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0616300.1-p1   -            369 2594at5820           -           1171   1.5e-31  107.6  89.6   7   7   2.9e-07   0.00016   18.1   0.6   258   316   293   352   293   360 0.88 | transcript=PVP01_0616300.1 | gene=PVP01_0616300 | organism=Plasmodium_vivax_P01 | gene_product=MORN repeat-containing protein 1, putative | transcript_product=MORN repeat-containing protein 1, putative | location=PvP01_06_v2:675252-676361(+) | protein_length=369 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0930300.1-p1   -           1007 2594at5820           -           1171   1.8e-08   31.1  51.3   1   3      0.39   2.1e+02   -2.2   1.3   883   911    62    89    10   145 0.51 | transcript=PVP01_0930300.1 | gene=PVP01_0930300 | organism=Plasmodium_vivax_P01 | gene_product=phosphatidylinositol-4-phosphate 5-kinase, putative | transcript_product=phosphatidylinositol-4-phosphate 5-kinase, putative | location=PvP01_09_v2:1317686-1320709(+) | protein_length=1007 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0930300.1-p1   -           1007 2594at5820           -           1171   1.8e-08   31.1  51.3   2   3   4.5e-09   2.5e-06   24.1  10.2   217   295   181   242   166   246 0.93 | transcript=PVP01_0930300.1 | gene=PVP01_0930300 | organism=Plasmodium_vivax_P01 | gene_product=phosphatidylinositol-4-phosphate 5-kinase, putative | transcript_product=phosphatidylinositol-4-phosphate 5-kinase, putative | location=PvP01_09_v2:1317686-1320709(+) | protein_length=1007 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0930300.1-p1   -           1007 2594at5820           -           1171   1.8e-08   31.1  51.3   3   3   3.3e-07   0.00018   17.9  24.2   122   242   249   368   243   376 0.72 | transcript=PVP01_0930300.1 | gene=PVP01_0930300 | organism=Plasmodium_vivax_P01 | gene_product=phosphatidylinositol-4-phosphate 5-kinase, putative | transcript_product=phosphatidylinositol-4-phosphate 5-kinase, putative | location=PvP01_09_v2:1317686-1320709(+) | protein_length=1007 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1245400.1-p1   -            326 2594at5820           -           1171   5.4e-08   29.6  36.7   1   2   0.00054      0.29    7.3   3.7   259   296    49    86    40    93 0.88 | transcript=PVP01_1245400.1 | gene=PVP01_1245400 | organism=Plasmodium_vivax_P01 | gene_product=MORN repeat protein, putative | transcript_product=MORN repeat protein, putative | location=PvP01_12_v2:1873860-1875370(+) | protein_length=326 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1245400.1-p1   -            326 2594at5820           -           1171   5.4e-08   29.6  36.7   2   2   2.9e-09   1.6e-06   24.7   5.4   253   319    89   155    84   174 0.93 | transcript=PVP01_1245400.1 | gene=PVP01_1245400 | organism=Plasmodium_vivax_P01 | gene_product=MORN repeat protein, putative | transcript_product=MORN repeat protein, putative | location=PvP01_12_v2:1873860-1875370(+) | protein_length=326 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1022700.1-p1   -           1374 2594at5820           -           1171   6.3e-07   26.0  53.4   1   4      0.47   2.6e+02   -2.5   0.2  1051  1107   670   725   660   733 0.62 | transcript=PVP01_1022700.1 | gene=PVP01_1022700 | organism=Plasmodium_vivax_P01 | gene_product=MORN repeat protein, putative | transcript_product=MORN repeat protein, putative | location=PvP01_10_v2:988894-993212(+) | protein_length=1374 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1022700.1-p1   -           1374 2594at5820           -           1171   6.3e-07   26.0  53.4   2   4   0.00046      0.25    7.5  14.1    44   160   783   888   715   889 0.74 | transcript=PVP01_1022700.1 | gene=PVP01_1022700 | organism=Plasmodium_vivax_P01 | gene_product=MORN repeat protein, putative | transcript_product=MORN repeat protein, putative | location=PvP01_10_v2:988894-993212(+) | protein_length=1374 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1022700.1-p1   -           1374 2594at5820           -           1171   6.3e-07   26.0  53.4   3   4   1.3e-08   6.8e-06   22.6  15.3    68   191   875   987   873  1011 0.90 | transcript=PVP01_1022700.1 | gene=PVP01_1022700 | organism=Plasmodium_vivax_P01 | gene_product=MORN repeat protein, putative | transcript_product=MORN repeat protein, putative | location=PvP01_10_v2:988894-993212(+) | protein_length=1374 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1022700.1-p1   -           1374 2594at5820           -           1171   6.3e-07   26.0  53.4   4   4   1.2e-05    0.0067   12.7   6.6   249   322  1258  1330  1243  1333 0.89 | transcript=PVP01_1022700.1 | gene=PVP01_1022700 | organism=Plasmodium_vivax_P01 | gene_product=MORN repeat protein, putative | transcript_product=MORN repeat protein, putative | location=PvP01_10_v2:988894-993212(+) | protein_length=1374 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0419900.1-p1   -            191 2594at5820           -           1171   5.9e-05   19.5  16.6   1   2    0.0018      0.98    5.5   0.3   166   192    38    64    30    68 0.83 | transcript=PVP01_0419900.1 | gene=PVP01_0419900 | organism=Plasmodium_vivax_P01 | gene_product=MORN repeat protein, putative | transcript_product=MORN repeat protein, putative | location=PvP01_04_v2:815831-817052(+) | protein_length=191 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0419900.1-p1   -            191 2594at5820           -           1171   5.9e-05   19.5  16.6   2   2     9e-07   0.00049   16.5  11.5   259   296    71   109    65   131 0.87 | transcript=PVP01_0419900.1 | gene=PVP01_0419900 | organism=Plasmodium_vivax_P01 | gene_product=MORN repeat protein, putative | transcript_product=MORN repeat protein, putative | location=PvP01_04_v2:815831-817052(+) | protein_length=191 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0901900.1-p1   -            315 2594at5820           -           1171    0.0007   15.9  12.1   1   2   1.3e-06    0.0007   15.9  12.1   624   733    43   157    29   171 0.44 | transcript=PVP01_0901900.1 | gene=PVP01_0901900 | organism=Plasmodium_vivax_P01 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=PvP01_09_v2:121387-122455(+) | protein_length=315 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0901900.1-p1   -            315 2594at5820           -           1171    0.0007   15.9  12.1   2   2      0.31   1.7e+02   -1.9   0.7  1047  1065   279   297   224   310 0.46 | transcript=PVP01_0901900.1 | gene=PVP01_0901900 | organism=Plasmodium_vivax_P01 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=PvP01_09_v2:121387-122455(+) | protein_length=315 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0724500.1-p1   -           1177 2594at5820           -           1171     0.011   12.0  19.9   1   2   1.4e-05    0.0077   12.5   2.7   273   299    36    62    34    68 0.91 | transcript=PVP01_0724500.1 | gene=PVP01_0724500 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=PvP01_07_v2:1044650-1048727(+) | protein_length=1177 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0724500.1-p1   -           1177 2594at5820           -           1171     0.011   12.0  19.9   2   2    0.0016      0.85    5.7   8.5   259   311    69   120    64   143 0.83 | transcript=PVP01_0724500.1 | gene=PVP01_0724500 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=PvP01_07_v2:1044650-1048727(+) | protein_length=1177 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
