#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1103500.1-p1   -            816 3562at5820           -            654         0 1071.5 107.3   1   3  5.2e-134  8.5e-131  436.0  39.7    13   260    51   312    38   317 0.95 | transcript=PVP01_1103500.1 | gene=PVP01_1103500 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_11_v2:150100-152550(-) | protein_length=816 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1103500.1-p1   -            816 3562at5820           -            654         0 1071.5 107.3   2   3   2.8e-89   4.6e-86  288.2   7.4   254   423   349   519   338   523 0.96 | transcript=PVP01_1103500.1 | gene=PVP01_1103500 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_11_v2:150100-152550(-) | protein_length=816 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1103500.1-p1   -            816 3562at5820           -            654         0 1071.5 107.3   3   3  1.1e-110  1.8e-107  358.9  44.2   421   654   563   816   561   816 0.90 | transcript=PVP01_1103500.1 | gene=PVP01_1103500 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_11_v2:150100-152550(-) | protein_length=816 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0828300.1-p1   -            643 3562at5820           -            654     0.002   15.1  25.3   1   2   5.7e-06    0.0093   12.9   4.8    91   192   240   338   233   374 0.83 | transcript=PVP01_0828300.1 | gene=PVP01_0828300 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_08_v2:1221034-1222965(+) | protein_length=643 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0828300.1-p1   -            643 3562at5820           -            654     0.002   15.1  25.3   2   2    0.0012         2    5.2  17.0    33   244   327   542   326   563 0.78 | transcript=PVP01_0828300.1 | gene=PVP01_0828300 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_08_v2:1221034-1222965(+) | protein_length=643 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0312500.1-p1   -            990 3562at5820           -            654     0.039   10.9   0.1   1   2   5.7e-05     0.093    9.6   0.1   387   419   332   364   323   369 0.92 | transcript=PVP01_0312500.1 | gene=PVP01_0312500 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_03_v2:543371-546343(+) | protein_length=990 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0312500.1-p1   -            990 3562at5820           -            654     0.039   10.9   0.1   2   2      0.57   9.3e+02   -3.6   0.0   330   374   636   682   616   685 0.56 | transcript=PVP01_0312500.1 | gene=PVP01_0312500 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_03_v2:543371-546343(+) | protein_length=990 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0618100.1-p1   -            512 3562at5820           -            654      0.16    8.9  23.4   1   2   0.00011      0.18    8.6  16.5    19   213    43   242    31   294 0.84 | transcript=PVP01_0618100.1 | gene=PVP01_0618100 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein HPR1, putative | transcript_product=heptatricopeptide repeat-containing protein HPR1, putative | location=PvP01_06_v2:740995-742533(+) | protein_length=512 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0618100.1-p1   -            512 3562at5820           -            654      0.16    8.9  23.4   2   2    0.0028       4.5    4.1   0.6   178   208   333   363   293   382 0.77 | transcript=PVP01_0618100.1 | gene=PVP01_0618100 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein HPR1, putative | transcript_product=heptatricopeptide repeat-containing protein HPR1, putative | location=PvP01_06_v2:740995-742533(+) | protein_length=512 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3562at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3562at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3562at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:37:25 2026
# [ok]
