#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0529500.1-p1   -            646 6657at5820           -            535  9.6e-277  917.3  45.6   1   1  7.6e-278  4.1e-275  911.9  45.6     1   534     1   645     1   646 0.94 | transcript=PVP01_0529500.1 | gene=PVP01_0529500 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase RIO2, putative | transcript_product=serine/threonine protein kinase RIO2, putative | location=PvP01_05_v2:1236051-1237991(+) | protein_length=646 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1406800.1-p1   -            543 6657at5820           -            535   0.00032   17.9  16.3   1   2   5.8e-07   0.00032   17.9  16.3   268   444    71   258    65   330 0.53 | transcript=PVP01_1406800.1 | gene=PVP01_1406800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_14_v2:325846-327839(-) | protein_length=543 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1406800.1-p1   -            543 6657at5820           -            535   0.00032   17.9  16.3   2   2       2.6   1.4e+03   -4.0   3.7   489   512   495   519   468   541 0.62 | transcript=PVP01_1406800.1 | gene=PVP01_1406800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_14_v2:325846-327839(-) | protein_length=543 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0314900.1-p1   -            310 6657at5820           -            535    0.0084   13.2   3.6   1   2      0.15        81    0.1   0.3   472   516    44    89    14   105 0.68 | transcript=PVP01_0314900.1 | gene=PVP01_0314900 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine-protein kinase NEK4, putative | transcript_product=serine/threonine-protein kinase NEK4, putative | location=PvP01_03_v2:667448-669370(+) | protein_length=310 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0314900.1-p1   -            310 6657at5820           -            535    0.0084   13.2   3.6   2   2   1.3e-05    0.0072   13.5   1.4   199   245    97   149    73   162 0.70 | transcript=PVP01_0314900.1 | gene=PVP01_0314900 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine-protein kinase NEK4, putative | transcript_product=serine/threonine-protein kinase NEK4, putative | location=PvP01_03_v2:667448-669370(+) | protein_length=310 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0731600.1-p1   -            264 6657at5820           -            535     0.029   11.5  24.5   1   1   5.6e-05      0.03   11.4  24.5   324   467    66   181    18   249 0.39 | transcript=PVP01_0731600.1 | gene=PVP01_0731600 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_07_v2:1327085-1327879(-) | protein_length=264 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1266300.1-p1   -            763 6657at5820           -            535     0.042   10.9  20.2   1   1   0.00015     0.081   10.0  20.2   326   433   361   458   338   545 0.41 | transcript=PVP01_1266300.1 | gene=PVP01_1266300 | organism=Plasmodium_vivax_P01 | gene_product=AP-3 complex subunit mu, putative | transcript_product=AP-3 complex subunit mu, putative | location=PvP01_12_v2:2754420-2756711(+) | protein_length=763 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1344600.1-p1   -            132 6657at5820           -            535      0.15    9.1  10.3   1   1   0.00028      0.15    9.1  10.3   400   510    14   124     1   129 0.41 | transcript=PVP01_1344600.1 | gene=PVP01_1344600 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_13_v2:1953668-1954201(-) | protein_length=132 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0526400.1-p1   -            319 6657at5820           -            535       0.5    7.4  13.7   1   1    0.0012      0.64    7.0  13.7   347   453    51   160    29   231 0.51 | transcript=PVP01_0526400.1 | gene=PVP01_0526400 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_05_v2:1070413-1071498(+) | protein_length=319 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1219800.1-p1   -            453 6657at5820           -            535         2    5.4  12.1   1   1    0.0061       3.3    4.7  12.1   297   423    37   168    30   218 0.50 | transcript=PVP01_1219800.1 | gene=PVP01_1219800 | organism=Plasmodium_vivax_P01 | gene_product=MSP7-like protein | transcript_product=MSP7-like protein | location=PvP01_12_v2:803845-805206(+) | protein_length=453 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0529000.1-p1   -            278 6657at5820           -            535       3.5    4.6  45.8   1   1    0.0079       4.3    4.3  45.8   311   435   153   272   124   278 0.56 | transcript=PVP01_0529000.1 | gene=PVP01_0529000 | organism=Plasmodium_vivax_P01 | gene_product=ran-specific GTPase-activating protein 1, putative | transcript_product=ran-specific GTPase-activating protein 1, putative | location=PvP01_05_v2:1197705-1198913(+) | protein_length=278 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
