#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0614300.1-p1   -            608 6506at5820           -            426    2e-220  730.9  86.0   1   4    0.0028         3    5.4   0.7     1    21     8    29     8    54 0.85 | transcript=PVP01_0614300.1 | gene=PVP01_0614300 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_06_v2:608620-610446(+) | protein_length=608 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0614300.1-p1   -            608 6506at5820           -            426    2e-220  730.9  86.0   2   4     9e-31   9.8e-28   96.0  11.4    19    76    57   114    43   117 0.92 | transcript=PVP01_0614300.1 | gene=PVP01_0614300 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_06_v2:608620-610446(+) | protein_length=608 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0614300.1-p1   -            608 6506at5820           -            426    2e-220  730.9  86.0   3   4   3.4e-97   3.7e-94  314.8  23.0    76   255   156   347   153   359 0.96 | transcript=PVP01_0614300.1 | gene=PVP01_0614300 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_06_v2:608620-610446(+) | protein_length=608 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0614300.1-p1   -            608 6506at5820           -            426    2e-220  730.9  86.0   4   4  3.7e-102     4e-99  331.2  29.2   250   425   426   605   423   606 0.97 | transcript=PVP01_0614300.1 | gene=PVP01_0614300 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_06_v2:608620-610446(+) | protein_length=608 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0511500.1-p1   -            324 6506at5820           -            426   3.8e-09   34.8   1.3   1   3      0.25   2.7e+02   -1.0   0.0   353   391    87   126    51   131 0.67 | transcript=PVP01_0511500.1 | gene=PVP01_0511500 | organism=Plasmodium_vivax_P01 | gene_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | transcript_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | location=PvP01_05_v2:497899-498873(-) | protein_length=324 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0511500.1-p1   -            324 6506at5820           -            426   3.8e-09   34.8   1.3   2   3   4.4e-06    0.0047   14.7   0.1   307   340   132   165   106   173 0.83 | transcript=PVP01_0511500.1 | gene=PVP01_0511500 | organism=Plasmodium_vivax_P01 | gene_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | transcript_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | location=PvP01_05_v2:497899-498873(-) | protein_length=324 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0511500.1-p1   -            324 6506at5820           -            426   3.8e-09   34.8   1.3   3   3   3.9e-07   0.00043   18.1   0.0   264   401   174   307   166   317 0.82 | transcript=PVP01_0511500.1 | gene=PVP01_0511500 | organism=Plasmodium_vivax_P01 | gene_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | transcript_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | location=PvP01_05_v2:497899-498873(-) | protein_length=324 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0507600.1-p1   -            322 6506at5820           -            426    0.0012   16.7   0.2   1   3     0.015        17    3.0   0.0   312   396    38   122     4   131 0.67 | transcript=PVP01_0507600.1 | gene=PVP01_0507600 | organism=Plasmodium_vivax_P01 | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=PvP01_05_v2:335035-336445(+) | protein_length=322 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0507600.1-p1   -            322 6506at5820           -            426    0.0012   16.7   0.2   2   3    0.0067       7.3    4.2   0.0   266   328   127   190   112   205 0.80 | transcript=PVP01_0507600.1 | gene=PVP01_0507600 | organism=Plasmodium_vivax_P01 | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=PvP01_05_v2:335035-336445(+) | protein_length=322 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0507600.1-p1   -            322 6506at5820           -            426    0.0012   16.7   0.2   3   3   0.00084      0.92    7.1   0.0   352   376   294   319   252   322 0.68 | transcript=PVP01_0507600.1 | gene=PVP01_0507600 | organism=Plasmodium_vivax_P01 | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=PvP01_05_v2:335035-336445(+) | protein_length=322 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0618600.1-p1   -            700 6506at5820           -            426    0.0031   15.3   8.3   1   2   1.6e-05     0.017   12.8   3.5   293   361   185   250   137   276 0.76 | transcript=PVP01_0618600.1 | gene=PVP01_0618600 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein 70, putative | transcript_product=WD repeat-containing protein 70, putative | location=PvP01_06_v2:764153-766255(+) | protein_length=700 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
