#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0731400.1-p1   -            976 6463at5820           -            563  8.2e-133  442.5  13.7   1   8   5.2e-20   1.1e-16   59.1   0.1     1    55     1    59     1    63 0.91 | transcript=PVP01_0731400.1 | gene=PVP01_0731400 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_07_v2:1317221-1320151(-) | protein_length=976 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0731400.1-p1   -            976 6463at5820           -            563  8.2e-133  442.5  13.7   2   8   2.7e-19   5.9e-16   56.7   0.0    59   125   100   174    96   179 0.89 | transcript=PVP01_0731400.1 | gene=PVP01_0731400 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_07_v2:1317221-1320151(-) | protein_length=976 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0731400.1-p1   -            976 6463at5820           -            563  8.2e-133  442.5  13.7   3   8   3.8e-17   8.2e-14   49.7   0.1   126   176   204   257   194   266 0.85 | transcript=PVP01_0731400.1 | gene=PVP01_0731400 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_07_v2:1317221-1320151(-) | protein_length=976 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0731400.1-p1   -            976 6463at5820           -            563  8.2e-133  442.5  13.7   4   8   4.6e-10   9.9e-07   26.3   0.0   177   213   286   323   278   330 0.87 | transcript=PVP01_0731400.1 | gene=PVP01_0731400 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_07_v2:1317221-1320151(-) | protein_length=976 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0731400.1-p1   -            976 6463at5820           -            563  8.2e-133  442.5  13.7   5   8     0.003       6.5    3.8   0.0   208   232   350   375   349   377 0.87 | transcript=PVP01_0731400.1 | gene=PVP01_0731400 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_07_v2:1317221-1320151(-) | protein_length=976 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0731400.1-p1   -            976 6463at5820           -            563  8.2e-133  442.5  13.7   6   8   1.7e-24   3.8e-21   73.9   0.2   231   320   452   579   446   583 0.80 | transcript=PVP01_0731400.1 | gene=PVP01_0731400 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_07_v2:1317221-1320151(-) | protein_length=976 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0731400.1-p1   -            976 6463at5820           -            563  8.2e-133  442.5  13.7   7   8   5.3e-35   1.2e-31  108.6   0.0   322   467   623   796   620   841 0.79 | transcript=PVP01_0731400.1 | gene=PVP01_0731400 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_07_v2:1317221-1320151(-) | protein_length=976 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0731400.1-p1   -            976 6463at5820           -            563  8.2e-133  442.5  13.7   8   8     2e-18   4.4e-15   53.9   0.4   487   538   864   915   859   965 0.71 | transcript=PVP01_0731400.1 | gene=PVP01_0731400 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_07_v2:1317221-1320151(-) | protein_length=976 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0828300.1-p1   -            643 6463at5820           -            563   4.5e-06   24.1   2.6   1   3     0.009        20    2.2   0.3   327   393   214   280   204   289 0.54 | transcript=PVP01_0828300.1 | gene=PVP01_0828300 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_08_v2:1221034-1222965(+) | protein_length=643 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0828300.1-p1   -            643 6463at5820           -            563   4.5e-06   24.1   2.6   2   3     2e-09   4.5e-06   24.1   2.6   328   422   290   388   275   408 0.86 | transcript=PVP01_0828300.1 | gene=PVP01_0828300 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_08_v2:1221034-1222965(+) | protein_length=643 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0828300.1-p1   -            643 6463at5820           -            563   4.5e-06   24.1   2.6   3   3     0.017        38    1.3   1.4   333   391   407   465   403   513 0.75 | transcript=PVP01_0828300.1 | gene=PVP01_0828300 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_08_v2:1221034-1222965(+) | protein_length=643 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
