#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1204700.1-p1   -            585 5251at5820           -            481  2.5e-301  997.6   2.4   1   1  4.6e-304  4.3e-301  996.8   2.4     6   481    69   583    64   583 0.94 | transcript=PVP01_1204700.1 | gene=PVP01_1204700 | organism=Plasmodium_vivax_P01 | gene_product=lysine--tRNA ligase, putative | transcript_product=lysine--tRNA ligase, putative | location=PvP01_12_v2:187450-189480(+) | protein_length=585 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1332100.1-p1   -            677 5251at5820           -            481   3.1e-71  238.8   7.3   1   3      0.22     2e+02   -1.3   0.1    35    79    86   134    54   149 0.72 | transcript=PVP01_1332100.1 | gene=PVP01_1332100 | organism=Plasmodium_vivax_P01 | gene_product=lysine--tRNA ligase, putative | transcript_product=lysine--tRNA ligase, putative | location=PvP01_13_v2:1376110-1378143(-) | protein_length=677 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1332100.1-p1   -            677 5251at5820           -            481   3.1e-71  238.8   7.3   2   3   9.3e-61   8.6e-58  194.5   3.6    96   445   227   583   212   595 0.87 | transcript=PVP01_1332100.1 | gene=PVP01_1332100 | organism=Plasmodium_vivax_P01 | gene_product=lysine--tRNA ligase, putative | transcript_product=lysine--tRNA ligase, putative | location=PvP01_13_v2:1376110-1378143(-) | protein_length=677 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1332100.1-p1   -            677 5251at5820           -            481   3.1e-71  238.8   7.3   3   3   2.5e-15   2.3e-12   44.7   0.0   427   481   622   676   610   676 0.88 | transcript=PVP01_1332100.1 | gene=PVP01_1332100 | organism=Plasmodium_vivax_P01 | gene_product=lysine--tRNA ligase, putative | transcript_product=lysine--tRNA ligase, putative | location=PvP01_13_v2:1376110-1378143(-) | protein_length=677 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0211800.1-p1   -            631 5251at5820           -            481   1.7e-18   64.9   3.6   1   1     6e-21   5.6e-18   63.2   3.6   155   477   302   623   293   626 0.72 | transcript=PVP01_0211800.1 | gene=PVP01_0211800 | organism=Plasmodium_vivax_P01 | gene_product=aspartate--tRNA ligase, putative | transcript_product=aspartate--tRNA ligase, putative | location=PvP01_02_v2:485309-487204(+) | protein_length=631 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1024400.1-p1   -            751 5251at5820           -            481   8.9e-08   29.6   0.3   1   3      0.27   2.5e+02   -1.6   0.0    58    97   209   248   201   266 0.85 | transcript=PVP01_1024400.1 | gene=PVP01_1024400 | organism=Plasmodium_vivax_P01 | gene_product=asparagine--tRNA ligase, putative | transcript_product=asparagine--tRNA ligase, putative | location=PvP01_10_v2:1063035-1065290(-) | protein_length=751 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1024400.1-p1   -            751 5251at5820           -            481   8.9e-08   29.6   0.3   2   3   0.00027      0.25    8.3   0.0   220   291   475   546   468   563 0.86 | transcript=PVP01_1024400.1 | gene=PVP01_1024400 | organism=Plasmodium_vivax_P01 | gene_product=asparagine--tRNA ligase, putative | transcript_product=asparagine--tRNA ligase, putative | location=PvP01_10_v2:1063035-1065290(-) | protein_length=751 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1024400.1-p1   -            751 5251at5820           -            481   8.9e-08   29.6   0.3   3   3     3e-07   0.00028   18.0   0.0   446   478   712   744   701   746 0.90 | transcript=PVP01_1024400.1 | gene=PVP01_1024400 | organism=Plasmodium_vivax_P01 | gene_product=asparagine--tRNA ligase, putative | transcript_product=asparagine--tRNA ligase, putative | location=PvP01_10_v2:1063035-1065290(-) | protein_length=751 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0413100.1-p1   -            580 5251at5820           -            481   1.4e-07   28.9   0.5   1   3      0.49   4.6e+02   -2.5   0.0   173   198   218   243   208   254 0.76 | transcript=PVP01_0413100.1 | gene=PVP01_0413100 | organism=Plasmodium_vivax_P01 | gene_product=asparagine--tRNA ligase, putative | transcript_product=asparagine--tRNA ligase, putative | location=PvP01_04_v2:534169-535911(-) | protein_length=580 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0413100.1-p1   -            580 5251at5820           -            481   1.4e-07   28.9   0.5   2   3   5.6e-06    0.0052   13.9   0.3   205   306   304   407   293   441 0.78 | transcript=PVP01_0413100.1 | gene=PVP01_0413100 | organism=Plasmodium_vivax_P01 | gene_product=asparagine--tRNA ligase, putative | transcript_product=asparagine--tRNA ligase, putative | location=PvP01_04_v2:534169-535911(-) | protein_length=580 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0413100.1-p1   -            580 5251at5820           -            481   1.4e-07   28.9   0.5   3   3   1.7e-05     0.016   12.3   0.0   444   478   539   573   520   575 0.91 | transcript=PVP01_0413100.1 | gene=PVP01_0413100 | organism=Plasmodium_vivax_P01 | gene_product=asparagine--tRNA ligase, putative | transcript_product=asparagine--tRNA ligase, putative | location=PvP01_04_v2:534169-535911(-) | protein_length=580 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
