#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0319600.1-p1   -           1341 3262at5820           -            627  1.2e-267  888.3  64.6   1   7     0.088   1.9e+02   -1.1   2.3     1    40    21    59    21    70 0.80 | transcript=PVP01_0319600.1 | gene=PVP01_0319600 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_03_v2:811055-815704(-) | protein_length=1341 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0319600.1-p1   -           1341 3262at5820           -            627  1.2e-267  888.3  64.6   2   7   1.4e-66   3.1e-63  213.0   7.6     5   140    97   232    92   236 0.93 | transcript=PVP01_0319600.1 | gene=PVP01_0319600 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_03_v2:811055-815704(-) | protein_length=1341 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0319600.1-p1   -           1341 3262at5820           -            627  1.2e-267  888.3  64.6   3   7   2.5e-06    0.0054   14.0   0.4   136   163   280   307   277   339 0.82 | transcript=PVP01_0319600.1 | gene=PVP01_0319600 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_03_v2:811055-815704(-) | protein_length=1341 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0319600.1-p1   -           1341 3262at5820           -            627  1.2e-267  888.3  64.6   4   7   9.9e-49   2.1e-45  154.0   0.4   176   307   664   803   636   810 0.86 | transcript=PVP01_0319600.1 | gene=PVP01_0319600 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_03_v2:811055-815704(-) | protein_length=1341 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0319600.1-p1   -           1341 3262at5820           -            627  1.2e-267  888.3  64.6   5   7   1.2e-88   2.7e-85  285.8   3.0   308   498   862  1064   853  1074 0.85 | transcript=PVP01_0319600.1 | gene=PVP01_0319600 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_03_v2:811055-815704(-) | protein_length=1341 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0319600.1-p1   -           1341 3262at5820           -            627  1.2e-267  888.3  64.6   6   7      0.15   3.3e+02   -1.8   2.4   454   502  1080  1128  1072  1137 0.77 | transcript=PVP01_0319600.1 | gene=PVP01_0319600 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_03_v2:811055-815704(-) | protein_length=1341 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0319600.1-p1   -           1341 3262at5820           -            627  1.2e-267  888.3  64.6   7   7   1.7e-79   3.8e-76  255.6   5.8   501   626  1215  1340  1191  1341 0.96 | transcript=PVP01_0319600.1 | gene=PVP01_0319600 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_03_v2:811055-815704(-) | protein_length=1341 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1443100.1-p1   -            110 3262at5820           -            627    0.0046   14.2   0.1   1   1   2.4e-06    0.0051   14.0   0.1    67   138    16    91     5   107 0.73 | transcript=PVP01_1443100.1 | gene=PVP01_1443100 | organism=Plasmodium_vivax_P01 | gene_product=splicing factor 3B subunit 6, putative | transcript_product=splicing factor 3B subunit 6, putative | location=PvP01_14_v2:1872345-1872932(-) | protein_length=110 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0931800.1-p1   -            156 3262at5820           -            627     0.079   10.1   6.0   1   1   5.6e-05      0.12    9.5   6.0   345   441     3   107     1   156 0.69 | transcript=PVP01_0931800.1 | gene=PVP01_0931800 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein s1, putative | transcript_product=RNA-binding protein s1, putative | location=PvP01_09_v2:1363219-1363689(-) | protein_length=156 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3262at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3262at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3262at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:36:13 2026
# [ok]
