#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1334700.1-p1   -            353 12441at5820          -            268  3.4e-117  389.6  28.9   1   1  6.2e-119    2e-115  383.8  28.9     1   268     1   353     1   353 0.88 | transcript=PVP01_1334700.1 | gene=PVP01_1334700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_13_v2:1505670-1506731(+) | protein_length=353 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1313300.1-p1   -           2650 12441at5820          -            268   0.00072   18.0   1.1   1   8      0.93     3e+03   -3.7   1.5    67   132    79   149    47   168 0.38 | transcript=PVP01_1313300.1 | gene=PVP01_1313300 | organism=Plasmodium_vivax_P01 | gene_product=basal complex protein BCP1, putative | transcript_product=basal complex protein BCP1, putative | location=PvP01_13_v2:599442-607394(+) | protein_length=2650 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1313300.1-p1   -           2650 12441at5820          -            268   0.00072   18.0   1.1   2   8   2.2e-07   0.00072   18.0   1.1    88   241   212   366   178   381 0.80 | transcript=PVP01_1313300.1 | gene=PVP01_1313300 | organism=Plasmodium_vivax_P01 | gene_product=basal complex protein BCP1, putative | transcript_product=basal complex protein BCP1, putative | location=PvP01_13_v2:599442-607394(+) | protein_length=2650 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1313300.1-p1   -           2650 12441at5820          -            268   0.00072   18.0   1.1   3   8         2   6.5e+03   -5.5   7.0    64   154   537   631   515   652 0.58 | transcript=PVP01_1313300.1 | gene=PVP01_1313300 | organism=Plasmodium_vivax_P01 | gene_product=basal complex protein BCP1, putative | transcript_product=basal complex protein BCP1, putative | location=PvP01_13_v2:599442-607394(+) | protein_length=2650 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1313300.1-p1   -           2650 12441at5820          -            268   0.00072   18.0   1.1   4   8         2   6.5e+03  -21.5  25.3   141   141  1135  1135  1039  1255 0.56 | transcript=PVP01_1313300.1 | gene=PVP01_1313300 | organism=Plasmodium_vivax_P01 | gene_product=basal complex protein BCP1, putative | transcript_product=basal complex protein BCP1, putative | location=PvP01_13_v2:599442-607394(+) | protein_length=2650 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1313300.1-p1   -           2650 12441at5820          -            268   0.00072   18.0   1.1   5   8         2   6.5e+03   -5.1  12.3    71   133  1298  1353  1275  1421 0.58 | transcript=PVP01_1313300.1 | gene=PVP01_1313300 | organism=Plasmodium_vivax_P01 | gene_product=basal complex protein BCP1, putative | transcript_product=basal complex protein BCP1, putative | location=PvP01_13_v2:599442-607394(+) | protein_length=2650 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1313300.1-p1   -           2650 12441at5820          -            268   0.00072   18.0   1.1   6   8         2   6.5e+03   -8.4   9.9   105   117  1540  1579  1498  1630 0.35 | transcript=PVP01_1313300.1 | gene=PVP01_1313300 | organism=Plasmodium_vivax_P01 | gene_product=basal complex protein BCP1, putative | transcript_product=basal complex protein BCP1, putative | location=PvP01_13_v2:599442-607394(+) | protein_length=2650 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1313300.1-p1   -           2650 12441at5820          -            268   0.00072   18.0   1.1   7   8      0.22   7.2e+02   -1.7   3.2    54   117  1755  1818  1746  1880 0.56 | transcript=PVP01_1313300.1 | gene=PVP01_1313300 | organism=Plasmodium_vivax_P01 | gene_product=basal complex protein BCP1, putative | transcript_product=basal complex protein BCP1, putative | location=PvP01_13_v2:599442-607394(+) | protein_length=2650 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1313300.1-p1   -           2650 12441at5820          -            268   0.00072   18.0   1.1   8   8       1.6   5.2e+03   -4.5   3.4    87   145  1955  2012  1920  2020 0.37 | transcript=PVP01_1313300.1 | gene=PVP01_1313300 | organism=Plasmodium_vivax_P01 | gene_product=basal complex protein BCP1, putative | transcript_product=basal complex protein BCP1, putative | location=PvP01_13_v2:599442-607394(+) | protein_length=2650 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12441at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/12441at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12441at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:26:53 2026
# [ok]
