#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0716000.1-p1   -            840 3370at5820           -            675         0 1533.2   4.2   1   1         0         0 1533.0   4.2     2   673   166   837   165   839 1.00 | transcript=PVP01_0716000.1 | gene=PVP01_0716000 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP43, putative | transcript_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP43, putative | location=PvP01_07_v2:717935-720457(-) | protein_length=840 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0615200.1-p1   -           1224 3370at5820           -            675  4.2e-218  724.5   2.0   1   1  7.3e-221  5.9e-218  724.0   2.0    18   656   558  1188   549  1204 0.95 | transcript=PVP01_0615200.1 | gene=PVP01_0615200 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP22, putative | transcript_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP22, putative | location=PvP01_06_v2:640215-644561(-) | protein_length=1224 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1449800.1-p1   -           1085 3370at5820           -            675  3.1e-174  579.6  12.3   1   2   1.1e-88   8.6e-86  287.3   1.8    11   295   385   671   377   676 0.95 | transcript=PVP01_1449800.1 | gene=PVP01_1449800 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP2, putative | transcript_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP2, putative | location=PvP01_14_v2:2163329-2166586(-) | protein_length=1085 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1449800.1-p1   -           1085 3370at5820           -            675  3.1e-174  579.6  12.3   2   2   8.5e-92   6.9e-89  297.5   3.1   284   655   705  1080   694  1084 0.92 | transcript=PVP01_1449800.1 | gene=PVP01_1449800 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP2, putative | transcript_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP2, putative | location=PvP01_14_v2:2163329-2166586(-) | protein_length=1085 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1107700.1-p1   -           1127 3370at5820           -            675  6.2e-167  555.4  13.5   1   3      0.42   3.4e+02   -2.2   0.0   349   381   346   378   343   391 0.80 | transcript=PVP01_1107700.1 | gene=PVP01_1107700 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16, putative | transcript_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16, putative | location=PvP01_11_v2:300411-303794(+) | protein_length=1127 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1107700.1-p1   -           1127 3370at5820           -            675  6.2e-167  555.4  13.5   2   3   2.6e-80   2.1e-77  259.5   2.3    18   249   425   661   407   671 0.95 | transcript=PVP01_1107700.1 | gene=PVP01_1107700 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16, putative | transcript_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16, putative | location=PvP01_11_v2:300411-303794(+) | protein_length=1127 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1107700.1-p1   -           1127 3370at5820           -            675  6.2e-167  555.4  13.5   3   3   6.7e-93   5.5e-90  301.1   3.0   263   655   745  1122   736  1127 0.94 | transcript=PVP01_1107700.1 | gene=PVP01_1107700 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16, putative | transcript_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16, putative | location=PvP01_11_v2:300411-303794(+) | protein_length=1127 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0513000.1-p1   -            824 3370at5820           -            675  2.3e-120  401.5  14.5   1   5   2.1e-08   1.8e-05   21.9   0.1    24    70     3    48     1    54 0.87 | transcript=PVP01_0513000.1 | gene=PVP01_0513000 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DHX36, putative | transcript_product=ATP-dependent RNA helicase DHX36, putative | location=PvP01_05_v2:542431-545227(+) | protein_length=824 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0513000.1-p1   -            824 3370at5820           -            675  2.3e-120  401.5  14.5   2   5   1.4e-53   1.1e-50  171.2   0.0    74   232    76   235    62   245 0.94 | transcript=PVP01_0513000.1 | gene=PVP01_0513000 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DHX36, putative | transcript_product=ATP-dependent RNA helicase DHX36, putative | location=PvP01_05_v2:542431-545227(+) | protein_length=824 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0513000.1-p1   -            824 3370at5820           -            675  2.3e-120  401.5  14.5   3   5    0.0084       6.9    3.4   0.0   234   251   274   291   271   310 0.73 | transcript=PVP01_0513000.1 | gene=PVP01_0513000 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DHX36, putative | transcript_product=ATP-dependent RNA helicase DHX36, putative | location=PvP01_05_v2:542431-545227(+) | protein_length=824 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0513000.1-p1   -            824 3370at5820           -            675  2.3e-120  401.5  14.5   4   5   1.8e-44   1.5e-41  141.1   0.2   265   486   363   576   354   584 0.96 | transcript=PVP01_0513000.1 | gene=PVP01_0513000 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DHX36, putative | transcript_product=ATP-dependent RNA helicase DHX36, putative | location=PvP01_05_v2:542431-545227(+) | protein_length=824 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
