#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0932200.1-p1   -           1510 1877at5820           -            885  1.1e-296  985.4  59.7   1  10   7.8e-05      0.51    7.1   0.0     8    29    24    48    19    55 0.78 | transcript=PVP01_0932200.1 | gene=PVP01_0932200 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_09_v2:1372567-1377241(-) | protein_length=1510 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0932200.1-p1   -           1510 1877at5820           -            885  1.1e-296  985.4  59.7   2  10  7.5e-157  4.9e-153  510.1  24.2    28   336   134   453   131   458 0.97 | transcript=PVP01_0932200.1 | gene=PVP01_0932200 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_09_v2:1372567-1377241(-) | protein_length=1510 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0932200.1-p1   -           1510 1877at5820           -            885  1.1e-296  985.4  59.7   3  10   3.8e-29   2.5e-25   87.6   0.0   337   418   533   618   526   622 0.90 | transcript=PVP01_0932200.1 | gene=PVP01_0932200 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_09_v2:1372567-1377241(-) | protein_length=1510 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0932200.1-p1   -           1510 1877at5820           -            885  1.1e-296  985.4  59.7   4  10     0.027   1.8e+02   -1.3   0.0   406   439   638   672   632   675 0.83 | transcript=PVP01_0932200.1 | gene=PVP01_0932200 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_09_v2:1372567-1377241(-) | protein_length=1510 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0932200.1-p1   -           1510 1877at5820           -            885  1.1e-296  985.4  59.7   5  10   1.3e-14   8.2e-11   39.5   0.9   443   489   722   779   706   783 0.81 | transcript=PVP01_0932200.1 | gene=PVP01_0932200 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_09_v2:1372567-1377241(-) | protein_length=1510 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0932200.1-p1   -           1510 1877at5820           -            885  1.1e-296  985.4  59.7   6  10   1.4e-30   9.4e-27   92.3   0.0   488   568   803   893   797   897 0.87 | transcript=PVP01_0932200.1 | gene=PVP01_0932200 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_09_v2:1372567-1377241(-) | protein_length=1510 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0932200.1-p1   -           1510 1877at5820           -            885  1.1e-296  985.4  59.7   7  10   8.2e-38   5.3e-34  116.2   0.0   569   703   938  1117   930  1131 0.80 | transcript=PVP01_0932200.1 | gene=PVP01_0932200 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_09_v2:1372567-1377241(-) | protein_length=1510 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0932200.1-p1   -           1510 1877at5820           -            885  1.1e-296  985.4  59.7   8  10   5.2e-31   3.4e-27   93.7   7.2   691   803  1132  1271  1123  1273 0.79 | transcript=PVP01_0932200.1 | gene=PVP01_0932200 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_09_v2:1372567-1377241(-) | protein_length=1510 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0932200.1-p1   -           1510 1877at5820           -            885  1.1e-296  985.4  59.7   9  10    0.0077        50    0.5   0.1   800   814  1294  1308  1285  1311 0.86 | transcript=PVP01_0932200.1 | gene=PVP01_0932200 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_09_v2:1372567-1377241(-) | protein_length=1510 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0932200.1-p1   -           1510 1877at5820           -            885  1.1e-296  985.4  59.7  10  10   3.2e-17   2.1e-13   48.1   0.0   828   878  1417  1467  1409  1471 0.94 | transcript=PVP01_0932200.1 | gene=PVP01_0932200 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_09_v2:1372567-1377241(-) | protein_length=1510 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1877at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1877at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1877at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:33:07 2026
# [ok]
