#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1032600.1-p1   -            487 8505at5820           -            437  1.1e-181  602.9  68.9   1   1  2.4e-183  1.3e-180  599.3  68.9     1   437     1   487     1   487 0.89 | transcript=PVP01_1032600.1 | gene=PVP01_1032600 | organism=Plasmodium_vivax_P01 | gene_product=merozoite surface protein 8 | transcript_product=merozoite surface protein 8 | location=PvP01_10_v2:1390957-1392420(+) | protein_length=487 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1129100.1-p1   -            479 8505at5820           -            437   3.3e-18   64.1  22.8   1   2    0.0098       5.3    4.1   2.3     2    86     7   101     6   169 0.50 | transcript=PVP01_1129100.1 | gene=PVP01_1129100 | organism=Plasmodium_vivax_P01 | gene_product=merozoite surface protein 10, putative | transcript_product=merozoite surface protein 10, putative | location=PvP01_11_v2:1255723-1257162(+) | protein_length=479 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1129100.1-p1   -            479 8505at5820           -            437   3.3e-18   64.1  22.8   2   2     6e-21   3.3e-18   64.1  22.8   321   435   361   477   342   479 0.82 | transcript=PVP01_1129100.1 | gene=PVP01_1129100 | organism=Plasmodium_vivax_P01 | gene_product=merozoite surface protein 10, putative | transcript_product=merozoite surface protein 10, putative | location=PvP01_11_v2:1255723-1257162(+) | protein_length=479 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0728800.1-p1   -           1857 8505at5820           -            437   2.4e-14   51.4  12.1   1   3       4.5   2.5e+03   -4.7   2.5    76   142   321   387   293   402 0.42 | transcript=PVP01_0728800.1 | gene=PVP01_0728800 | organism=Plasmodium_vivax_P01 | gene_product=merozoite surface protein 1 paralog | transcript_product=merozoite surface protein 1 paralog | location=PvP01_07_v2:1206976-1212549(+) | protein_length=1857 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0728800.1-p1   -           1857 8505at5820           -            437   2.4e-14   51.4  12.1   2   3       5.3   2.9e+03   -4.9   9.4    43   173  1162  1301  1151  1344 0.62 | transcript=PVP01_0728800.1 | gene=PVP01_0728800 | organism=Plasmodium_vivax_P01 | gene_product=merozoite surface protein 1 paralog | transcript_product=merozoite surface protein 1 paralog | location=PvP01_07_v2:1206976-1212549(+) | protein_length=1857 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0728800.1-p1   -           1857 8505at5820           -            437   2.4e-14   51.4  12.1   3   3   4.4e-17   2.4e-14   51.4  12.1   330   433  1753  1854  1741  1856 0.89 | transcript=PVP01_0728800.1 | gene=PVP01_0728800 | organism=Plasmodium_vivax_P01 | gene_product=merozoite surface protein 1 paralog | transcript_product=merozoite surface protein 1 paralog | location=PvP01_07_v2:1206976-1212549(+) | protein_length=1857 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0728900.1-p1   -           1734 8505at5820           -            437   1.6e-13   48.7   5.5   1   4     0.016       8.7    3.4   0.7     7    51     7    70     1    84 0.77 | transcript=PVP01_0728900.1 | gene=PVP01_0728900 | organism=Plasmodium_vivax_P01 | gene_product=merozoite surface protein 1 | transcript_product=merozoite surface protein 1 | location=PvP01_07_v2:1215432-1220636(+) | protein_length=1734 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0728900.1-p1   -           1734 8505at5820           -            437   1.6e-13   48.7   5.5   2   4      0.13        72    0.4   2.1    82   142   853   909   800   926 0.73 | transcript=PVP01_0728900.1 | gene=PVP01_0728900 | organism=Plasmodium_vivax_P01 | gene_product=merozoite surface protein 1 | transcript_product=merozoite surface protein 1 | location=PvP01_07_v2:1215432-1220636(+) | protein_length=1734 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0728900.1-p1   -           1734 8505at5820           -            437   1.6e-13   48.7   5.5   3   4       0.3   1.7e+02   -0.8  14.2    86   182  1072  1172   987  1235 0.63 | transcript=PVP01_0728900.1 | gene=PVP01_0728900 | organism=Plasmodium_vivax_P01 | gene_product=merozoite surface protein 1 | transcript_product=merozoite surface protein 1 | location=PvP01_07_v2:1215432-1220636(+) | protein_length=1734 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0728900.1-p1   -           1734 8505at5820           -            437   1.6e-13   48.7   5.5   4   4     3e-16   1.6e-13   48.7   5.5   328   434  1625  1732  1617  1734 0.89 | transcript=PVP01_0728900.1 | gene=PVP01_0728900 | organism=Plasmodium_vivax_P01 | gene_product=merozoite surface protein 1 | transcript_product=merozoite surface protein 1 | location=PvP01_07_v2:1215432-1220636(+) | protein_length=1734 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1345600.1-p1   -            358 8505at5820           -            437   4.1e-05   21.0  12.7   1   1   1.5e-07   8.3e-05   20.0  12.7   338   435   253   358   239   358 0.78 | transcript=PVP01_1345600.1 | gene=PVP01_1345600 | organism=Plasmodium_vivax_P01 | gene_product=EGF domain-containing protein, putative | transcript_product=EGF domain-containing protein, putative | location=PvP01_13_v2:1985010-1986086(+) | protein_length=358 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1218000.1-p1   -            139 8505at5820           -            437   5.2e-05   20.6  19.8   1   1     1e-07   5.5e-05   20.6  19.8     5   100     5   135     1   139 0.79 | transcript=PVP01_1218000.1 | gene=PVP01_1218000 | organism=Plasmodium_vivax_P01 | gene_product=parasitophorous vacuolar protein 3, putative | transcript_product=parasitophorous vacuolar protein 3, putative | location=PvP01_12_v2:750454-750873(+) | protein_length=139 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1411700.1-p1   -            158 8505at5820           -            437      0.21    8.7  13.9   1   1   0.00037       0.2    8.8  13.9    37    90   101   152    31   158 0.53 | transcript=PVP01_1411700.1 | gene=PVP01_1411700 | organism=Plasmodium_vivax_P01 | gene_product=PhIL1-interacting candidate PIC5, putative | transcript_product=PhIL1-interacting candidate PIC5, putative | location=PvP01_14_v2:528162-528638(-) | protein_length=158 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
