#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0511400.1-p1   -           1036 1452at5820           -            579  3.6e-183  608.6 137.3   1   8   5.6e-11   6.1e-08   30.0  15.9     1    73     1    99     1   110 0.65 | transcript=PVP01_0511400.1 | gene=PVP01_0511400 | organism=Plasmodium_vivax_P01 | gene_product=PhIL1-interacting candidate PIC2, putative | transcript_product=PhIL1-interacting candidate PIC2, putative | location=PvP01_05_v2:494122-497232(+) | protein_length=1036 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0511400.1-p1   -           1036 1452at5820           -            579  3.6e-183  608.6 137.3   2   8    0.0027       2.9    4.6  15.6    69   115   120   169   103   191 0.76 | transcript=PVP01_0511400.1 | gene=PVP01_0511400 | organism=Plasmodium_vivax_P01 | gene_product=PhIL1-interacting candidate PIC2, putative | transcript_product=PhIL1-interacting candidate PIC2, putative | location=PvP01_05_v2:494122-497232(+) | protein_length=1036 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0511400.1-p1   -           1036 1452at5820           -            579  3.6e-183  608.6 137.3   3   8   1.1e-11   1.2e-08   32.3   6.0    79   158   217   302   200   329 0.68 | transcript=PVP01_0511400.1 | gene=PVP01_0511400 | organism=Plasmodium_vivax_P01 | gene_product=PhIL1-interacting candidate PIC2, putative | transcript_product=PhIL1-interacting candidate PIC2, putative | location=PvP01_05_v2:494122-497232(+) | protein_length=1036 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0511400.1-p1   -           1036 1452at5820           -            579  3.6e-183  608.6 137.3   4   8   8.7e-08   9.4e-05   19.4   0.6   143   169   330   356   317   359 0.91 | transcript=PVP01_0511400.1 | gene=PVP01_0511400 | organism=Plasmodium_vivax_P01 | gene_product=PhIL1-interacting candidate PIC2, putative | transcript_product=PhIL1-interacting candidate PIC2, putative | location=PvP01_05_v2:494122-497232(+) | protein_length=1036 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0511400.1-p1   -           1036 1452at5820           -            579  3.6e-183  608.6 137.3   5   8   8.2e-07   0.00089   16.2   6.6   167   221   404   472   398   491 0.65 | transcript=PVP01_0511400.1 | gene=PVP01_0511400 | organism=Plasmodium_vivax_P01 | gene_product=PhIL1-interacting candidate PIC2, putative | transcript_product=PhIL1-interacting candidate PIC2, putative | location=PvP01_05_v2:494122-497232(+) | protein_length=1036 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0511400.1-p1   -           1036 1452at5820           -            579  3.6e-183  608.6 137.3   6   8   1.3e-33   1.4e-30  104.7   3.8   208   307   500   600   487   606 0.88 | transcript=PVP01_0511400.1 | gene=PVP01_0511400 | organism=Plasmodium_vivax_P01 | gene_product=PhIL1-interacting candidate PIC2, putative | transcript_product=PhIL1-interacting candidate PIC2, putative | location=PvP01_05_v2:494122-497232(+) | protein_length=1036 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0511400.1-p1   -           1036 1452at5820           -            579  3.6e-183  608.6 137.3   7   8   4.2e-59   4.5e-56  188.9  30.8   267   449   599   823   593   836 0.83 | transcript=PVP01_0511400.1 | gene=PVP01_0511400 | organism=Plasmodium_vivax_P01 | gene_product=PhIL1-interacting candidate PIC2, putative | transcript_product=PhIL1-interacting candidate PIC2, putative | location=PvP01_05_v2:494122-497232(+) | protein_length=1036 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0511400.1-p1   -           1036 1452at5820           -            579  3.6e-183  608.6 137.3   8   8   8.2e-77   8.9e-74  247.4   6.2   442   579   894  1036   884  1036 0.94 | transcript=PVP01_0511400.1 | gene=PVP01_0511400 | organism=Plasmodium_vivax_P01 | gene_product=PhIL1-interacting candidate PIC2, putative | transcript_product=PhIL1-interacting candidate PIC2, putative | location=PvP01_05_v2:494122-497232(+) | protein_length=1036 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1024700.1-p1   -            143 1452at5820           -            579     0.024   11.5  16.7   1   1   2.4e-05     0.026   11.4  16.7    33   114    44   130    34   143 0.43 | transcript=PVP01_1024700.1 | gene=PVP01_1024700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_10_v2:1078491-1079181(+) | protein_length=143 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0901900.1-p1   -            315 1452at5820           -            579      0.15    8.8  29.8   1   2   2.4e-05     0.026   11.4  24.0    51   115    98   164    84   178 0.46 | transcript=PVP01_0901900.1 | gene=PVP01_0901900 | organism=Plasmodium_vivax_P01 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=PvP01_09_v2:121387-122455(+) | protein_length=315 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0901900.1-p1   -            315 1452at5820           -            579      0.15    8.8  29.8   2   2      0.04        44    0.7   0.3   109   157   257   305   244   313 0.69 | transcript=PVP01_0901900.1 | gene=PVP01_0901900 | organism=Plasmodium_vivax_P01 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=PvP01_09_v2:121387-122455(+) | protein_length=315 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
