#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0918800.1-p1   -            853 3958at5820           -            617         0 1161.9  47.8   1   4   6.7e-52   1.1e-48  164.7   6.1    15   117    66   188    57   191 0.89 | transcript=PVP01_0918800.1 | gene=PVP01_0918800 | organism=Plasmodium_vivax_P01 | gene_product=heat shock protein 90, putative | transcript_product=heat shock protein 90, putative | location=PvP01_09_v2:828347-830908(-) | protein_length=853 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0918800.1-p1   -            853 3958at5820           -            617         0 1161.9  47.8   2   4     1e-55   1.7e-52  177.2   0.6   116   209   213   311   202   328 0.92 | transcript=PVP01_0918800.1 | gene=PVP01_0918800 | organism=Plasmodium_vivax_P01 | gene_product=heat shock protein 90, putative | transcript_product=heat shock protein 90, putative | location=PvP01_09_v2:828347-830908(-) | protein_length=853 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0918800.1-p1   -            853 3958at5820           -            617         0 1161.9  47.8   3   4  3.7e-171    6e-168  558.6  19.1   208   489   373   655   368   661 0.98 | transcript=PVP01_0918800.1 | gene=PVP01_0918800 | organism=Plasmodium_vivax_P01 | gene_product=heat shock protein 90, putative | transcript_product=heat shock protein 90, putative | location=PvP01_09_v2:828347-830908(-) | protein_length=853 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0918800.1-p1   -            853 3958at5820           -            617         0 1161.9  47.8   4   4   5.1e-84   8.4e-81  270.7   0.8   480   617   673   814   662   814 0.95 | transcript=PVP01_0918800.1 | gene=PVP01_0918800 | organism=Plasmodium_vivax_P01 | gene_product=heat shock protein 90, putative | transcript_product=heat shock protein 90, putative | location=PvP01_09_v2:828347-830908(-) | protein_length=853 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0108700.1-p1   -            748 3958at5820           -            617  3.3e-112  374.5  28.1   1   2   5.3e-54   8.7e-51  171.6   4.0    18   215     2   219     1   241 0.87 | transcript=PVP01_0108700.1 | gene=PVP01_0108700 | organism=Plasmodium_vivax_P01 | gene_product=heat shock protein 90, putative | transcript_product=heat shock protein 90, putative | location=PvP01_01_v2:420718-423613(+) | protein_length=748 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0108700.1-p1   -            748 3958at5820           -            617  3.3e-112  374.5  28.1   2   2   3.1e-65     5e-62  208.7  16.2   212   605   311   714   277   719 0.83 | transcript=PVP01_0108700.1 | gene=PVP01_0108700 | organism=Plasmodium_vivax_P01 | gene_product=heat shock protein 90, putative | transcript_product=heat shock protein 90, putative | location=PvP01_01_v2:420718-423613(+) | protein_length=748 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1263100.1-p1   -            944 3958at5820           -            617  1.9e-107  358.7  35.5   1   3   5.4e-17   8.7e-14   49.4   0.4    18    63    93   138    73   156 0.86 | transcript=PVP01_1263100.1 | gene=PVP01_1263100 | organism=Plasmodium_vivax_P01 | gene_product=heat shock protein 90, putative | transcript_product=heat shock protein 90, putative | location=PvP01_12_v2:2608885-2611719(-) | protein_length=944 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1263100.1-p1   -            944 3958at5820           -            617  1.9e-107  358.7  35.5   2   3     1e-41   1.7e-38  131.0   7.2    65   208   186   343   159   351 0.88 | transcript=PVP01_1263100.1 | gene=PVP01_1263100 | organism=Plasmodium_vivax_P01 | gene_product=heat shock protein 90, putative | transcript_product=heat shock protein 90, putative | location=PvP01_12_v2:2608885-2611719(-) | protein_length=944 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1263100.1-p1   -            944 3958at5820           -            617  1.9e-107  358.7  35.5   3   3   4.5e-59   7.3e-56  188.3  14.0   203   600   366   784   361   797 0.82 | transcript=PVP01_1263100.1 | gene=PVP01_1263100 | organism=Plasmodium_vivax_P01 | gene_product=heat shock protein 90, putative | transcript_product=heat shock protein 90, putative | location=PvP01_12_v2:2608885-2611719(-) | protein_length=944 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1440500.1-p1   -            814 3958at5820           -            617  5.4e-105  350.6  30.2   1   2   2.5e-57   4.1e-54  182.6   3.4    19   217    65   286    56   310 0.88 | transcript=PVP01_1440500.1 | gene=PVP01_1440500 | organism=Plasmodium_vivax_P01 | gene_product=endoplasmin, putative | transcript_product=endoplasmin, putative | location=PvP01_14_v2:1723317-1725761(-) | protein_length=814 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1440500.1-p1   -            814 3958at5820           -            617  5.4e-105  350.6  30.2   2   2     3e-52   4.9e-49  165.8  19.1   205   597   314   744   306   753 0.79 | transcript=PVP01_1440500.1 | gene=PVP01_1440500 | organism=Plasmodium_vivax_P01 | gene_product=endoplasmin, putative | transcript_product=endoplasmin, putative | location=PvP01_14_v2:1723317-1725761(-) | protein_length=814 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
