#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0835700.1-p1   -            168 13466at5820          -            130   3.5e-72  238.8   5.5   1   1   5.8e-75   7.5e-72  237.7   5.5    15   130    53   168    27   168 0.95 | transcript=PVP01_0835700.1 | gene=PVP01_0835700 | organism=Plasmodium_vivax_P01 | gene_product=1-cys-glutaredoxin-like protein-1, putative | transcript_product=1-cys-glutaredoxin-like protein-1, putative | location=PvP01_08_v2:1511242-1512126(+) | protein_length=168 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1142100.1-p1   -            220 13466at5820          -            130   3.9e-29   99.6   0.1   1   1   4.7e-32   6.1e-29   98.9   0.1    33   129   118   213    95   214 0.92 | transcript=PVP01_1142100.1 | gene=PVP01_1142100 | organism=Plasmodium_vivax_P01 | gene_product=glutaredoxin-like protein | transcript_product=glutaredoxin-like protein | location=PvP01_11_v2:1785212-1785874(+) | protein_length=220 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0109500.1-p1   -            324 13466at5820          -            130   1.6e-25   87.9   0.4   1   2       1.7   2.2e+03   -3.1   0.0    26    39    81    94    69   104 0.59 | transcript=PVP01_0109500.1 | gene=PVP01_0109500 | organism=Plasmodium_vivax_P01 | gene_product=glutaredoxin-like protein | transcript_product=glutaredoxin-like protein | location=PvP01_01_v2:452163-453137(-) | protein_length=324 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0109500.1-p1   -            324 13466at5820          -            130   1.6e-25   87.9   0.4   2   2   2.2e-28   2.8e-25   87.1   0.1    27   128   219   320   201   322 0.92 | transcript=PVP01_0109500.1 | gene=PVP01_0109500 | organism=Plasmodium_vivax_P01 | gene_product=glutaredoxin-like protein | transcript_product=glutaredoxin-like protein | location=PvP01_01_v2:452163-453137(-) | protein_length=324 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0833900.1-p1   -            110 13466at5820          -            130   2.1e-05   22.8   1.4   1   1     2e-08   2.6e-05   22.5   1.4    32   129     8   103     4   104 0.81 | transcript=PVP01_0833900.1 | gene=PVP01_0833900 | organism=Plasmodium_vivax_P01 | gene_product=glutaredoxin 1, putative | transcript_product=glutaredoxin 1, putative | location=PvP01_08_v2:1434791-1435713(+) | protein_length=110 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1022200.1-p1   -            622 13466at5820          -            130       2.4    6.4   9.5   1   4      0.53   6.9e+02   -1.5   0.1    30    79    77   131    70   157 0.62 | transcript=PVP01_1022200.1 | gene=PVP01_1022200 | organism=Plasmodium_vivax_P01 | gene_product=inositol-3-phosphate synthase, putative | transcript_product=inositol-3-phosphate synthase, putative | location=PvP01_10_v2:938702-940763(+) | protein_length=622 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1022200.1-p1   -            622 13466at5820          -            130       2.4    6.4   9.5   2   4   0.00024      0.32    9.3   0.5    68   112   175   219   172   227 0.94 | transcript=PVP01_1022200.1 | gene=PVP01_1022200 | organism=Plasmodium_vivax_P01 | gene_product=inositol-3-phosphate synthase, putative | transcript_product=inositol-3-phosphate synthase, putative | location=PvP01_10_v2:938702-940763(+) | protein_length=622 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1022200.1-p1   -            622 13466at5820          -            130       2.4    6.4   9.5   3   4      0.92   1.2e+03   -2.3   0.0    81    97   248   264   222   278 0.62 | transcript=PVP01_1022200.1 | gene=PVP01_1022200 | organism=Plasmodium_vivax_P01 | gene_product=inositol-3-phosphate synthase, putative | transcript_product=inositol-3-phosphate synthase, putative | location=PvP01_10_v2:938702-940763(+) | protein_length=622 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1022200.1-p1   -            622 13466at5820          -            130       2.4    6.4   9.5   4   4      0.09   1.2e+02    1.0   0.2    74   120   444   494   379   500 0.74 | transcript=PVP01_1022200.1 | gene=PVP01_1022200 | organism=Plasmodium_vivax_P01 | gene_product=inositol-3-phosphate synthase, putative | transcript_product=inositol-3-phosphate synthase, putative | location=PvP01_10_v2:938702-940763(+) | protein_length=622 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/13466at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/13466at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/13466at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:30:25 2026
# [ok]
