#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0708200.1-p1   -           1057 4823at5820           -            557  4.6e-294  974.8  56.8   1   6   7.1e-71   1.5e-67  227.0  17.4     1   109     1   109     1   127 0.95 | transcript=PVP01_0708200.1 | gene=PVP01_0708200 | organism=Plasmodium_vivax_P01 | gene_product=FHA domain protein, putative | transcript_product=FHA domain protein, putative | location=PvP01_07_v2:421180-424353(+) | protein_length=1057 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0708200.1-p1   -           1057 4823at5820           -            557  4.6e-294  974.8  56.8   2   6   6.2e-44   1.3e-40  138.0   0.1   107   189   158   240   147   247 0.88 | transcript=PVP01_0708200.1 | gene=PVP01_0708200 | organism=Plasmodium_vivax_P01 | gene_product=FHA domain protein, putative | transcript_product=FHA domain protein, putative | location=PvP01_07_v2:421180-424353(+) | protein_length=1057 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0708200.1-p1   -           1057 4823at5820           -            557  4.6e-294  974.8  56.8   3   6   1.6e-06    0.0034   14.6   0.2   189   229   280   328   270   347 0.76 | transcript=PVP01_0708200.1 | gene=PVP01_0708200 | organism=Plasmodium_vivax_P01 | gene_product=FHA domain protein, putative | transcript_product=FHA domain protein, putative | location=PvP01_07_v2:421180-424353(+) | protein_length=1057 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0708200.1-p1   -           1057 4823at5820           -            557  4.6e-294  974.8  56.8   4   6    0.0011       2.4    5.2   0.0   219   246   372   399   352   415 0.79 | transcript=PVP01_0708200.1 | gene=PVP01_0708200 | organism=Plasmodium_vivax_P01 | gene_product=FHA domain protein, putative | transcript_product=FHA domain protein, putative | location=PvP01_07_v2:421180-424353(+) | protein_length=1057 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0708200.1-p1   -           1057 4823at5820           -            557  4.6e-294  974.8  56.8   5   6  1.1e-183  2.4e-180  599.3  13.3   248   519   671   942   646   967 0.93 | transcript=PVP01_0708200.1 | gene=PVP01_0708200 | organism=Plasmodium_vivax_P01 | gene_product=FHA domain protein, putative | transcript_product=FHA domain protein, putative | location=PvP01_07_v2:421180-424353(+) | protein_length=1057 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0708200.1-p1   -           1057 4823at5820           -            557  4.6e-294  974.8  56.8   6   6   0.00024      0.52    7.4   0.4   516   548   974  1006   955  1015 0.73 | transcript=PVP01_0708200.1 | gene=PVP01_0708200 | organism=Plasmodium_vivax_P01 | gene_product=FHA domain protein, putative | transcript_product=FHA domain protein, putative | location=PvP01_07_v2:421180-424353(+) | protein_length=1057 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1210500.1-p1   -           1792 4823at5820           -            557     1e-64  217.7  10.0   1   6   1.5e-05     0.033   11.3   0.0    18    47     3    32     1    39 0.90 | transcript=PVP01_1210500.1 | gene=PVP01_1210500 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_12_v2:432938-439118(+) | protein_length=1792 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1210500.1-p1   -           1792 4823at5820           -            557     1e-64  217.7  10.0   2   6     1e-12   2.2e-09   35.0   0.5   115   164    80   129    65   147 0.86 | transcript=PVP01_1210500.1 | gene=PVP01_1210500 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_12_v2:432938-439118(+) | protein_length=1792 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1210500.1-p1   -           1792 4823at5820           -            557     1e-64  217.7  10.0   3   6   1.2e-60   2.6e-57  193.2   3.4   254   445   146   336   131   343 0.94 | transcript=PVP01_1210500.1 | gene=PVP01_1210500 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_12_v2:432938-439118(+) | protein_length=1792 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1210500.1-p1   -           1792 4823at5820           -            557     1e-64  217.7  10.0   4   6         3   6.5e+03  -10.8   9.1   507   533   601   627   578   654 0.41 | transcript=PVP01_1210500.1 | gene=PVP01_1210500 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_12_v2:432938-439118(+) | protein_length=1792 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1210500.1-p1   -           1792 4823at5820           -            557     1e-64  217.7  10.0   5   6         3   6.5e+03   -8.1   5.2   510   531   686   707   672   722 0.33 | transcript=PVP01_1210500.1 | gene=PVP01_1210500 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_12_v2:432938-439118(+) | protein_length=1792 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
