#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0946700.1-p1   -            660 4853at5820           -            513    2e-304 1008.1  28.4   1   2  1.1e-137  2.1e-135  450.5   5.1     5   230    10   241     2   258 0.93 | transcript=PVP01_0946700.1 | gene=PVP01_0946700 | organism=Plasmodium_vivax_P01 | gene_product=ribosome assembly protein 4, putative | transcript_product=ribosome assembly protein 4, putative | location=PvP01_09_v2:2037475-2039457(-) | protein_length=660 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0946700.1-p1   -            660 4853at5820           -            513    2e-304 1008.1  28.4   2   2  6.4e-171  1.2e-168  560.2  15.4   229   512   329   659   319   660 0.98 | transcript=PVP01_0946700.1 | gene=PVP01_0946700 | organism=Plasmodium_vivax_P01 | gene_product=ribosome assembly protein 4, putative | transcript_product=ribosome assembly protein 4, putative | location=PvP01_09_v2:2037475-2039457(-) | protein_length=660 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0507600.1-p1   -            322 4853at5820           -            513   3.5e-26   90.1  15.8   1   5    0.0013      0.23    8.2   0.2   265   301    17    52     2    60 0.84 | transcript=PVP01_0507600.1 | gene=PVP01_0507600 | organism=Plasmodium_vivax_P01 | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=PvP01_05_v2:335035-336445(+) | protein_length=322 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0507600.1-p1   -            322 4853at5820           -            513   3.5e-26   90.1  15.8   2   5   3.9e-16   7.1e-14   49.5   0.8   386   461    66   141    61   148 0.95 | transcript=PVP01_0507600.1 | gene=PVP01_0507600 | organism=Plasmodium_vivax_P01 | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=PvP01_05_v2:335035-336445(+) | protein_length=322 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0507600.1-p1   -            322 4853at5820           -            513   3.5e-26   90.1  15.8   3   5   1.1e-07     2e-05   21.7   0.3   265   322   153   209   141   211 0.88 | transcript=PVP01_0507600.1 | gene=PVP01_0507600 | organism=Plasmodium_vivax_P01 | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=PvP01_05_v2:335035-336445(+) | protein_length=322 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0507600.1-p1   -            322 4853at5820           -            513   3.5e-26   90.1  15.8   4   5    0.0001     0.018   11.9   0.1   478   512   194   228   191   230 0.84 | transcript=PVP01_0507600.1 | gene=PVP01_0507600 | organism=Plasmodium_vivax_P01 | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=PvP01_05_v2:335035-336445(+) | protein_length=322 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0507600.1-p1   -            322 4853at5820           -            513   3.5e-26   90.1  15.8   5   5   3.6e-05    0.0065   13.4   0.0   117   187   243   318   237   322 0.80 | transcript=PVP01_0507600.1 | gene=PVP01_0507600 | organism=Plasmodium_vivax_P01 | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=PvP01_05_v2:335035-336445(+) | protein_length=322 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0511500.1-p1   -            324 4853at5820           -            513   1.3e-25   88.3   7.8   1   4   1.4e-14   2.5e-12   44.4   0.4   386   467    32   114    23   126 0.85 | transcript=PVP01_0511500.1 | gene=PVP01_0511500 | organism=Plasmodium_vivax_P01 | gene_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | transcript_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | location=PvP01_05_v2:497899-498873(-) | protein_length=324 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0511500.1-p1   -            324 4853at5820           -            513   1.3e-25   88.3   7.8   2   4   9.2e-05     0.017   12.0   0.2   427   462   116   150   110   167 0.83 | transcript=PVP01_0511500.1 | gene=PVP01_0511500 | organism=Plasmodium_vivax_P01 | gene_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | transcript_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | location=PvP01_05_v2:497899-498873(-) | protein_length=324 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0511500.1-p1   -            324 4853at5820           -            513   1.3e-25   88.3   7.8   3   4   4.1e-06   0.00074   16.5   0.1   279   327   170   218   156   230 0.89 | transcript=PVP01_0511500.1 | gene=PVP01_0511500 | organism=Plasmodium_vivax_P01 | gene_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | transcript_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | location=PvP01_05_v2:497899-498873(-) | protein_length=324 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0511500.1-p1   -            324 4853at5820           -            513   1.3e-25   88.3   7.8   4   4   1.1e-06    0.0002   18.3   0.0   121   183   260   321   252   324 0.88 | transcript=PVP01_0511500.1 | gene=PVP01_0511500 | organism=Plasmodium_vivax_P01 | gene_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | transcript_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | location=PvP01_05_v2:497899-498873(-) | protein_length=324 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
