#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0306800.1-p1   -            380 8131at5820           -            332    2e-189  627.2  64.5   1   1  5.8e-191  4.7e-188  622.6  64.5     1   332     8   380     8   380 0.95 | transcript=PVP01_0306800.1 | gene=PVP01_0306800 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=PvP01_03_v2:335592-337103(+) | protein_length=380 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1458700.1-p1   -            259 8131at5820           -            332   1.3e-16   59.1   1.4   1   2    0.0018       1.4    6.4   0.0   197   225     6    34     2    42 0.89 | transcript=PVP01_1458700.1 | gene=PVP01_1458700 | organism=Plasmodium_vivax_P01 | gene_product=S-adenosylmethionine mitochondrial carrier protein, putative | transcript_product=S-adenosylmethionine mitochondrial carrier protein, putative | location=PvP01_14_v2:2569140-2570912(+) | protein_length=259 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1458700.1-p1   -            259 8131at5820           -            332   1.3e-16   59.1   1.4   2   2   2.5e-16     2e-13   48.6   0.9    67   221    42   206    38   218 0.84 | transcript=PVP01_1458700.1 | gene=PVP01_1458700 | organism=Plasmodium_vivax_P01 | gene_product=S-adenosylmethionine mitochondrial carrier protein, putative | transcript_product=S-adenosylmethionine mitochondrial carrier protein, putative | location=PvP01_14_v2:2569140-2570912(+) | protein_length=259 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0621700.1-p1   -            301 8131at5820           -            332   8.7e-08   30.1   2.6   1   2   4.5e-09   3.7e-06   24.8   0.1   104   223    14   144     4   149 0.73 | transcript=PVP01_0621700.1 | gene=PVP01_0621700 | organism=Plasmodium_vivax_P01 | gene_product=ADP,ATP carrier protein 1, putative | transcript_product=ADP,ATP carrier protein 1, putative | location=PvP01_06_v2:884744-885649(-) | protein_length=301 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0621700.1-p1   -            301 8131at5820           -            332   8.7e-08   30.1   2.6   2   2    0.0059       4.8    4.7   0.2    46    96   151   200   145   241 0.77 | transcript=PVP01_0621700.1 | gene=PVP01_0621700 | organism=Plasmodium_vivax_P01 | gene_product=ADP,ATP carrier protein 1, putative | transcript_product=ADP,ATP carrier protein 1, putative | location=PvP01_06_v2:884744-885649(-) | protein_length=301 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0510400.1-p1   -            318 8131at5820           -            332   1.4e-07   29.5   0.3   1   3   2.9e-05     0.023   12.3   0.0   181   224    18    61     7    67 0.91 | transcript=PVP01_0510400.1 | gene=PVP01_0510400 | organism=Plasmodium_vivax_P01 | gene_product=dicarboxylate/tricarboxylate carrier, putative | transcript_product=dicarboxylate/tricarboxylate carrier, putative | location=PvP01_05_v2:456141-457097(-) | protein_length=318 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0510400.1-p1   -            318 8131at5820           -            332   1.4e-07   29.5   0.3   2   3    0.0062         5    4.6   0.0   150   224    86   156    65   160 0.77 | transcript=PVP01_0510400.1 | gene=PVP01_0510400 | organism=Plasmodium_vivax_P01 | gene_product=dicarboxylate/tricarboxylate carrier, putative | transcript_product=dicarboxylate/tricarboxylate carrier, putative | location=PvP01_05_v2:456141-457097(-) | protein_length=318 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0510400.1-p1   -            318 8131at5820           -            332   1.4e-07   29.5   0.3   3   3   0.00078      0.63    7.6   1.5    55   183   172   316   158   318 0.59 | transcript=PVP01_0510400.1 | gene=PVP01_0510400 | organism=Plasmodium_vivax_P01 | gene_product=dicarboxylate/tricarboxylate carrier, putative | transcript_product=dicarboxylate/tricarboxylate carrier, putative | location=PvP01_05_v2:456141-457097(-) | protein_length=318 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1301500.1-p1   -            323 8131at5820           -            332   1.5e-06   26.0   3.9   1   1   4.3e-09   3.5e-06   24.8   3.9    11   219    39   255    29   274 0.73 | transcript=PVP01_1301500.1 | gene=PVP01_1301500 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial phosphate carrier protein, putative | transcript_product=mitochondrial phosphate carrier protein, putative | location=PvP01_13_v2:59045-60016(-) | protein_length=323 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0703600.1-p1   -           1119 8131at5820           -            332   2.2e-06   25.5  26.5   1   7   0.00027      0.22    9.1   0.9   185   305    25   141    11   147 0.75 | transcript=PVP01_0703600.1 | gene=PVP01_0703600 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=PvP01_07_v2:207306-210665(-) | protein_length=1119 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0703600.1-p1   -           1119 8131at5820           -            332   2.2e-06   25.5  26.5   2   7       1.7   1.4e+03   -3.4   0.0   244   296   425   477   408   485 0.59 | transcript=PVP01_0703600.1 | gene=PVP01_0703600 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=PvP01_07_v2:207306-210665(-) | protein_length=1119 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0703600.1-p1   -           1119 8131at5820           -            332   2.2e-06   25.5  26.5   3   7      0.31   2.5e+02   -1.0   6.3   149   176   671   698   569   698 0.59 | transcript=PVP01_0703600.1 | gene=PVP01_0703600 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=PvP01_07_v2:207306-210665(-) | protein_length=1119 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0703600.1-p1   -           1119 8131at5820           -            332   2.2e-06   25.5  26.5   4   7    0.0007      0.57    7.7   0.1   150   182   672   704   651   711 0.85 | transcript=PVP01_0703600.1 | gene=PVP01_0703600 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=PvP01_07_v2:207306-210665(-) | protein_length=1119 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0703600.1-p1   -           1119 8131at5820           -            332   2.2e-06   25.5  26.5   5   7     0.017        14    3.1   0.1   103   177   747   823   734   830 0.73 | transcript=PVP01_0703600.1 | gene=PVP01_0703600 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=PvP01_07_v2:207306-210665(-) | protein_length=1119 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0703600.1-p1   -           1119 8131at5820           -            332   2.2e-06   25.5  26.5   6   7   1.6e-06    0.0013   16.4   0.0   193   228  1026  1061   960  1065 0.75 | transcript=PVP01_0703600.1 | gene=PVP01_0703600 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=PvP01_07_v2:207306-210665(-) | protein_length=1119 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0703600.1-p1   -           1119 8131at5820           -            332   2.2e-06   25.5  26.5   7   7    0.0057       4.7    4.7   0.0    54    96  1067  1109  1061  1114 0.89 | transcript=PVP01_0703600.1 | gene=PVP01_0703600 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=PvP01_07_v2:207306-210665(-) | protein_length=1119 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0206600.1-p1   -            332 8131at5820           -            332   3.8e-06   24.7   3.6   1   3     0.047        38    1.7   0.0   201   224    30    53    22    59 0.81 | transcript=PVP01_0206600.1 | gene=PVP01_0206600 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=PvP01_02_v2:270539-272799(+) | protein_length=332 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0206600.1-p1   -            332 8131at5820           -            332   3.8e-06   24.7   3.6   2   3   0.00016      0.13    9.8   0.3   152   225    94   177    91   184 0.76 | transcript=PVP01_0206600.1 | gene=PVP01_0206600 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=PvP01_02_v2:270539-272799(+) | protein_length=332 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0206600.1-p1   -            332 8131at5820           -            332   3.8e-06   24.7   3.6   3   3   8.1e-05     0.066   10.8   0.0    54   130   188   273   180   307 0.72 | transcript=PVP01_0206600.1 | gene=PVP01_0206600 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=PvP01_02_v2:270539-272799(+) | protein_length=332 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1429200.1-p1   -            606 8131at5820           -            332         2    5.9  61.1   1   5      0.02        16    2.9   6.8   204   288    56   135    31   144 0.55 | transcript=PVP01_1429200.1 | gene=PVP01_1429200 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=PvP01_14_v2:1259368-1261188(+) | protein_length=606 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1429200.1-p1   -            606 8131at5820           -            332         2    5.9  61.1   2   5    0.0012      0.96    7.0  11.1   183   271   233   323   225   362 0.67 | transcript=PVP01_1429200.1 | gene=PVP01_1429200 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=PvP01_14_v2:1259368-1261188(+) | protein_length=606 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1429200.1-p1   -            606 8131at5820           -            332         2    5.9  61.1   3   5      0.85   6.9e+02   -2.4   3.9   247   279   345   376   326   400 0.46 | transcript=PVP01_1429200.1 | gene=PVP01_1429200 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=PvP01_14_v2:1259368-1261188(+) | protein_length=606 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1429200.1-p1   -            606 8131at5820           -            332         2    5.9  61.1   4   5     0.004       3.3    5.2  13.1   227   332   394   495   389   497 0.74 | transcript=PVP01_1429200.1 | gene=PVP01_1429200 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=PvP01_14_v2:1259368-1261188(+) | protein_length=606 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1429200.1-p1   -            606 8131at5820           -            332         2    5.9  61.1   5   5     0.015        12    3.4   0.7    54    96   557   599   547   603 0.84 | transcript=PVP01_1429200.1 | gene=PVP01_1429200 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=PvP01_14_v2:1259368-1261188(+) | protein_length=606 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/8131at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/8131at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/8131at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
