#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1254500.1-p1   -            212 13500at5820          -            182  6.7e-101  334.2  21.6   1   2   1.7e-54   2.2e-51  172.8   9.9     1    95     6   101     6   109 0.96 | transcript=PVP01_1254500.1 | gene=PVP01_1254500 | organism=Plasmodium_vivax_P01 | gene_product=syntaxin-6, putative | transcript_product=syntaxin-6, putative | location=PvP01_12_v2:2230940-2232696(+) | protein_length=212 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1254500.1-p1   -            212 13500at5820          -            182  6.7e-101  334.2  21.6   2   2   7.3e-53   9.5e-50  167.5   3.8    94   182   123   212   115   212 0.96 | transcript=PVP01_1254500.1 | gene=PVP01_1254500 | organism=Plasmodium_vivax_P01 | gene_product=syntaxin-6, putative | transcript_product=syntaxin-6, putative | location=PvP01_12_v2:2230940-2232696(+) | protein_length=212 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1003800.1-p1   -            225 13500at5820          -            182   5.7e-05   21.6  20.6   1   1   7.2e-08   9.3e-05   20.9  20.6    10   180    44   224    36   225 0.80 | transcript=PVP01_1003800.1 | gene=PVP01_1003800 | organism=Plasmodium_vivax_P01 | gene_product=SNARE protein, putative | transcript_product=SNARE protein, putative | location=PvP01_10_v2:191930-192735(-) | protein_length=225 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0000030.1-p1   -            856 13500at5820          -            182   0.00016   20.1  13.0   1   3   0.00066      0.86    7.9   0.7    44    81   117   154    96   173 0.86 | transcript=PVP01_0000030.1 | gene=PVP01_0000030 | organism=Plasmodium_vivax_P01 | gene_product=STP1 protein | transcript_product=STP1 protein | location=Transfer.PvP01_00_1.final:7307-10065(+) | protein_length=856 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVP01_0000030.1-p1   -            856 13500at5820          -            182   0.00016   20.1  13.0   2   3   0.00038       0.5    8.7   0.2    44    82   359   397   340   415 0.84 | transcript=PVP01_0000030.1 | gene=PVP01_0000030 | organism=Plasmodium_vivax_P01 | gene_product=STP1 protein | transcript_product=STP1 protein | location=Transfer.PvP01_00_1.final:7307-10065(+) | protein_length=856 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVP01_0000030.1-p1   -            856 13500at5820          -            182   0.00016   20.1  13.0   3   3   0.00012      0.15   10.4   0.3    23    81   452   509   438   526 0.82 | transcript=PVP01_0000030.1 | gene=PVP01_0000030 | organism=Plasmodium_vivax_P01 | gene_product=STP1 protein | transcript_product=STP1 protein | location=Transfer.PvP01_00_1.final:7307-10065(+) | protein_length=856 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVP01_0811300.1-p1   -            118 13500at5820          -            182    0.0011   17.4   8.5   1   1   1.8e-06    0.0023   16.3   8.5    88   171    21   105     2   114 0.75 | transcript=PVP01_0811300.1 | gene=PVP01_0811300 | organism=Plasmodium_vivax_P01 | gene_product=BET1-like protein, putative | transcript_product=BET1-like protein, putative | location=PvP01_08_v2:488129-488947(+) | protein_length=118 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1421300.1-p1   -            208 13500at5820          -            182       1.5    7.2  24.2   1   2     0.012        16    3.8   8.3    81   146     4    69     1    88 0.88 | transcript=PVP01_1421300.1 | gene=PVP01_1421300 | organism=Plasmodium_vivax_P01 | gene_product=SNARE protein, putative | transcript_product=SNARE protein, putative | location=PvP01_14_v2:924358-926093(+) | protein_length=208 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1421300.1-p1   -            208 13500at5820          -            182       1.5    7.2  24.2   2   2   0.00032      0.41    9.0   8.3    57   147   105   198    81   208 0.71 | transcript=PVP01_1421300.1 | gene=PVP01_1421300 | organism=Plasmodium_vivax_P01 | gene_product=SNARE protein, putative | transcript_product=SNARE protein, putative | location=PvP01_14_v2:924358-926093(+) | protein_length=208 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/13500at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/13500at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/13500at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:30:29 2026
# [ok]
