#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0319400.1-p1   -            834 4592at5820           -            509    1e-231  768.9  12.2   1   7       0.4   1.3e+03   -3.4   0.1     1    18     5    22     5    27 0.89 | transcript=PVP01_0319400.1 | gene=PVP01_0319400 | organism=Plasmodium_vivax_P01 | gene_product=metallo-hydrolase/oxidoreductase, putative | transcript_product=metallo-hydrolase/oxidoreductase, putative | location=PvP01_03_v2:800680-803184(+) | protein_length=834 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0319400.1-p1   -            834 4592at5820           -            509    1e-231  768.9  12.2   2   7   3.6e-06     0.012   13.2   0.0    23    48   130   155   126   171 0.86 | transcript=PVP01_0319400.1 | gene=PVP01_0319400 | organism=Plasmodium_vivax_P01 | gene_product=metallo-hydrolase/oxidoreductase, putative | transcript_product=metallo-hydrolase/oxidoreductase, putative | location=PvP01_03_v2:800680-803184(+) | protein_length=834 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0319400.1-p1   -            834 4592at5820           -            509    1e-231  768.9  12.2   3   7    0.0014       4.7    4.7   0.0    54    96   209   260   199   262 0.78 | transcript=PVP01_0319400.1 | gene=PVP01_0319400 | organism=Plasmodium_vivax_P01 | gene_product=metallo-hydrolase/oxidoreductase, putative | transcript_product=metallo-hydrolase/oxidoreductase, putative | location=PvP01_03_v2:800680-803184(+) | protein_length=834 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0319400.1-p1   -            834 4592at5820           -            509    1e-231  768.9  12.2   4   7    3e-103  9.8e-100  333.5   0.2    96   271   290   465   287   469 0.98 | transcript=PVP01_0319400.1 | gene=PVP01_0319400 | organism=Plasmodium_vivax_P01 | gene_product=metallo-hydrolase/oxidoreductase, putative | transcript_product=metallo-hydrolase/oxidoreductase, putative | location=PvP01_03_v2:800680-803184(+) | protein_length=834 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0319400.1-p1   -            834 4592at5820           -            509    1e-231  768.9  12.2   5   7   2.1e-87   6.7e-84  281.3   0.3   269   425   516   672   512   675 0.98 | transcript=PVP01_0319400.1 | gene=PVP01_0319400 | organism=Plasmodium_vivax_P01 | gene_product=metallo-hydrolase/oxidoreductase, putative | transcript_product=metallo-hydrolase/oxidoreductase, putative | location=PvP01_03_v2:800680-803184(+) | protein_length=834 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0319400.1-p1   -            834 4592at5820           -            509    1e-231  768.9  12.2   6   7   1.6e-37   5.2e-34  116.7   0.2   396   491   697   792   685   795 0.78 | transcript=PVP01_0319400.1 | gene=PVP01_0319400 | organism=Plasmodium_vivax_P01 | gene_product=metallo-hydrolase/oxidoreductase, putative | transcript_product=metallo-hydrolase/oxidoreductase, putative | location=PvP01_03_v2:800680-803184(+) | protein_length=834 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0319400.1-p1   -            834 4592at5820           -            509    1e-231  768.9  12.2   7   7     1e-08   3.3e-05   21.7   0.0   486   509   809   832   806   832 0.93 | transcript=PVP01_0319400.1 | gene=PVP01_0319400 | organism=Plasmodium_vivax_P01 | gene_product=metallo-hydrolase/oxidoreductase, putative | transcript_product=metallo-hydrolase/oxidoreductase, putative | location=PvP01_03_v2:800680-803184(+) | protein_length=834 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1241500.1-p1   -            891 4592at5820           -            509   5.6e-23   80.3  10.3   1   3   2.6e-11   8.4e-08   30.2   0.5   184   269    27   114    22   130 0.87 | transcript=PVP01_1241500.1 | gene=PVP01_1241500 | organism=Plasmodium_vivax_P01 | gene_product=ribonuclease Z, putative | transcript_product=ribonuclease Z, putative | location=PvP01_12_v2:1693215-1697684(-) | protein_length=891 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1241500.1-p1   -            891 4592at5820           -            509   5.6e-23   80.3  10.3   2   3   7.7e-09   2.5e-05   22.0   0.2   153   231   607   689   568   692 0.79 | transcript=PVP01_1241500.1 | gene=PVP01_1241500 | organism=Plasmodium_vivax_P01 | gene_product=ribonuclease Z, putative | transcript_product=ribonuclease Z, putative | location=PvP01_12_v2:1693215-1697684(-) | protein_length=891 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1241500.1-p1   -            891 4592at5820           -            509   5.6e-23   80.3  10.3   3   3   3.9e-12   1.3e-08   32.9   0.4   356   472   735   845   724   864 0.78 | transcript=PVP01_1241500.1 | gene=PVP01_1241500 | organism=Plasmodium_vivax_P01 | gene_product=ribonuclease Z, putative | transcript_product=ribonuclease Z, putative | location=PvP01_12_v2:1693215-1697684(-) | protein_length=891 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
