#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1334500.1-p1   -            304 8326at5820           -            292  3.1e-213  704.8   2.2   1   1  4.8e-216  3.5e-213  704.6   2.2     1   292     1   292     1   292 1.00 | transcript=PVP01_1334500.1 | gene=PVP01_1334500 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein phosphatase PP1, putative | transcript_product=serine/threonine protein phosphatase PP1, putative | location=PvP01_13_v2:1491222-1493377(-) | protein_length=304 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0726200.1-p1   -            307 8326at5820           -            292   1.6e-88  295.5   3.2   1   1   2.6e-91   1.9e-88  295.2   3.2    27   291    18   282     5   283 0.97 | transcript=PVP01_0726200.1 | gene=PVP01_0726200 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein phosphatase 4, putative | transcript_product=serine/threonine protein phosphatase 4, putative | location=PvP01_07_v2:1125205-1126128(-) | protein_length=307 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0723900.1-p1   -            516 8326at5820           -            292   2.7e-85  284.9   2.4   1   1   5.2e-88   3.8e-85  284.4   2.4    29   287   225   489   213   494 0.95 | transcript=PVP01_0723900.1 | gene=PVP01_0723900 | organism=Plasmodium_vivax_P01 | gene_product=protein phosphatase-beta, putative | transcript_product=protein phosphatase-beta, putative | location=PvP01_07_v2:1022564-1024282(-) | protein_length=516 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0825700.1-p1   -            308 8326at5820           -            292   8.8e-78  260.2   1.6   1   1   1.5e-80   1.1e-77  259.8   1.6    28   287    21   281     7   286 0.96 | transcript=PVP01_0825700.1 | gene=PVP01_0825700 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein phosphatase 6, putative | transcript_product=serine/threonine protein phosphatase 6, putative | location=PvP01_08_v2:1152073-1152999(+) | protein_length=308 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1240700.1-p1   -            878 8326at5820           -            292   3.8e-67  225.3   1.5   1   1   1.9e-69   1.4e-66  223.4   1.5    32   285   541   829   532   834 0.83 | transcript=PVP01_1240700.1 | gene=PVP01_1240700 | organism=Plasmodium_vivax_P01 | gene_product=protein phosphatase containing kelch-like domains, putative | transcript_product=protein phosphatase containing kelch-like domains, putative | location=PvP01_12_v2:1642983-1645747(-) | protein_length=878 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0117400.1-p1   -            564 8326at5820           -            292   7.3e-66  221.1   1.2   1   1   1.5e-68   1.1e-65  220.5   1.2    41   286    66   326    50   332 0.90 | transcript=PVP01_0117400.1 | gene=PVP01_0117400 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein phosphatase 2B catalytic subunit A, putative | transcript_product=serine/threonine protein phosphatase 2B catalytic subunit A, putative | location=PvP01_01_v2:781960-784201(-) | protein_length=564 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1116400.1-p1   -            682 8326at5820           -            292   4.5e-65  218.5   0.5   1   1     1e-67   7.4e-65  217.8   0.5    50   282   415   648   377   654 0.92 | transcript=PVP01_1116400.1 | gene=PVP01_1116400 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein phosphatase 5, putative | transcript_product=serine/threonine protein phosphatase 5, putative | location=PvP01_11_v2:707209-709257(-) | protein_length=682 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1325700.1-p1   -            969 8326at5820           -            292   5.5e-47  159.1   2.2   1   2   7.5e-50   5.5e-47  159.1   2.2    56   287   256   497   241   502 0.87 | transcript=PVP01_1325700.1 | gene=PVP01_1325700 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein phosphatase 7, putative | transcript_product=serine/threonine protein phosphatase 7, putative | location=PvP01_13_v2:1115890-1121168(-) | protein_length=969 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1325700.1-p1   -            969 8326at5820           -            292   5.5e-47  159.1   2.2   2   2      0.96   6.9e+02   -2.1   0.0   158   188   724   754   720   761 0.86 | transcript=PVP01_1325700.1 | gene=PVP01_1325700 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein phosphatase 7, putative | transcript_product=serine/threonine protein phosphatase 7, putative | location=PvP01_13_v2:1115890-1121168(-) | protein_length=969 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0603400.1-p1   -           2056 8326at5820           -            292   2.2e-37  127.6   0.9   1   2   4.1e-06    0.0029   15.6   0.0    29    95  1128  1197  1116  1207 0.81 | transcript=PVP01_0603400.1 | gene=PVP01_0603400 | organism=Plasmodium_vivax_P01 | gene_product=pseudophosphatase PPP8, putative | transcript_product=pseudophosphatase PPP8, putative | location=PvP01_06_v2:126689-133008(-) | protein_length=2056 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0603400.1-p1   -           2056 8326at5820           -            292   2.2e-37  127.6   0.9   2   2     2e-33   1.4e-30  105.2   0.7    81   279  1250  1496  1245  1504 0.76 | transcript=PVP01_0603400.1 | gene=PVP01_0603400 | organism=Plasmodium_vivax_P01 | gene_product=pseudophosphatase PPP8, putative | transcript_product=pseudophosphatase PPP8, putative | location=PvP01_06_v2:126689-133008(-) | protein_length=2056 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
