#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0615900.1-p1   -            236 11812at5820          -            168   3.3e-73  243.7  29.3   1   3   7.9e-28   3.7e-25   87.4   1.6     1    59     1    60     1    73 0.95 | transcript=PVP01_0615900.1 | gene=PVP01_0615900 | organism=Plasmodium_vivax_P01 | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=PvP01_06_v2:665940-666650(+) | protein_length=236 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0615900.1-p1   -            236 11812at5820          -            168   3.3e-73  243.7  29.3   2   3   2.8e-05     0.013   14.0   2.8    57    80   101   124    86   132 0.87 | transcript=PVP01_0615900.1 | gene=PVP01_0615900 | organism=Plasmodium_vivax_P01 | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=PvP01_06_v2:665940-666650(+) | protein_length=236 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0615900.1-p1   -            236 11812at5820          -            168   3.3e-73  243.7  29.3   3   3   2.2e-48     1e-45  154.3   9.7    74   168   141   235   128   235 0.95 | transcript=PVP01_0615900.1 | gene=PVP01_0615900 | organism=Plasmodium_vivax_P01 | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=PvP01_06_v2:665940-666650(+) | protein_length=236 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1315300.1-p1   -            149 11812at5820          -            168   1.1e-18   66.3   3.4   1   2   5.8e-09   2.7e-06   26.0   0.1     3    55     3    56     1    63 0.90 | transcript=PVP01_1315300.1 | gene=PVP01_1315300 | organism=Plasmodium_vivax_P01 | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=PvP01_13_v2:705695-706693(+) | protein_length=149 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1315300.1-p1   -            149 11812at5820          -            168   1.1e-18   66.3   3.4   2   2   1.2e-13   5.7e-11   41.2   0.6    82   164    63   145    57   148 0.93 | transcript=PVP01_1315300.1 | gene=PVP01_1315300 | organism=Plasmodium_vivax_P01 | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=PvP01_13_v2:705695-706693(+) | protein_length=149 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1260400.1-p1   -            168 11812at5820          -            168   6.3e-10   37.8   2.4   1   2   0.00014     0.065   11.7   0.0     5    52    21    69    17    77 0.82 | transcript=PVP01_1260400.1 | gene=PVP01_1260400 | organism=Plasmodium_vivax_P01 | gene_product=centrin-2, putative | transcript_product=centrin-2, putative | location=PvP01_12_v2:2483484-2484244(+) | protein_length=168 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1260400.1-p1   -            168 11812at5820          -            168   6.3e-10   37.8   2.4   2   2   5.8e-09   2.7e-06   26.0   1.5    74   157    71   154    59   166 0.87 | transcript=PVP01_1260400.1 | gene=PVP01_1260400 | organism=Plasmodium_vivax_P01 | gene_product=centrin-2, putative | transcript_product=centrin-2, putative | location=PvP01_12_v2:2483484-2484244(+) | protein_length=168 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0207800.1-p1   -            168 11812at5820          -            168   3.6e-09   35.4  10.9   1   2   6.3e-06    0.0029   16.1   0.3     7    55    23    72    17    78 0.81 | transcript=PVP01_0207800.1 | gene=PVP01_0207800 | organism=Plasmodium_vivax_P01 | gene_product=centrin-1, putative | transcript_product=centrin-1, putative | location=PvP01_02_v2:328638-329949(-) | protein_length=168 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0207800.1-p1   -            168 11812at5820          -            168   3.6e-09   35.4  10.9   2   2   1.2e-07   5.6e-05   21.7   5.2    81   147    78   144    70   164 0.90 | transcript=PVP01_0207800.1 | gene=PVP01_0207800 | organism=Plasmodium_vivax_P01 | gene_product=centrin-1, putative | transcript_product=centrin-1, putative | location=PvP01_02_v2:328638-329949(-) | protein_length=168 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0612800.1-p1   -            179 11812at5820          -            168     1e-08   33.9   8.8   1   2   5.1e-05     0.024   13.2   0.8     4    53    31    81    29    88 0.75 | transcript=PVP01_0612800.1 | gene=PVP01_0612800 | organism=Plasmodium_vivax_P01 | gene_product=centrin-3, putative | transcript_product=centrin-3, putative | location=PvP01_06_v2:553783-555183(-) | protein_length=179 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0612800.1-p1   -            179 11812at5820          -            168     1e-08   33.9   8.8   2   2   2.5e-08   1.2e-05   23.9   4.1    71   149    79   157    70   176 0.88 | transcript=PVP01_0612800.1 | gene=PVP01_0612800 | organism=Plasmodium_vivax_P01 | gene_product=centrin-3, putative | transcript_product=centrin-3, putative | location=PvP01_06_v2:553783-555183(-) | protein_length=179 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1463500.1-p1   -            209 11812at5820          -            168   5.8e-08   31.4   0.4   1   2      0.74   3.4e+02   -0.4   0.2    53    83    54    84    41    91 0.63 | transcript=PVP01_1463500.1 | gene=PVP01_1463500 | organism=Plasmodium_vivax_P01 | gene_product=myosin A-tail interacting protein, putative | transcript_product=myosin A-tail interacting protein, putative | location=PvP01_14_v2:2737238-2737867(+) | protein_length=209 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1463500.1-p1   -            209 11812at5820          -            168   5.8e-08   31.4   0.4   2   2   1.2e-10   5.8e-08   31.4   0.4    82   162   126   204   105   208 0.88 | transcript=PVP01_1463500.1 | gene=PVP01_1463500 | organism=Plasmodium_vivax_P01 | gene_product=myosin A-tail interacting protein, putative | transcript_product=myosin A-tail interacting protein, putative | location=PvP01_14_v2:2737238-2737867(+) | protein_length=209 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1423500.1-p1   -            244 11812at5820          -            168   1.7e-07   29.9  31.8   1   2     0.012       5.5    5.5   6.0     5    79    10    83     7    96 0.75 | transcript=PVP01_1423500.1 | gene=PVP01_1423500 | organism=Plasmodium_vivax_P01 | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=PvP01_14_v2:1036514-1037658(-) | protein_length=244 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1423500.1-p1   -            244 11812at5820          -            168   1.7e-07   29.9  31.8   2   2   6.2e-10   2.9e-07   29.2  18.5    58   163   112   232    90   237 0.64 | transcript=PVP01_1423500.1 | gene=PVP01_1423500 | organism=Plasmodium_vivax_P01 | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=PvP01_14_v2:1036514-1037658(-) | protein_length=244 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0906300.1-p1   -            167 11812at5820          -            168     2e-07   29.7  12.5   1   3   5.6e-06    0.0026   16.3   1.3   103   147    17    62     8    70 0.83 | transcript=PVP01_0906300.1 | gene=PVP01_0906300 | organism=Plasmodium_vivax_P01 | gene_product=centrin-4, putative | transcript_product=centrin-4, putative | location=PvP01_09_v2:359830-360606(+) | protein_length=167 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0906300.1-p1   -            167 11812at5820          -            168     2e-07   29.7  12.5   2   3   1.4e-05    0.0063   15.0   6.2    76   157    63   144    53   145 0.86 | transcript=PVP01_0906300.1 | gene=PVP01_0906300 | organism=Plasmodium_vivax_P01 | gene_product=centrin-4, putative | transcript_product=centrin-4, putative | location=PvP01_09_v2:359830-360606(+) | protein_length=167 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0906300.1-p1   -            167 11812at5820          -            168     2e-07   29.7  12.5   3   3     0.022        10    4.6   0.3    22    36   138   152   132   159 0.82 | transcript=PVP01_0906300.1 | gene=PVP01_0906300 | organism=Plasmodium_vivax_P01 | gene_product=centrin-4, putative | transcript_product=centrin-4, putative | location=PvP01_09_v2:359830-360606(+) | protein_length=167 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0919300.1-p1   -            662 11812at5820          -            168   2.3e-07   29.5   5.2   1   4       1.7   7.8e+02   -1.5   1.3     8    46    90   128    83   171 0.61 | transcript=PVP01_0919300.1 | gene=PVP01_0919300 | organism=Plasmodium_vivax_P01 | gene_product=myosin light chain B, putative | transcript_product=myosin light chain B, putative | location=PvP01_09_v2:847251-852193(-) | protein_length=662 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0919300.1-p1   -            662 11812at5820          -            168   2.3e-07   29.5   5.2   2   4      0.19        91    1.5   1.4    54    87   173   206   158   256 0.85 | transcript=PVP01_0919300.1 | gene=PVP01_0919300 | organism=Plasmodium_vivax_P01 | gene_product=myosin light chain B, putative | transcript_product=myosin light chain B, putative | location=PvP01_09_v2:847251-852193(-) | protein_length=662 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0919300.1-p1   -            662 11812at5820          -            168   2.3e-07   29.5   5.2   3   4       2.2     1e+03   -1.9   4.9    23   121   303   403   293   425 0.66 | transcript=PVP01_0919300.1 | gene=PVP01_0919300 | organism=Plasmodium_vivax_P01 | gene_product=myosin light chain B, putative | transcript_product=myosin light chain B, putative | location=PvP01_09_v2:847251-852193(-) | protein_length=662 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0919300.1-p1   -            662 11812at5820          -            168   2.3e-07   29.5   5.2   4   4   4.9e-10   2.3e-07   29.5   5.2    64   164   559   655   519   658 0.79 | transcript=PVP01_0919300.1 | gene=PVP01_0919300 | organism=Plasmodium_vivax_P01 | gene_product=myosin light chain B, putative | transcript_product=myosin light chain B, putative | location=PvP01_09_v2:847251-852193(-) | protein_length=662 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1330600.1-p1   -            136 11812at5820          -            168     6e-05   21.6   4.0   1   2     0.026        12    4.4   0.1    12    48     7    44     3    66 0.72 | transcript=PVP01_1330600.1 | gene=PVP01_1330600 | organism=Plasmodium_vivax_P01 | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=PvP01_13_v2:1281637-1282047(-) | protein_length=136 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1330600.1-p1   -            136 11812at5820          -            168     6e-05   21.6   4.0   2   2   2.8e-06    0.0013   17.3   2.3   103   156    72   125    47   134 0.88 | transcript=PVP01_1330600.1 | gene=PVP01_1330600 | organism=Plasmodium_vivax_P01 | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=PvP01_13_v2:1281637-1282047(-) | protein_length=136 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
