#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1018600.1-p1   -           1767 1229at5820           -           1016         0 1671.3  74.1   1   9    0.0002      0.42    6.8   0.0     2    25    13    36    12    43 0.92 | transcript=PVP01_1018600.1 | gene=PVP01_1018600 | organism=Plasmodium_vivax_P01 | gene_product=phosphatidylinositol 3-kinase, putative | transcript_product=phosphatidylinositol 3-kinase, putative | location=PvP01_10_v2:826183-831486(-) | protein_length=1767 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1018600.1-p1   -           1767 1229at5820           -           1016         0 1671.3  74.1   2   9    0.0043       9.4    2.3   0.7    24    46   113   135   110   143 0.87 | transcript=PVP01_1018600.1 | gene=PVP01_1018600 | organism=Plasmodium_vivax_P01 | gene_product=phosphatidylinositol 3-kinase, putative | transcript_product=phosphatidylinositol 3-kinase, putative | location=PvP01_10_v2:826183-831486(-) | protein_length=1767 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1018600.1-p1   -           1767 1229at5820           -           1016         0 1671.3  74.1   3   9   1.1e-06    0.0025   14.1   0.0    43    69   211   237   198   249 0.83 | transcript=PVP01_1018600.1 | gene=PVP01_1018600 | organism=Plasmodium_vivax_P01 | gene_product=phosphatidylinositol 3-kinase, putative | transcript_product=phosphatidylinositol 3-kinase, putative | location=PvP01_10_v2:826183-831486(-) | protein_length=1767 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1018600.1-p1   -           1767 1229at5820           -           1016         0 1671.3  74.1   4   9   4.5e-29   9.7e-26   88.3   0.4    68   166   370   494   362   499 0.85 | transcript=PVP01_1018600.1 | gene=PVP01_1018600 | organism=Plasmodium_vivax_P01 | gene_product=phosphatidylinositol 3-kinase, putative | transcript_product=phosphatidylinositol 3-kinase, putative | location=PvP01_10_v2:826183-831486(-) | protein_length=1767 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1018600.1-p1   -           1767 1229at5820           -           1016         0 1671.3  74.1   5   9   2.6e-14   5.6e-11   39.5   0.1   180   222   690   732   684   735 0.94 | transcript=PVP01_1018600.1 | gene=PVP01_1018600 | organism=Plasmodium_vivax_P01 | gene_product=phosphatidylinositol 3-kinase, putative | transcript_product=phosphatidylinositol 3-kinase, putative | location=PvP01_10_v2:826183-831486(-) | protein_length=1767 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1018600.1-p1   -           1767 1229at5820           -           1016         0 1671.3  74.1   6   9   8.8e-05      0.19    7.9   0.0   219   235   768   784   764   793 0.88 | transcript=PVP01_1018600.1 | gene=PVP01_1018600 | organism=Plasmodium_vivax_P01 | gene_product=phosphatidylinositol 3-kinase, putative | transcript_product=phosphatidylinositol 3-kinase, putative | location=PvP01_10_v2:826183-831486(-) | protein_length=1767 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1018600.1-p1   -           1767 1229at5820           -           1016         0 1671.3  74.1   7   9  6.9e-170  1.5e-166  554.5  20.1   236   538   843  1150   839  1153 0.97 | transcript=PVP01_1018600.1 | gene=PVP01_1018600 | organism=Plasmodium_vivax_P01 | gene_product=phosphatidylinositol 3-kinase, putative | transcript_product=phosphatidylinositol 3-kinase, putative | location=PvP01_10_v2:826183-831486(-) | protein_length=1767 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1018600.1-p1   -           1767 1229at5820           -           1016         0 1671.3  74.1   8   9   1.2e-99   2.6e-96  322.0  11.8   537   743  1205  1444  1201  1449 0.89 | transcript=PVP01_1018600.1 | gene=PVP01_1018600 | organism=Plasmodium_vivax_P01 | gene_product=phosphatidylinositol 3-kinase, putative | transcript_product=phosphatidylinositol 3-kinase, putative | location=PvP01_10_v2:826183-831486(-) | protein_length=1767 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1018600.1-p1   -           1767 1229at5820           -           1016         0 1671.3  74.1   9   9  1.8e-199  3.9e-196  652.4   8.0   737  1016  1488  1767  1479  1767 0.98 | transcript=PVP01_1018600.1 | gene=PVP01_1018600 | organism=Plasmodium_vivax_P01 | gene_product=phosphatidylinositol 3-kinase, putative | transcript_product=phosphatidylinositol 3-kinase, putative | location=PvP01_10_v2:826183-831486(-) | protein_length=1767 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1024200.1-p1   -           1531 1229at5820           -           1016   7.7e-32  108.5   3.1   1   2      0.29   6.2e+02   -3.7   0.8   362   439   418   494   401   505 0.61 | transcript=PVP01_1024200.1 | gene=PVP01_1024200 | organism=Plasmodium_vivax_P01 | gene_product=phosphatidylinositol 4-kinase beta, putative | transcript_product=phosphatidylinositol 4-kinase beta, putative | location=PvP01_10_v2:1053244-1058467(-) | protein_length=1531 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1024200.1-p1   -           1531 1229at5820           -           1016   7.7e-32  108.5   3.1   2   2   3.5e-35   7.7e-32  108.5   3.1   739  1000  1256  1515  1217  1525 0.83 | transcript=PVP01_1024200.1 | gene=PVP01_1024200 | organism=Plasmodium_vivax_P01 | gene_product=phosphatidylinositol 4-kinase beta, putative | transcript_product=phosphatidylinositol 4-kinase beta, putative | location=PvP01_10_v2:1053244-1058467(-) | protein_length=1531 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
