#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1340300.1-p1   -           6627 43at5820             -           4310         0 7749.6 609.7   1  26  3.7e-172    4e-169  562.8  40.9     1   272     1   274     1   278 0.99 | transcript=PVP01_1340300.1 | gene=PVP01_1340300 | organism=Plasmodium_vivax_P01 | gene_product=conserved protein, unknown function | transcript_product=conserved protein, unknown function | location=PvP01_13_v2:1752351-1772434(+) | protein_length=6627 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1340300.1-p1   -           6627 43at5820             -           4310         0 7749.6 609.7   2  26   3.1e-38   3.4e-35  118.3   3.1   266   336   485   555   477   563 0.94 | transcript=PVP01_1340300.1 | gene=PVP01_1340300 | organism=Plasmodium_vivax_P01 | gene_product=conserved protein, unknown function | transcript_product=conserved protein, unknown function | location=PvP01_13_v2:1752351-1772434(+) | protein_length=6627 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1340300.1-p1   -           6627 43at5820             -           4310         0 7749.6 609.7   3  26  1.5e-141  1.7e-138  461.2  30.5   329   589   633   900   627   906 0.96 | transcript=PVP01_1340300.1 | gene=PVP01_1340300 | organism=Plasmodium_vivax_P01 | gene_product=conserved protein, unknown function | transcript_product=conserved protein, unknown function | location=PvP01_13_v2:1752351-1772434(+) | protein_length=6627 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1340300.1-p1   -           6627 43at5820             -           4310         0 7749.6 609.7   4  26  1.5e-249  1.7e-246  819.7  31.9   585   978   942  1343   933  1355 0.98 | transcript=PVP01_1340300.1 | gene=PVP01_1340300 | organism=Plasmodium_vivax_P01 | gene_product=conserved protein, unknown function | transcript_product=conserved protein, unknown function | location=PvP01_13_v2:1752351-1772434(+) | protein_length=6627 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1340300.1-p1   -           6627 43at5820             -           4310         0 7749.6 609.7   5  26   1.2e-71   1.3e-68  229.2  10.7   977  1108  1377  1508  1365  1515 0.94 | transcript=PVP01_1340300.1 | gene=PVP01_1340300 | organism=Plasmodium_vivax_P01 | gene_product=conserved protein, unknown function | transcript_product=conserved protein, unknown function | location=PvP01_13_v2:1752351-1772434(+) | protein_length=6627 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1340300.1-p1   -           6627 43at5820             -           4310         0 7749.6 609.7   6  26   5.8e-60   6.3e-57  190.4   4.9  1104  1208  1539  1649  1535  1655 0.94 | transcript=PVP01_1340300.1 | gene=PVP01_1340300 | organism=Plasmodium_vivax_P01 | gene_product=conserved protein, unknown function | transcript_product=conserved protein, unknown function | location=PvP01_13_v2:1752351-1772434(+) | protein_length=6627 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1340300.1-p1   -           6627 43at5820             -           4310         0 7749.6 609.7   7  26   2.3e-73   2.5e-70  234.9  38.2  1213  1399  1865  2120  1862  2134 0.80 | transcript=PVP01_1340300.1 | gene=PVP01_1340300 | organism=Plasmodium_vivax_P01 | gene_product=conserved protein, unknown function | transcript_product=conserved protein, unknown function | location=PvP01_13_v2:1752351-1772434(+) | protein_length=6627 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1340300.1-p1   -           6627 43at5820             -           4310         0 7749.6 609.7   8  26   9.5e-23     1e-19   66.9   3.3  1395  1442  2156  2203  2151  2206 0.95 | transcript=PVP01_1340300.1 | gene=PVP01_1340300 | organism=Plasmodium_vivax_P01 | gene_product=conserved protein, unknown function | transcript_product=conserved protein, unknown function | location=PvP01_13_v2:1752351-1772434(+) | protein_length=6627 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1340300.1-p1   -           6627 43at5820             -           4310         0 7749.6 609.7   9  26   8.9e-86   9.7e-83  276.1  18.0  1439  1586  2323  2470  2299  2487 0.92 | transcript=PVP01_1340300.1 | gene=PVP01_1340300 | organism=Plasmodium_vivax_P01 | gene_product=conserved protein, unknown function | transcript_product=conserved protein, unknown function | location=PvP01_13_v2:1752351-1772434(+) | protein_length=6627 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1340300.1-p1   -           6627 43at5820             -           4310         0 7749.6 609.7  10  26    1e-192  1.1e-189  631.1  35.3  1583  1933  2510  2909  2507  2930 0.91 | transcript=PVP01_1340300.1 | gene=PVP01_1340300 | organism=Plasmodium_vivax_P01 | gene_product=conserved protein, unknown function | transcript_product=conserved protein, unknown function | location=PvP01_13_v2:1752351-1772434(+) | protein_length=6627 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1340300.1-p1   -           6627 43at5820             -           4310         0 7749.6 609.7  11  26   3.6e-09   3.9e-06   21.9   4.3  1923  1952  2967  2996  2952  3001 0.85 | transcript=PVP01_1340300.1 | gene=PVP01_1340300 | organism=Plasmodium_vivax_P01 | gene_product=conserved protein, unknown function | transcript_product=conserved protein, unknown function | location=PvP01_13_v2:1752351-1772434(+) | protein_length=6627 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1340300.1-p1   -           6627 43at5820             -           4310         0 7749.6 609.7  12  26   3.5e-54   3.8e-51  171.2  11.4  1948  2051  3051  3158  3011  3174 0.83 | transcript=PVP01_1340300.1 | gene=PVP01_1340300 | organism=Plasmodium_vivax_P01 | gene_product=conserved protein, unknown function | transcript_product=conserved protein, unknown function | location=PvP01_13_v2:1752351-1772434(+) | protein_length=6627 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
