#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0619000.1-p1   -            191 11721at5820          -            163  1.8e-109  361.4   1.6   1   1  4.4e-112  2.2e-109  361.1   1.6     1   163    19   191    19   191 0.97 | transcript=PVP01_0619000.1 | gene=PVP01_0619000 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-conjugating enzyme E2, putative | transcript_product=ubiquitin-conjugating enzyme E2, putative | location=PvP01_06_v2:779067-780509(-) | protein_length=191 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1006700.1-p1   -            152 11721at5820          -            163   2.5e-20   71.5   0.0   1   1   6.6e-23   3.3e-20   71.1   0.0    14   127    32   148    28   151 0.91 | transcript=PVP01_1006700.1 | gene=PVP01_1006700 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-conjugating enzyme E2 13, putative | transcript_product=ubiquitin-conjugating enzyme E2 13, putative | location=PvP01_10_v2:295548-296628(+) | protein_length=152 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1303100.1-p1   -            147 11721at5820          -            163   1.3e-17   62.7   0.2   1   1   3.4e-20   1.7e-17   62.3   0.2    25   126    47   146    35   147 0.93 | transcript=PVP01_1303100.1 | gene=PVP01_1303100 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-conjugating enzyme E2, putative | transcript_product=ubiquitin-conjugating enzyme E2, putative | location=PvP01_13_v2:139095-140725(+) | protein_length=147 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0820900.1-p1   -            160 11721at5820          -            163   1.4e-17   62.6   0.1   1   1   3.5e-20   1.8e-17   62.3   0.1    21   121    41   144    32   158 0.83 | transcript=PVP01_0820900.1 | gene=PVP01_0820900 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-conjugating enzyme E2, putative | transcript_product=ubiquitin-conjugating enzyme E2, putative | location=PvP01_08_v2:917934-918552(-) | protein_length=160 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1427600.1-p1   -            164 11721at5820          -            163   3.1e-16   58.2   0.0   1   1   7.8e-19   3.9e-16   57.9   0.0    24   124    49   147    33   161 0.91 | transcript=PVP01_1427600.1 | gene=PVP01_1427600 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-conjugating enzyme E2, putative | transcript_product=ubiquitin-conjugating enzyme E2, putative | location=PvP01_14_v2:1176660-1177459(+) | protein_length=164 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1142700.1-p1   -            152 11721at5820          -            163   3.8e-16   58.0   0.0   1   1   8.6e-19   4.3e-16   57.8   0.0    24   109    46   130    21   151 0.86 | transcript=PVP01_1142700.1 | gene=PVP01_1142700 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-conjugating enzyme E2 PEX4, putative | transcript_product=ubiquitin-conjugating enzyme E2 PEX4, putative | location=PvP01_11_v2:1812408-1813708(+) | protein_length=152 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1115600.1-p1   -            202 11721at5820          -            163   2.4e-15   55.3   0.3   1   1   7.4e-18   3.7e-15   54.7   0.3    25   127    55   156    19   179 0.85 | transcript=PVP01_1115600.1 | gene=PVP01_1115600 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-conjugating enzyme E2, putative | transcript_product=ubiquitin-conjugating enzyme E2, putative | location=PvP01_11_v2:668834-670589(-) | protein_length=202 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1462400.1-p1   -            150 11721at5820          -            163   8.9e-14   50.2   0.1   1   1   2.5e-16   1.2e-13   49.8   0.1    32   116    62   144    51   148 0.87 | transcript=PVP01_1462400.1 | gene=PVP01_1462400 | organism=Plasmodium_vivax_P01 | gene_product=NEDD8-conjugating enzyme UBC12, putative | transcript_product=NEDD8-conjugating enzyme UBC12, putative | location=PvP01_14_v2:2690430-2691637(+) | protein_length=150 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0713500.1-p1   -            159 11721at5820          -            163   1.7e-11   42.9   0.0   1   1   3.8e-14   1.9e-11   42.7   0.0    22   125    47   155    31   159 0.82 | transcript=PVP01_0713500.1 | gene=PVP01_0713500 | organism=Plasmodium_vivax_P01 | gene_product=SUMO-conjugating enzyme UBC9, putative | transcript_product=SUMO-conjugating enzyme UBC9, putative | location=PvP01_07_v2:630597-631487(-) | protein_length=159 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0719400.1-p1   -            163 11721at5820          -            163   6.1e-09   34.5   1.2   1   1   5.9e-11     3e-08   32.3   1.2    11   121    32   159    21   163 0.76 | transcript=PVP01_0719400.1 | gene=PVP01_0719400 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-conjugating enzyme E2, putative | transcript_product=ubiquitin-conjugating enzyme E2, putative | location=PvP01_07_v2:850305-851664(-) | protein_length=163 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1460800.1-p1   -            629 11721at5820          -            163   7.2e-06   24.5   0.1   1   1   2.4e-08   1.2e-05   23.8   0.1    27   126   215   317   201   350 0.81 | transcript=PVP01_1460800.1 | gene=PVP01_1460800 | organism=Plasmodium_vivax_P01 | gene_product=fused toes protein homolog FTS, putative | transcript_product=fused toes protein homolog FTS, putative | location=PvP01_14_v2:2626103-2627992(+) | protein_length=629 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
