#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1230600.1-p1   -           1248 2486at5820           -            754  2.9e-270  897.3  25.9   1   9   0.00016      0.52    7.0   0.1     1    21     1    26     1    34 0.73 | transcript=PVP01_1230600.1 | gene=PVP01_1230600 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:1226404-1230150(+) | protein_length=1248 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1230600.1-p1   -           1248 2486at5820           -            754  2.9e-270  897.3  25.9   2   9   1.1e-07   0.00035   17.5   0.0    25    55    64   101    55   105 0.79 | transcript=PVP01_1230600.1 | gene=PVP01_1230600 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:1226404-1230150(+) | protein_length=1248 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1230600.1-p1   -           1248 2486at5820           -            754  2.9e-270  897.3  25.9   3   9   1.7e-57   5.5e-54  182.1   4.8    55   196   138   291   131   298 0.92 | transcript=PVP01_1230600.1 | gene=PVP01_1230600 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:1226404-1230150(+) | protein_length=1248 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1230600.1-p1   -           1248 2486at5820           -            754  2.9e-270  897.3  25.9   4   9   1.3e-26   4.2e-23   80.0   1.8   193   297   326   456   319   460 0.79 | transcript=PVP01_1230600.1 | gene=PVP01_1230600 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:1226404-1230150(+) | protein_length=1248 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1230600.1-p1   -           1248 2486at5820           -            754  2.9e-270  897.3  25.9   5   9   3.1e-75     1e-71  240.8   0.0   298   437   527   667   511   674 0.95 | transcript=PVP01_1230600.1 | gene=PVP01_1230600 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:1226404-1230150(+) | protein_length=1248 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1230600.1-p1   -           1248 2486at5820           -            754  2.9e-270  897.3  25.9   6   9   5.1e-37   1.7e-33  114.4   0.0   437   536   715   838   709   855 0.81 | transcript=PVP01_1230600.1 | gene=PVP01_1230600 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:1226404-1230150(+) | protein_length=1248 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1230600.1-p1   -           1248 2486at5820           -            754  2.9e-270  897.3  25.9   7   9   5.9e-22   1.9e-18   64.6   0.2   537   620   890  1008   882  1014 0.79 | transcript=PVP01_1230600.1 | gene=PVP01_1230600 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:1226404-1230150(+) | protein_length=1248 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1230600.1-p1   -           1248 2486at5820           -            754  2.9e-270  897.3  25.9   8   9   7.3e-32   2.4e-28   97.4   0.0   610   683  1031  1104  1024  1110 0.90 | transcript=PVP01_1230600.1 | gene=PVP01_1230600 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:1226404-1230150(+) | protein_length=1248 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1230600.1-p1   -           1248 2486at5820           -            754  2.9e-270  897.3  25.9   9   9   2.1e-31   6.7e-28   95.9   0.6   684   746  1135  1197  1132  1200 0.95 | transcript=PVP01_1230600.1 | gene=PVP01_1230600 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:1226404-1230150(+) | protein_length=1248 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0830700.1-p1   -            613 2486at5820           -            754     0.001   15.9   0.0   1   2     0.014        47    0.5   0.0   293   323   231   261   219   269 0.76 | transcript=PVP01_0830700.1 | gene=PVP01_0830700 | organism=Plasmodium_vivax_P01 | gene_product=asparagine synthetase [glutamine-hydrolyzing], putative | transcript_product=asparagine synthetase [glutamine-hydrolyzing], putative | location=PvP01_08_v2:1329996-1332389(-) | protein_length=613 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0830700.1-p1   -            613 2486at5820           -            754     0.001   15.9   0.0   2   2   2.5e-06    0.0082   12.9   0.0   588   673   369   452   359   457 0.64 | transcript=PVP01_0830700.1 | gene=PVP01_0830700 | organism=Plasmodium_vivax_P01 | gene_product=asparagine synthetase [glutamine-hydrolyzing], putative | transcript_product=asparagine synthetase [glutamine-hydrolyzing], putative | location=PvP01_08_v2:1329996-1332389(-) | protein_length=613 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
