#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1229600.1-p1   -             77 15158at5820          -             65   5.3e-45  149.7   2.8   1   1   4.6e-46   4.3e-43  143.6   2.8     1    65     1    74     1    74 0.94 | transcript=PVP01_1229600.1 | gene=PVP01_1229600 | organism=Plasmodium_vivax_P01 | gene_product=U6 snRNA-associated Sm-like protein LSm6, putative | transcript_product=U6 snRNA-associated Sm-like protein LSm6, putative | location=PvP01_12_v2:1183413-1183646(+) | protein_length=77 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0927600.1-p1   -             86 15158at5820          -             65   4.1e-13   47.5   0.1   1   1   1.6e-15   1.4e-12   45.8   0.1     5    63     9    76     5    77 0.85 | transcript=PVP01_0927600.1 | gene=PVP01_0927600 | organism=Plasmodium_vivax_P01 | gene_product=small nuclear ribonucleoprotein F, putative | transcript_product=small nuclear ribonucleoprotein F, putative | location=PvP01_09_v2:1217183-1218081(-) | protein_length=86 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0907800.1-p1   -            127 15158at5820          -             65   7.3e-05   21.1   1.5   1   2   3.3e-07   0.00031   19.1   0.2    15    63    13    71     4    73 0.73 | transcript=PVP01_0907800.1 | gene=PVP01_0907800 | organism=Plasmodium_vivax_P01 | gene_product=U6 snRNA-associated Sm-like protein LSm4, putative | transcript_product=U6 snRNA-associated Sm-like protein LSm4, putative | location=PvP01_09_v2:411259-412094(+) | protein_length=127 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0907800.1-p1   -            127 15158at5820          -             65   7.3e-05   21.1   1.5   2   2       2.5   2.3e+03   -2.9   0.1    39    49    77    87    74    92 0.66 | transcript=PVP01_0907800.1 | gene=PVP01_0907800 | organism=Plasmodium_vivax_P01 | gene_product=U6 snRNA-associated Sm-like protein LSm4, putative | transcript_product=U6 snRNA-associated Sm-like protein LSm4, putative | location=PvP01_09_v2:411259-412094(+) | protein_length=127 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0926200.1-p1   -            127 15158at5820          -             65    0.0016   16.9   2.0   1   2   5.8e-05     0.054   11.9   0.2     9    44     6    41     4    52 0.89 | transcript=PVP01_0926200.1 | gene=PVP01_0926200 | organism=Plasmodium_vivax_P01 | gene_product=small nuclear ribonucleoprotein Sm D1, putative | transcript_product=small nuclear ribonucleoprotein Sm D1, putative | location=PvP01_09_v2:1161102-1161485(-) | protein_length=127 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0926200.1-p1   -            127 15158at5820          -             65    0.0016   16.9   2.0   2   2     0.012        12    4.4   0.1    40    61    56    77    52    80 0.79 | transcript=PVP01_0926200.1 | gene=PVP01_0926200 | organism=Plasmodium_vivax_P01 | gene_product=small nuclear ribonucleoprotein Sm D1, putative | transcript_product=small nuclear ribonucleoprotein Sm D1, putative | location=PvP01_09_v2:1161102-1161485(-) | protein_length=127 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1013600.1-p1   -            103 15158at5820          -             65     0.035   12.5   0.0   1   1   0.00012      0.11   10.9   0.0    14    61    13    71     5    73 0.65 | transcript=PVP01_1013600.1 | gene=PVP01_1013600 | organism=Plasmodium_vivax_P01 | gene_product=U6 snRNA-associated Sm-like protein LSm2, putative | transcript_product=U6 snRNA-associated Sm-like protein LSm2, putative | location=PvP01_10_v2:608071-608760(-) | protein_length=103 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0512000.1-p1   -             83 15158at5820          -             65     0.039   12.4   0.3   1   1   7.9e-05     0.074   11.5   0.3    17    61    21    73     9    77 0.74 | transcript=PVP01_0512000.1 | gene=PVP01_0512000 | organism=Plasmodium_vivax_P01 | gene_product=small nuclear ribonucleoprotein G, putative | transcript_product=small nuclear ribonucleoprotein G, putative | location=PvP01_05_v2:514732-515202(+) | protein_length=83 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1308300.1-p1   -            107 15158at5820          -             65     0.041   12.3   0.1   1   1     6e-05     0.056   11.9   0.1    15    54    25    68     9    76 0.80 | transcript=PVP01_1308300.1 | gene=PVP01_1308300 | organism=Plasmodium_vivax_P01 | gene_product=U6 snRNA-associated Sm-like protein LSm7, putative | transcript_product=U6 snRNA-associated Sm-like protein LSm7, putative | location=PvP01_13_v2:385227-386003(+) | protein_length=107 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/15158at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/15158at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/15158at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:35:15 2026
# [ok]
