#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0822400.1-p1   -           2580 422at5820            -           1432         0 2332.9 154.2   1  12  1.1e-101   2.3e-98  328.7  13.4     2   178    15   195    14   199 0.97 | transcript=PVP01_0822400.1 | gene=PVP01_0822400 | organism=Plasmodium_vivax_P01 | gene_product=CPSF (cleavage and polyadenylation specific factor), subunit A, putative | transcript_product=CPSF (cleavage and polyadenylation specific factor), subunit A, putative | location=PvP01_08_v2:986945-996166(-) | protein_length=2580 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0822400.1-p1   -           2580 422at5820            -           1432         0 2332.9 154.2   2  12   3.6e-15   7.9e-12   42.0   0.2   177   227   407   458   405   463 0.87 | transcript=PVP01_0822400.1 | gene=PVP01_0822400 | organism=Plasmodium_vivax_P01 | gene_product=CPSF (cleavage and polyadenylation specific factor), subunit A, putative | transcript_product=CPSF (cleavage and polyadenylation specific factor), subunit A, putative | location=PvP01_08_v2:986945-996166(-) | protein_length=2580 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0822400.1-p1   -           2580 422at5820            -           1432         0 2332.9 154.2   3  12   1.2e-46   2.7e-43  146.2   1.3   215   304   502   591   495   598 0.96 | transcript=PVP01_0822400.1 | gene=PVP01_0822400 | organism=Plasmodium_vivax_P01 | gene_product=CPSF (cleavage and polyadenylation specific factor), subunit A, putative | transcript_product=CPSF (cleavage and polyadenylation specific factor), subunit A, putative | location=PvP01_08_v2:986945-996166(-) | protein_length=2580 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0822400.1-p1   -           2580 422at5820            -           1432         0 2332.9 154.2   4  12   4.9e-32   1.1e-28   97.9   0.0   295   355   655   715   650   723 0.94 | transcript=PVP01_0822400.1 | gene=PVP01_0822400 | organism=Plasmodium_vivax_P01 | gene_product=CPSF (cleavage and polyadenylation specific factor), subunit A, putative | transcript_product=CPSF (cleavage and polyadenylation specific factor), subunit A, putative | location=PvP01_08_v2:986945-996166(-) | protein_length=2580 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0822400.1-p1   -           2580 422at5820            -           1432         0 2332.9 154.2   5  12   3.2e-49   6.9e-46  154.8   3.7   354   440   819   905   810   911 0.95 | transcript=PVP01_0822400.1 | gene=PVP01_0822400 | organism=Plasmodium_vivax_P01 | gene_product=CPSF (cleavage and polyadenylation specific factor), subunit A, putative | transcript_product=CPSF (cleavage and polyadenylation specific factor), subunit A, putative | location=PvP01_08_v2:986945-996166(-) | protein_length=2580 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0822400.1-p1   -           2580 422at5820            -           1432         0 2332.9 154.2   6  12   1.6e-41   3.5e-38  129.3   2.5   438   512   967  1041   964  1046 0.97 | transcript=PVP01_0822400.1 | gene=PVP01_0822400 | organism=Plasmodium_vivax_P01 | gene_product=CPSF (cleavage and polyadenylation specific factor), subunit A, putative | transcript_product=CPSF (cleavage and polyadenylation specific factor), subunit A, putative | location=PvP01_08_v2:986945-996166(-) | protein_length=2580 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0822400.1-p1   -           2580 422at5820            -           1432         0 2332.9 154.2   7  12   9.5e-60   2.1e-56  189.7   8.4   513   637  1105  1230  1101  1239 0.96 | transcript=PVP01_0822400.1 | gene=PVP01_0822400 | organism=Plasmodium_vivax_P01 | gene_product=CPSF (cleavage and polyadenylation specific factor), subunit A, putative | transcript_product=CPSF (cleavage and polyadenylation specific factor), subunit A, putative | location=PvP01_08_v2:986945-996166(-) | protein_length=2580 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0822400.1-p1   -           2580 422at5820            -           1432         0 2332.9 154.2   8  12   4.3e-18   9.3e-15   51.7   0.0   640   680  1302  1342  1296  1353 0.92 | transcript=PVP01_0822400.1 | gene=PVP01_0822400 | organism=Plasmodium_vivax_P01 | gene_product=CPSF (cleavage and polyadenylation specific factor), subunit A, putative | transcript_product=CPSF (cleavage and polyadenylation specific factor), subunit A, putative | location=PvP01_08_v2:986945-996166(-) | protein_length=2580 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0822400.1-p1   -           2580 422at5820            -           1432         0 2332.9 154.2   9  12   1.3e-31   2.8e-28   96.5   0.3   677   788  1420  1548  1411  1551 0.88 | transcript=PVP01_0822400.1 | gene=PVP01_0822400 | organism=Plasmodium_vivax_P01 | gene_product=CPSF (cleavage and polyadenylation specific factor), subunit A, putative | transcript_product=CPSF (cleavage and polyadenylation specific factor), subunit A, putative | location=PvP01_08_v2:986945-996166(-) | protein_length=2580 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0822400.1-p1   -           2580 422at5820            -           1432         0 2332.9 154.2  10  12     2e-12   4.4e-09   32.9   0.4   788   835  1609  1660  1602  1670 0.81 | transcript=PVP01_0822400.1 | gene=PVP01_0822400 | organism=Plasmodium_vivax_P01 | gene_product=CPSF (cleavage and polyadenylation specific factor), subunit A, putative | transcript_product=CPSF (cleavage and polyadenylation specific factor), subunit A, putative | location=PvP01_08_v2:986945-996166(-) | protein_length=2580 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0822400.1-p1   -           2580 422at5820            -           1432         0 2332.9 154.2  11  12  3.2e-129  6.9e-126  419.9  37.9   822  1090  1883  2173  1870  2178 0.89 | transcript=PVP01_0822400.1 | gene=PVP01_0822400 | organism=Plasmodium_vivax_P01 | gene_product=CPSF (cleavage and polyadenylation specific factor), subunit A, putative | transcript_product=CPSF (cleavage and polyadenylation specific factor), subunit A, putative | location=PvP01_08_v2:986945-996166(-) | protein_length=2580 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
