#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1342500.1-p1   -           2638 951at5820            -           1755         0 2777.1 461.4   1  14   0.00054       1.2    4.9   0.6     2    34    23    56    22    91 0.68 | transcript=PVP01_1342500.1 | gene=PVP01_1342500 | organism=Plasmodium_vivax_P01 | gene_product=transcription elongation factor SPT6, putative | transcript_product=transcription elongation factor SPT6, putative | location=PvP01_13_v2:1864238-1872154(-) | protein_length=2638 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1342500.1-p1   -           2638 951at5820            -           1755         0 2777.1 461.4   2  14     0.012        26    0.4  20.2    20   126    96   200    86   228 0.64 | transcript=PVP01_1342500.1 | gene=PVP01_1342500 | organism=Plasmodium_vivax_P01 | gene_product=transcription elongation factor SPT6, putative | transcript_product=transcription elongation factor SPT6, putative | location=PvP01_13_v2:1864238-1872154(-) | protein_length=2638 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1342500.1-p1   -           2638 951at5820            -           1755         0 2777.1 461.4   3  14     1e-74   2.2e-71  239.4  96.9    35   250   227   485   191   500 0.79 | transcript=PVP01_1342500.1 | gene=PVP01_1342500 | organism=Plasmodium_vivax_P01 | gene_product=transcription elongation factor SPT6, putative | transcript_product=transcription elongation factor SPT6, putative | location=PvP01_13_v2:1864238-1872154(-) | protein_length=2638 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1342500.1-p1   -           2638 951at5820            -           1755         0 2777.1 461.4   4  14   8.2e-12   1.8e-08   30.8  18.5   238   303   511   583   494   588 0.80 | transcript=PVP01_1342500.1 | gene=PVP01_1342500 | organism=Plasmodium_vivax_P01 | gene_product=transcription elongation factor SPT6, putative | transcript_product=transcription elongation factor SPT6, putative | location=PvP01_13_v2:1864238-1872154(-) | protein_length=2638 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1342500.1-p1   -           2638 951at5820            -           1755         0 2777.1 461.4   5  14         3   6.5e+03  -23.8  45.9    35   108   577   650   570   667 0.63 | transcript=PVP01_1342500.1 | gene=PVP01_1342500 | organism=Plasmodium_vivax_P01 | gene_product=transcription elongation factor SPT6, putative | transcript_product=transcription elongation factor SPT6, putative | location=PvP01_13_v2:1864238-1872154(-) | protein_length=2638 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1342500.1-p1   -           2638 951at5820            -           1755         0 2777.1 461.4   6  14      0.15   3.2e+02   -3.2  22.4    24    91   687   763   671   766 0.56 | transcript=PVP01_1342500.1 | gene=PVP01_1342500 | organism=Plasmodium_vivax_P01 | gene_product=transcription elongation factor SPT6, putative | transcript_product=transcription elongation factor SPT6, putative | location=PvP01_13_v2:1864238-1872154(-) | protein_length=2638 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1342500.1-p1   -           2638 951at5820            -           1755         0 2777.1 461.4   7  14  2.6e-112  5.7e-109  364.0  37.0   317   529   764   980   762   988 0.96 | transcript=PVP01_1342500.1 | gene=PVP01_1342500 | organism=Plasmodium_vivax_P01 | gene_product=transcription elongation factor SPT6, putative | transcript_product=transcription elongation factor SPT6, putative | location=PvP01_13_v2:1864238-1872154(-) | protein_length=2638 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1342500.1-p1   -           2638 951at5820            -           1755         0 2777.1 461.4   8  14   4.1e-27   8.9e-24   81.5   2.0   542   596  1062  1116  1052  1129 0.92 | transcript=PVP01_1342500.1 | gene=PVP01_1342500 | organism=Plasmodium_vivax_P01 | gene_product=transcription elongation factor SPT6, putative | transcript_product=transcription elongation factor SPT6, putative | location=PvP01_13_v2:1864238-1872154(-) | protein_length=2638 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1342500.1-p1   -           2638 951at5820            -           1755         0 2777.1 461.4   9  14   1.7e-71   3.7e-68  228.7   2.1   593   712  1152  1272  1148  1275 0.96 | transcript=PVP01_1342500.1 | gene=PVP01_1342500 | organism=Plasmodium_vivax_P01 | gene_product=transcription elongation factor SPT6, putative | transcript_product=transcription elongation factor SPT6, putative | location=PvP01_13_v2:1864238-1872154(-) | protein_length=2638 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1342500.1-p1   -           2638 951at5820            -           1755         0 2777.1 461.4  10  14  1.2e-123  2.6e-120  401.6  30.3   711   960  1303  1551  1298  1556 0.95 | transcript=PVP01_1342500.1 | gene=PVP01_1342500 | organism=Plasmodium_vivax_P01 | gene_product=transcription elongation factor SPT6, putative | transcript_product=transcription elongation factor SPT6, putative | location=PvP01_13_v2:1864238-1872154(-) | protein_length=2638 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1342500.1-p1   -           2638 951at5820            -           1755         0 2777.1 461.4  11  14      0.11   2.3e+02   -2.7  16.7   908   961  1531  1596  1529  1619 0.78 | transcript=PVP01_1342500.1 | gene=PVP01_1342500 | organism=Plasmodium_vivax_P01 | gene_product=transcription elongation factor SPT6, putative | transcript_product=transcription elongation factor SPT6, putative | location=PvP01_13_v2:1864238-1872154(-) | protein_length=2638 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
