#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0720600.1-p1   -           1441 2771at5820           -            662  7.8e-293  971.4 119.4   1   9   6.5e-46   7.1e-43  145.4   5.9     1   103     3   105     3   122 0.89 | transcript=PVP01_0720600.1 | gene=PVP01_0720600 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-like protein, putative | transcript_product=ubiquitin-like protein, putative | location=PvP01_07_v2:892137-897609(+) | protein_length=1441 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0720600.1-p1   -           1441 2771at5820           -            662  7.8e-293  971.4 119.4   2   9   1.6e-34   1.8e-31  107.8   6.0    90   158   154   222   115   227 0.86 | transcript=PVP01_0720600.1 | gene=PVP01_0720600 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-like protein, putative | transcript_product=ubiquitin-like protein, putative | location=PvP01_07_v2:892137-897609(+) | protein_length=1441 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0720600.1-p1   -           1441 2771at5820           -            662  7.8e-293  971.4 119.4   3   9       0.3   3.3e+02   -2.2   3.3   158   185   370   396   288   417 0.68 | transcript=PVP01_0720600.1 | gene=PVP01_0720600 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-like protein, putative | transcript_product=ubiquitin-like protein, putative | location=PvP01_07_v2:892137-897609(+) | protein_length=1441 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0720600.1-p1   -           1441 2771at5820           -            662  7.8e-293  971.4 119.4   4   9       0.4   4.4e+02   -2.6   9.9   157   181   455   479   446   499 0.72 | transcript=PVP01_0720600.1 | gene=PVP01_0720600 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-like protein, putative | transcript_product=ubiquitin-like protein, putative | location=PvP01_07_v2:892137-897609(+) | protein_length=1441 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0720600.1-p1   -           1441 2771at5820           -            662  7.8e-293  971.4 119.4   5   9      0.11   1.2e+02   -0.7  12.3   158   197   500   537   492   559 0.69 | transcript=PVP01_0720600.1 | gene=PVP01_0720600 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-like protein, putative | transcript_product=ubiquitin-like protein, putative | location=PvP01_07_v2:892137-897609(+) | protein_length=1441 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0720600.1-p1   -           1441 2771at5820           -            662  7.8e-293  971.4 119.4   6   9    1e-123  1.1e-120  402.5  18.0   202   420   658   889   602   907 0.89 | transcript=PVP01_0720600.1 | gene=PVP01_0720600 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-like protein, putative | transcript_product=ubiquitin-like protein, putative | location=PvP01_07_v2:892137-897609(+) | protein_length=1441 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0720600.1-p1   -           1441 2771at5820           -            662  7.8e-293  971.4 119.4   7   9   2.8e-18     3e-15   54.1   1.2   410   458   921   973   910   995 0.88 | transcript=PVP01_0720600.1 | gene=PVP01_0720600 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-like protein, putative | transcript_product=ubiquitin-like protein, putative | location=PvP01_07_v2:892137-897609(+) | protein_length=1441 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0720600.1-p1   -           1441 2771at5820           -            662  7.8e-293  971.4 119.4   8   9   1.2e-09   1.3e-06   25.5   4.0   478   519  1155  1197  1128  1202 0.76 | transcript=PVP01_0720600.1 | gene=PVP01_0720600 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-like protein, putative | transcript_product=ubiquitin-like protein, putative | location=PvP01_07_v2:892137-897609(+) | protein_length=1441 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0720600.1-p1   -           1441 2771at5820           -            662  7.8e-293  971.4 119.4   9   9   1.3e-87   1.4e-84  283.2   0.2   517   662  1279  1433  1249  1433 0.95 | transcript=PVP01_0720600.1 | gene=PVP01_0720600 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-like protein, putative | transcript_product=ubiquitin-like protein, putative | location=PvP01_07_v2:892137-897609(+) | protein_length=1441 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1311000.1-p1   -            153 2771at5820           -            662     9e-23   79.0   0.1   1   2   9.6e-14     1e-10   39.1   0.0     6    78     2    74     1    79 0.96 | transcript=PVP01_1311000.1 | gene=PVP01_1311000 | organism=Plasmodium_vivax_P01 | gene_product=polyubiquitin, putative | transcript_product=polyubiquitin, putative | location=PvP01_13_v2:513368-514321(+) | protein_length=153 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1311000.1-p1   -            153 2771at5820           -            662     9e-23   79.0   0.1   2   2   1.1e-13   1.2e-10   38.9   0.0     4    78    76   150    73   152 0.96 | transcript=PVP01_1311000.1 | gene=PVP01_1311000 | organism=Plasmodium_vivax_P01 | gene_product=polyubiquitin, putative | transcript_product=polyubiquitin, putative | location=PvP01_13_v2:513368-514321(+) | protein_length=153 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
