#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0724000.1-p1   -            133 14603at5820          -             96   1.4e-58  193.6   0.7   1   1   3.6e-61   1.7e-58  193.3   0.7     1    96    21   116    21   116 0.99 | transcript=PVP01_0724000.1 | gene=PVP01_0724000 | organism=Plasmodium_vivax_P01 | gene_product=thioredoxin-like protein 2, putative | transcript_product=thioredoxin-like protein 2, putative | location=PvP01_07_v2:1027022-1028145(+) | protein_length=133 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1249700.1-p1   -            104 14603at5820          -             96     5e-16   57.2   0.1   1   1   1.3e-18   6.1e-16   56.9   0.1    17    95    14    92     3    93 0.93 | transcript=PVP01_1249700.1 | gene=PVP01_1249700 | organism=Plasmodium_vivax_P01 | gene_product=thioredoxin 1, putative | transcript_product=thioredoxin 1, putative | location=PvP01_12_v2:2029499-2029947(+) | protein_length=104 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0506500.1-p1   -            482 14603at5820          -             96   1.6e-11   42.7   1.2   1   3   1.5e-06    0.0007   18.2   0.0    18    82    44   112    28   119 0.81 | transcript=PVP01_0506500.1 | gene=PVP01_0506500 | organism=Plasmodium_vivax_P01 | gene_product=protein disulfide-isomerase, putative | transcript_product=protein disulfide-isomerase, putative | location=PvP01_05_v2:285877-287443(+) | protein_length=482 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0506500.1-p1   -            482 14603at5820          -             96   1.6e-11   42.7   1.2   2   3      0.55   2.6e+02    0.4   0.1     5    62   140   194   137   200 0.71 | transcript=PVP01_0506500.1 | gene=PVP01_0506500 | organism=Plasmodium_vivax_P01 | gene_product=protein disulfide-isomerase, putative | transcript_product=protein disulfide-isomerase, putative | location=PvP01_05_v2:285877-287443(+) | protein_length=482 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0506500.1-p1   -            482 14603at5820          -             96   1.6e-11   42.7   1.2   3   3   3.3e-07   0.00015   20.3   0.0    18    84   368   437   358   441 0.74 | transcript=PVP01_0506500.1 | gene=PVP01_0506500 | organism=Plasmodium_vivax_P01 | gene_product=protein disulfide-isomerase, putative | transcript_product=protein disulfide-isomerase, putative | location=PvP01_05_v2:285877-287443(+) | protein_length=482 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0714500.1-p1   -            179 14603at5820          -             96   1.7e-09   36.2   0.1   1   2      0.68   3.2e+02    0.1   0.0    39    65    50    76    41    83 0.74 | transcript=PVP01_0714500.1 | gene=PVP01_0714500 | organism=Plasmodium_vivax_P01 | gene_product=thioredoxin 3, putative | transcript_product=thioredoxin 3, putative | location=PvP01_07_v2:663476-664676(+) | protein_length=179 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0714500.1-p1   -            179 14603at5820          -             96   1.7e-09   36.2   0.1   2   2     1e-11   4.9e-09   34.8   0.0     5    83    68   147    64   163 0.77 | transcript=PVP01_0714500.1 | gene=PVP01_0714500 | organism=Plasmodium_vivax_P01 | gene_product=thioredoxin 3, putative | transcript_product=thioredoxin 3, putative | location=PvP01_07_v2:663476-664676(+) | protein_length=179 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1209700.1-p1   -            157 14603at5820          -             96   3.6e-06   25.5   0.1   1   1   2.4e-08   1.1e-05   24.0   0.1    13    87    61   137    58   144 0.86 | transcript=PVP01_1209700.1 | gene=PVP01_1209700 | organism=Plasmodium_vivax_P01 | gene_product=thioredoxin 2, putative | transcript_product=thioredoxin 2, putative | location=PvP01_12_v2:398246-399338(+) | protein_length=157 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1449700.1-p1   -            142 14603at5820          -             96     9e-06   24.3   0.1   1   1   2.7e-08   1.3e-05   23.8   0.1    19    80    21    83    13   101 0.79 | transcript=PVP01_1449700.1 | gene=PVP01_1449700 | organism=Plasmodium_vivax_P01 | gene_product=mitosis protein dim1, putative | transcript_product=mitosis protein dim1, putative | location=PvP01_14_v2:2161189-2161617(+) | protein_length=142 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1202300.1-p1   -            209 14603at5820          -             96   2.5e-05   22.8   0.0   1   1   9.9e-08   4.6e-05   22.0   0.0    26    88    50   113    32   116 0.91 | transcript=PVP01_1202300.1 | gene=PVP01_1202300 | organism=Plasmodium_vivax_P01 | gene_product=thioredoxin-related protein, putative | transcript_product=thioredoxin-related protein, putative | location=PvP01_12_v2:97200-98220(+) | protein_length=209 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1244800.1-p1   -            121 14603at5820          -             96   0.00027   19.6   1.1   1   1   7.4e-07   0.00035   19.2   1.1     3    94     7   103     5   105 0.82 | transcript=PVP01_1244800.1 | gene=PVP01_1244800 | organism=Plasmodium_vivax_P01 | gene_product=thioredoxin-like protein | transcript_product=thioredoxin-like protein | location=PvP01_12_v2:1852999-1853364(+) | protein_length=121 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
