#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1315500.1-p1   -            257 11045at5820          -            214  5.1e-118  390.9   8.8   1   1  1.4e-120  6.9e-118  390.4   8.8     1   214     1   238     1   238 0.93 | transcript=PVP01_1315500.1 | gene=PVP01_1315500 | organism=Plasmodium_vivax_P01 | gene_product=CCR4-associated factor 16, putative | transcript_product=CCR4-associated factor 16, putative | location=PvP01_13_v2:709520-711155(+) | protein_length=257 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0922300.1-p1   -            792 11045at5820          -            214   1.1e-13   49.8  15.9   1   4       5.6   2.8e+03   -3.7   0.0   186   212    38    66    35    68 0.70 | transcript=PVP01_0922300.1 | gene=PVP01_0922300 | organism=Plasmodium_vivax_P01 | gene_product=protein GCN20, putative, ABC transporter F family member 2, putative | transcript_product=protein GCN20, putative | location=PvP01_09_v2:964795-967173(+) | protein_length=792 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0922300.1-p1   -            792 11045at5820          -            214   1.1e-13   49.8  15.9   2   4   0.00053      0.27    9.4   0.1    13    52   194   233   180   269 0.68 | transcript=PVP01_0922300.1 | gene=PVP01_0922300 | organism=Plasmodium_vivax_P01 | gene_product=protein GCN20, putative, ABC transporter F family member 2, putative | transcript_product=protein GCN20, putative | location=PvP01_09_v2:964795-967173(+) | protein_length=792 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0922300.1-p1   -            792 11045at5820          -            214   1.1e-13   49.8  15.9   3   4   8.3e-08   4.2e-05   21.8   0.7   109   199   357   444   335   459 0.82 | transcript=PVP01_0922300.1 | gene=PVP01_0922300 | organism=Plasmodium_vivax_P01 | gene_product=protein GCN20, putative, ABC transporter F family member 2, putative | transcript_product=protein GCN20, putative | location=PvP01_09_v2:964795-967173(+) | protein_length=792 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0922300.1-p1   -            792 11045at5820          -            214   1.1e-13   49.8  15.9   4   4     3e-09   1.5e-06   26.6   2.6    18   191   593   771   578   784 0.69 | transcript=PVP01_0922300.1 | gene=PVP01_0922300 | organism=Plasmodium_vivax_P01 | gene_product=protein GCN20, putative, ABC transporter F family member 2, putative | transcript_product=protein GCN20, putative | location=PvP01_09_v2:964795-967173(+) | protein_length=792 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1010900.1-p1   -           1464 11045at5820          -            214   1.4e-12   46.3  11.9   1   5   0.00014      0.07   11.3   0.1    14    98   398   482   380   511 0.75 | transcript=PVP01_1010900.1 | gene=PVP01_1010900 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter B family member 1, putative, multidrug resistance protein 1, putative | transcript_product=multidrug resistance protein 1, putative | location=PvP01_10_v2:478739-483133(-) | protein_length=1464 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1010900.1-p1   -           1464 11045at5820          -            214   1.4e-12   46.3  11.9   2   5   9.3e-07   0.00047   18.4   0.2   114   179   578   643   552   660 0.86 | transcript=PVP01_1010900.1 | gene=PVP01_1010900 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter B family member 1, putative, multidrug resistance protein 1, putative | transcript_product=multidrug resistance protein 1, putative | location=PvP01_10_v2:478739-483133(-) | protein_length=1464 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1010900.1-p1   -           1464 11045at5820          -            214   1.4e-12   46.3  11.9   3   5       5.2   2.6e+03   -3.6   0.1   123   175   900   951   889   956 0.70 | transcript=PVP01_1010900.1 | gene=PVP01_1010900 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter B family member 1, putative, multidrug resistance protein 1, putative | transcript_product=multidrug resistance protein 1, putative | location=PvP01_10_v2:478739-483133(-) | protein_length=1464 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1010900.1-p1   -           1464 11045at5820          -            214   1.4e-12   46.3  11.9   4   5    0.0053       2.7    6.1   0.0    16    63  1181  1228  1162  1239 0.75 | transcript=PVP01_1010900.1 | gene=PVP01_1010900 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter B family member 1, putative, multidrug resistance protein 1, putative | transcript_product=multidrug resistance protein 1, putative | location=PvP01_10_v2:478739-483133(-) | protein_length=1464 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1010900.1-p1   -           1464 11045at5820          -            214   1.4e-12   46.3  11.9   5   5   8.6e-06    0.0043   15.3   0.1   114   177  1355  1418  1334  1431 0.85 | transcript=PVP01_1010900.1 | gene=PVP01_1010900 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter B family member 1, putative, multidrug resistance protein 1, putative | transcript_product=multidrug resistance protein 1, putative | location=PvP01_10_v2:478739-483133(-) | protein_length=1464 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1309000.1-p1   -            918 11045at5820          -            214   6.1e-11   40.9   3.8   1   2   1.2e-06   0.00059   18.1   0.4    15   125   615   731   607   746 0.80 | transcript=PVP01_1309000.1 | gene=PVP01_1309000 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter B family member 7, putative | transcript_product=ABC transporter B family member 7, putative | location=PvP01_13_v2:410323-413079(-) | protein_length=918 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1309000.1-p1   -            918 11045at5820          -            214   6.1e-11   40.9   3.8   2   2   2.9e-08   1.4e-05   23.3   0.2   114   180   815   879   785   901 0.83 | transcript=PVP01_1309000.1 | gene=PVP01_1309000 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter B family member 7, putative | transcript_product=ABC transporter B family member 7, putative | location=PvP01_13_v2:410323-413079(-) | protein_length=918 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1103800.1-p1   -            619 11045at5820          -            214   6.4e-11   40.8  12.7   1   3     0.035        17    3.5   0.1    32    50   122   140   111   146 0.86 | transcript=PVP01_1103800.1 | gene=PVP01_1103800 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter E family member 1, putative | transcript_product=ABC transporter E family member 1, putative | location=PvP01_11_v2:160047-162035(+) | protein_length=619 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1103800.1-p1   -            619 11045at5820          -            214   6.4e-11   40.8  12.7   2   3   6.5e-06    0.0032   15.7   0.7    97   182   213   300   195   314 0.68 | transcript=PVP01_1103800.1 | gene=PVP01_1103800 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter E family member 1, putative | transcript_product=ABC transporter E family member 1, putative | location=PvP01_11_v2:160047-162035(+) | protein_length=619 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
