#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1305700.1-p1   -           1433 857at5820            -           1079         0 2398.5  33.7   1   2         0         0 1756.6  22.1     1   778   202  1010   202  1016 0.98 | transcript=PVP01_1305700.1 | gene=PVP01_1305700 | organism=Plasmodium_vivax_P01 | gene_product=DNA-directed RNA polymerase III subunit RPC2, putative | transcript_product=DNA-directed RNA polymerase III subunit RPC2, putative | location=PvP01_13_v2:251704-256005(-) | protein_length=1433 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1305700.1-p1   -           1433 857at5820            -           1079         0 2398.5  33.7   2   2  5.7e-198  9.3e-195  647.8   3.7   768  1079  1096  1433  1090  1433 0.95 | transcript=PVP01_1305700.1 | gene=PVP01_1305700 | organism=Plasmodium_vivax_P01 | gene_product=DNA-directed RNA polymerase III subunit RPC2, putative | transcript_product=DNA-directed RNA polymerase III subunit RPC2, putative | location=PvP01_13_v2:251704-256005(-) | protein_length=1433 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0409300.1-p1   -           1346 857at5820            -           1079  7.9e-208  691.1   8.1   1   2  5.1e-128  8.3e-125  416.2   1.7    11   812    34   898    24   910 0.80 | transcript=PVP01_0409300.1 | gene=PVP01_0409300 | organism=Plasmodium_vivax_P01 | gene_product=DNA-directed RNA polymerase II subunit RPB2, putative | transcript_product=DNA-directed RNA polymerase II subunit RPB2, putative | location=PvP01_04_v2:376027-380175(-) | protein_length=1346 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0409300.1-p1   -           1346 857at5820            -           1079  7.9e-208  691.1   8.1   2   2   3.9e-86   6.4e-83  277.5   0.6   822  1077  1073  1344  1052  1346 0.92 | transcript=PVP01_0409300.1 | gene=PVP01_0409300 | organism=Plasmodium_vivax_P01 | gene_product=DNA-directed RNA polymerase II subunit RPB2, putative | transcript_product=DNA-directed RNA polymerase II subunit RPB2, putative | location=PvP01_04_v2:376027-380175(-) | protein_length=1346 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0935500.1-p1   -           1579 857at5820            -           1079  8.7e-102  340.0  30.2   1   7   7.9e-11   1.3e-07   28.2   1.9    25   179   107   274    94   290 0.78 | transcript=PVP01_0935500.1 | gene=PVP01_0935500 | organism=Plasmodium_vivax_P01 | gene_product=DNA-directed RNA polymerase I subunit RPA2, putative | transcript_product=DNA-directed RNA polymerase I subunit RPA2, putative | location=PvP01_09_v2:1527267-1532154(-) | protein_length=1579 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0935500.1-p1   -           1579 857at5820            -           1079  8.7e-102  340.0  30.2   2   7      0.44   7.2e+02   -4.1   1.1   303   380   400   472   394   502 0.73 | transcript=PVP01_0935500.1 | gene=PVP01_0935500 | organism=Plasmodium_vivax_P01 | gene_product=DNA-directed RNA polymerase I subunit RPA2, putative | transcript_product=DNA-directed RNA polymerase I subunit RPA2, putative | location=PvP01_09_v2:1527267-1532154(-) | protein_length=1579 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0935500.1-p1   -           1579 857at5820            -           1079  8.7e-102  340.0  30.2   3   7   4.3e-14     7e-11   39.0   0.1   439   594   622   791   546   817 0.74 | transcript=PVP01_0935500.1 | gene=PVP01_0935500 | organism=Plasmodium_vivax_P01 | gene_product=DNA-directed RNA polymerase I subunit RPA2, putative | transcript_product=DNA-directed RNA polymerase I subunit RPA2, putative | location=PvP01_09_v2:1527267-1532154(-) | protein_length=1579 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0935500.1-p1   -           1579 857at5820            -           1079  8.7e-102  340.0  30.2   4   7   8.6e-31   1.4e-27   94.3   0.0   625   772   974  1121   964  1136 0.95 | transcript=PVP01_0935500.1 | gene=PVP01_0935500 | organism=Plasmodium_vivax_P01 | gene_product=DNA-directed RNA polymerase I subunit RPA2, putative | transcript_product=DNA-directed RNA polymerase I subunit RPA2, putative | location=PvP01_09_v2:1527267-1532154(-) | protein_length=1579 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0935500.1-p1   -           1579 857at5820            -           1079  8.7e-102  340.0  30.2   5   7   5.8e-29   9.4e-26   88.2   0.0   823   915  1215  1306  1172  1324 0.82 | transcript=PVP01_0935500.1 | gene=PVP01_0935500 | organism=Plasmodium_vivax_P01 | gene_product=DNA-directed RNA polymerase I subunit RPA2, putative | transcript_product=DNA-directed RNA polymerase I subunit RPA2, putative | location=PvP01_09_v2:1527267-1532154(-) | protein_length=1579 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0935500.1-p1   -           1579 857at5820            -           1079  8.7e-102  340.0  30.2   6   7   7.5e-35   1.2e-31  107.7   0.4   930  1043  1394  1507  1382  1518 0.97 | transcript=PVP01_0935500.1 | gene=PVP01_0935500 | organism=Plasmodium_vivax_P01 | gene_product=DNA-directed RNA polymerase I subunit RPA2, putative | transcript_product=DNA-directed RNA polymerase I subunit RPA2, putative | location=PvP01_09_v2:1527267-1532154(-) | protein_length=1579 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0935500.1-p1   -           1579 857at5820            -           1079  8.7e-102  340.0  30.2   7   7     0.024        39    0.1   0.5  1035  1077  1533  1570  1527  1572 0.83 | transcript=PVP01_0935500.1 | gene=PVP01_0935500 | organism=Plasmodium_vivax_P01 | gene_product=DNA-directed RNA polymerase I subunit RPA2, putative | transcript_product=DNA-directed RNA polymerase I subunit RPA2, putative | location=PvP01_09_v2:1527267-1532154(-) | protein_length=1579 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_API04300.1-p1  -           1021 857at5820            -           1079     9e-26   88.3   2.7   1   5         4   6.5e+03   -9.8   6.5   602   637    41    79    35   156 0.56 | transcript=PVP01_API04300.1 | gene=PVP01_API04300 | organism=Plasmodium_vivax_P01 | gene_product=DNA-directed RNA polymerase subunit beta, putative | transcript_product=DNA-directed RNA polymerase subunit beta, putative | location=PvP01_API_v2:19195-22260(-) | protein_length=1021 | sequence_SO=apicoplast_chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_API04300.1-p1  -           1021 857at5820            -           1079     9e-26   88.3   2.7   2   5     0.016        26    0.7   0.2   438   500   332   392   264   397 0.76 | transcript=PVP01_API04300.1 | gene=PVP01_API04300 | organism=Plasmodium_vivax_P01 | gene_product=DNA-directed RNA polymerase subunit beta, putative | transcript_product=DNA-directed RNA polymerase subunit beta, putative | location=PvP01_API_v2:19195-22260(-) | protein_length=1021 | sequence_SO=apicoplast_chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_API04300.1-p1  -           1021 857at5820            -           1079     9e-26   88.3   2.7   3   5      0.26   4.3e+02   -3.4   7.7   613   709   422   532   409   547 0.68 | transcript=PVP01_API04300.1 | gene=PVP01_API04300 | organism=Plasmodium_vivax_P01 | gene_product=DNA-directed RNA polymerase subunit beta, putative | transcript_product=DNA-directed RNA polymerase subunit beta, putative | location=PvP01_API_v2:19195-22260(-) | protein_length=1021 | sequence_SO=apicoplast_chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_API04300.1-p1  -           1021 857at5820            -           1079     9e-26   88.3   2.7   4   5    0.0025       4.1    3.3   0.0   722   754   595   627   546   647 0.77 | transcript=PVP01_API04300.1 | gene=PVP01_API04300 | organism=Plasmodium_vivax_P01 | gene_product=DNA-directed RNA polymerase subunit beta, putative | transcript_product=DNA-directed RNA polymerase subunit beta, putative | location=PvP01_API_v2:19195-22260(-) | protein_length=1021 | sequence_SO=apicoplast_chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_API04300.1-p1  -           1021 857at5820            -           1079     9e-26   88.3   2.7   5   5   5.5e-29     9e-26   88.3   2.7   831  1070   747   998   697  1005 0.74 | transcript=PVP01_API04300.1 | gene=PVP01_API04300 | organism=Plasmodium_vivax_P01 | gene_product=DNA-directed RNA polymerase subunit beta, putative | transcript_product=DNA-directed RNA polymerase subunit beta, putative | location=PvP01_API_v2:19195-22260(-) | protein_length=1021 | sequence_SO=apicoplast_chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/857at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/857at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/857at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:47:38 2026
# [ok]
