#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1260500.1-p1   -           2978 535at5820            -           2186         0 3052.1 293.2   1   7  5.4e-173  7.1e-170  565.8  50.8     1   335     1   400     1   411 0.89 | transcript=PVP01_1260500.1 | gene=PVP01_1260500 | organism=Plasmodium_vivax_P01 | gene_product=nucleoporin NUP313, putative | transcript_product=nucleoporin NUP313, putative | location=PvP01_12_v2:2485155-2494091(-) | protein_length=2978 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1260500.1-p1   -           2978 535at5820            -           2186         0 3052.1 293.2   2   7   1.4e-37   1.9e-34  116.7  29.7   330   480   420   598   417   618 0.76 | transcript=PVP01_1260500.1 | gene=PVP01_1260500 | organism=Plasmodium_vivax_P01 | gene_product=nucleoporin NUP313, putative | transcript_product=nucleoporin NUP313, putative | location=PvP01_12_v2:2485155-2494091(-) | protein_length=2978 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1260500.1-p1   -           2978 535at5820            -           2186         0 3052.1 293.2   3   7  1.7e-179  2.2e-176  587.4  71.2   437  1216   608  1723   589  1733 0.83 | transcript=PVP01_1260500.1 | gene=PVP01_1260500 | organism=Plasmodium_vivax_P01 | gene_product=nucleoporin NUP313, putative | transcript_product=nucleoporin NUP313, putative | location=PvP01_12_v2:2485155-2494091(-) | protein_length=2978 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1260500.1-p1   -           2978 535at5820            -           2186         0 3052.1 293.2   4   7   8.6e-28   1.1e-24   84.2   0.2  1208  1279  1753  1824  1739  1845 0.87 | transcript=PVP01_1260500.1 | gene=PVP01_1260500 | organism=Plasmodium_vivax_P01 | gene_product=nucleoporin NUP313, putative | transcript_product=nucleoporin NUP313, putative | location=PvP01_12_v2:2485155-2494091(-) | protein_length=2978 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1260500.1-p1   -           2978 535at5820            -           2186         0 3052.1 293.2   5   7  1.2e-225  1.6e-222  740.4  25.7  1292  1729  1914  2418  1887  2426 0.84 | transcript=PVP01_1260500.1 | gene=PVP01_1260500 | organism=Plasmodium_vivax_P01 | gene_product=nucleoporin NUP313, putative | transcript_product=nucleoporin NUP313, putative | location=PvP01_12_v2:2485155-2494091(-) | protein_length=2978 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1260500.1-p1   -           2978 535at5820            -           2186         0 3052.1 293.2   6   7  2.9e-159  3.8e-156  520.3  38.2  1725  1967  2453  2695  2450  2701 0.98 | transcript=PVP01_1260500.1 | gene=PVP01_1260500 | organism=Plasmodium_vivax_P01 | gene_product=nucleoporin NUP313, putative | transcript_product=nucleoporin NUP313, putative | location=PvP01_12_v2:2485155-2494091(-) | protein_length=2978 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1260500.1-p1   -           2978 535at5820            -           2186         0 3052.1 293.2   7   7  3.8e-143  4.9e-140  466.8  37.6  1968  2186  2760  2978  2753  2978 0.98 | transcript=PVP01_1260500.1 | gene=PVP01_1260500 | organism=Plasmodium_vivax_P01 | gene_product=nucleoporin NUP313, putative | transcript_product=nucleoporin NUP313, putative | location=PvP01_12_v2:2485155-2494091(-) | protein_length=2978 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1227200.1-p1   -            264 535at5820            -           2186     0.077    8.5  21.9   1   1   7.1e-05     0.092    8.2  21.9  1509  1678    20   195     7   230 0.61 | transcript=PVP01_1227200.1 | gene=PVP01_1227200 | organism=Plasmodium_vivax_P01 | gene_product=ribonuclease P protein subunit RPR2, putative | transcript_product=ribonuclease P protein subunit RPR2, putative | location=PvP01_12_v2:1076715-1077509(-) | protein_length=264 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1427000.1-p1   -            315 535at5820            -           2186      0.25    6.8  28.4   1   1   0.00023       0.3    6.5  28.4  1516  1640   136   264    91   305 0.50 | transcript=PVP01_1427000.1 | gene=PVP01_1427000 | organism=Plasmodium_vivax_P01 | gene_product=NPL domain-containing protein, putative | transcript_product=NPL domain-containing protein, putative | location=PvP01_14_v2:1151492-1152934(-) | protein_length=315 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0522700.1-p1   -            411 535at5820            -           2186       3.5    3.0  12.0   1   1     0.005       6.5    2.1  12.0  1517  1573   111   166    57   214 0.51 | transcript=PVP01_0522700.1 | gene=PVP01_0522700 | organism=Plasmodium_vivax_P01 | gene_product=Plasmodium exported protein (PHIST), unknown function | transcript_product=Plasmodium exported protein (PHIST), unknown function | location=PvP01_05_v2:914875-916300(-) | protein_length=411 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0905400.1-p1   -            632 535at5820            -           2186       6.2    2.2  28.3   1   2    0.0012       1.6    4.2  10.8  1533  1607   215   280   168   303 0.41 | transcript=PVP01_0905400.1 | gene=PVP01_0905400 | organism=Plasmodium_vivax_P01 | gene_product=radial spoke head protein, putative | transcript_product=radial spoke head protein, putative | location=PvP01_09_v2:320444-322342(+) | protein_length=632 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0905400.1-p1   -            632 535at5820            -           2186       6.2    2.2  28.3   2   2    0.0014       1.8    4.0   9.5  1517  1613   391   487   341   494 0.49 | transcript=PVP01_0905400.1 | gene=PVP01_0905400 | organism=Plasmodium_vivax_P01 | gene_product=radial spoke head protein, putative | transcript_product=radial spoke head protein, putative | location=PvP01_09_v2:320444-322342(+) | protein_length=632 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/535at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/535at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/535at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:41:30 2026
# [ok]
