#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1225400.1-p1   -           1992 538at5820            -           1455         0 2666.6  69.3   1   7  1.6e-168  8.8e-166  552.0   0.3     1   265     1   278     1   286 0.97 | transcript=PVP01_1225400.1 | gene=PVP01_1225400 | organism=Plasmodium_vivax_P01 | gene_product=myosin F, putative | transcript_product=myosin F, putative | location=PvP01_12_v2:985781-992295(+) | protein_length=1992 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1225400.1-p1   -           1992 538at5820            -           1455         0 2666.6  69.3   2   7  1.5e-258  7.9e-256  850.4   3.6   264   704   331   800   326   806 0.96 | transcript=PVP01_1225400.1 | gene=PVP01_1225400 | organism=Plasmodium_vivax_P01 | gene_product=myosin F, putative | transcript_product=myosin F, putative | location=PvP01_12_v2:985781-992295(+) | protein_length=1992 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1225400.1-p1   -           1992 538at5820            -           1455         0 2666.6  69.3   3   7   1.9e-91     1e-88  296.6  19.7   702   921   852  1093   837  1098 0.90 | transcript=PVP01_1225400.1 | gene=PVP01_1225400 | organism=Plasmodium_vivax_P01 | gene_product=myosin F, putative | transcript_product=myosin F, putative | location=PvP01_12_v2:985781-992295(+) | protein_length=1992 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1225400.1-p1   -           1992 538at5820            -           1455         0 2666.6  69.3   4   7   7.2e-11   3.9e-08   29.6   0.2   921   957  1177  1213  1170  1226 0.90 | transcript=PVP01_1225400.1 | gene=PVP01_1225400 | organism=Plasmodium_vivax_P01 | gene_product=myosin F, putative | transcript_product=myosin F, putative | location=PvP01_12_v2:985781-992295(+) | protein_length=1992 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1225400.1-p1   -           1992 538at5820            -           1455         0 2666.6  69.3   5   7   1.2e-80   6.4e-78  260.8   1.2   956  1113  1295  1466  1293  1481 0.93 | transcript=PVP01_1225400.1 | gene=PVP01_1225400 | organism=Plasmodium_vivax_P01 | gene_product=myosin F, putative | transcript_product=myosin F, putative | location=PvP01_12_v2:985781-992295(+) | protein_length=1992 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1225400.1-p1   -           1992 538at5820            -           1455         0 2666.6  69.3   6   7   4.1e-45   2.2e-42  143.1   0.1  1107  1191  1610  1694  1589  1704 0.93 | transcript=PVP01_1225400.1 | gene=PVP01_1225400 | organism=Plasmodium_vivax_P01 | gene_product=myosin F, putative | transcript_product=myosin F, putative | location=PvP01_12_v2:985781-992295(+) | protein_length=1992 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1225400.1-p1   -           1992 538at5820            -           1455         0 2666.6  69.3   7   7  2.4e-171  1.3e-168  561.4   6.5  1190  1455  1720  1992  1716  1992 0.98 | transcript=PVP01_1225400.1 | gene=PVP01_1225400 | organism=Plasmodium_vivax_P01 | gene_product=myosin F, putative | transcript_product=myosin F, putative | location=PvP01_12_v2:985781-992295(+) | protein_length=1992 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1212200.1-p1   -            817 538at5820            -           1455  2.2e-113  378.3  10.4   1   1  5.2e-116  2.8e-113  378.0  10.4    66   744   101   795    85   816 0.86 | transcript=PVP01_1212200.1 | gene=PVP01_1212200 | organism=Plasmodium_vivax_P01 | gene_product=myosin A, putative | transcript_product=myosin A, putative | location=PvP01_12_v2:539112-541853(-) | protein_length=817 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1030300.1-p1   -            800 538at5820            -           1455   2.5e-87  292.0  41.0   1   1   6.1e-90   3.3e-87  291.6  41.0    48   737    71   760    48   797 0.84 | transcript=PVP01_1030300.1 | gene=PVP01_1030300 | organism=Plasmodium_vivax_P01 | gene_product=myosin B, putative | transcript_product=myosin B, putative | location=PvP01_10_v2:1304867-1308631(+) | protein_length=800 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0941200.1-p1   -           1716 538at5820            -           1455   3.9e-77  258.2  74.0   1   6   1.4e-21   7.4e-19   65.1   0.4    14   173    52   221    44   240 0.77 | transcript=PVP01_0941200.1 | gene=PVP01_0941200 | organism=Plasmodium_vivax_P01 | gene_product=myosin K, putative | transcript_product=myosin K, putative | location=PvP01_09_v2:1802551-1808175(+) | protein_length=1716 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0941200.1-p1   -           1716 538at5820            -           1455   3.9e-77  258.2  74.0   2   6   1.6e-24   8.7e-22   74.8   0.0   182   265   340   421   320   444 0.87 | transcript=PVP01_0941200.1 | gene=PVP01_0941200 | organism=Plasmodium_vivax_P01 | gene_product=myosin K, putative | transcript_product=myosin K, putative | location=PvP01_09_v2:1802551-1808175(+) | protein_length=1716 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
