#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0613300.1-p1   -            272 10294at5820          -            246  8.2e-140  463.0  26.0   1   1  1.6e-142  9.3e-140  462.8  26.0     1   246    10   270    10   270 0.96 | transcript=PVP01_0613300.1 | gene=PVP01_0613300 | organism=Plasmodium_vivax_P01 | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=PvP01_06_v2:571562-572380(-) | protein_length=272 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0825400.1-p1   -           1211 10294at5820          -            246   1.6e-07   29.7   4.7   1   1   4.8e-10   2.8e-07   28.9   4.7   193   239  1162  1208  1146  1210 0.91 | transcript=PVP01_0825400.1 | gene=PVP01_0825400 | organism=Plasmodium_vivax_P01 | gene_product=RING finger protein RNF1, putative | transcript_product=RING finger protein RNF1, putative | location=PvP01_08_v2:1139526-1143161(+) | protein_length=1211 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1004000.1-p1   -            284 10294at5820          -            246   2.9e-06   25.6   2.8   1   3     0.031        18    3.3  10.3    47   172    15   155     7   156 0.57 | transcript=PVP01_1004000.1 | gene=PVP01_1004000 | organism=Plasmodium_vivax_P01 | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=PvP01_10_v2:199642-200977(+) | protein_length=284 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1004000.1-p1   -            284 10294at5820          -            246   2.9e-06   25.6   2.8   2   3       1.4   8.1e+02   -2.1  22.9    18   145    75   205    64   219 0.65 | transcript=PVP01_1004000.1 | gene=PVP01_1004000 | organism=Plasmodium_vivax_P01 | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=PvP01_10_v2:199642-200977(+) | protein_length=284 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1004000.1-p1   -            284 10294at5820          -            246   2.9e-06   25.6   2.8   3   3     5e-09   2.9e-06   25.6   2.8   188   239   229   280   218   283 0.88 | transcript=PVP01_1004000.1 | gene=PVP01_1004000 | organism=Plasmodium_vivax_P01 | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=PvP01_10_v2:199642-200977(+) | protein_length=284 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1141800.1-p1   -            401 10294at5820          -            246   6.3e-05   21.2   3.6   1   1   1.1e-07   6.3e-05   21.2   3.6   192   241   341   392   336   395 0.79 | transcript=PVP01_1141800.1 | gene=PVP01_1141800 | organism=Plasmodium_vivax_P01 | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=PvP01_11_v2:1772224-1773631(+) | protein_length=401 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1326500.1-p1   -            520 10294at5820          -            246   0.00059   18.0  11.1   1   2       3.6   2.2e+03   -3.5   9.5    81   142    15    76     2    93 0.58 | transcript=PVP01_1326500.1 | gene=PVP01_1326500 | organism=Plasmodium_vivax_P01 | gene_product=ERAD-associated E3 ubiquitin-protein ligase HRD1, putative | transcript_product=ERAD-associated E3 ubiquitin-protein ligase HRD1, putative | location=PvP01_13_v2:1148914-1151234(-) | protein_length=520 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1326500.1-p1   -            520 10294at5820          -            246   0.00059   18.0  11.1   2   2   9.9e-07   0.00059   18.0  11.1   191   242   294   343   214   345 0.65 | transcript=PVP01_1326500.1 | gene=PVP01_1326500 | organism=Plasmodium_vivax_P01 | gene_product=ERAD-associated E3 ubiquitin-protein ligase HRD1, putative | transcript_product=ERAD-associated E3 ubiquitin-protein ligase HRD1, putative | location=PvP01_13_v2:1148914-1151234(-) | protein_length=520 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0804000.1-p1   -           1169 10294at5820          -            246   0.00076   17.7   1.6   1   1     2e-06    0.0012   17.0   1.6   193   237   359   407   342   413 0.78 | transcript=PVP01_0804000.1 | gene=PVP01_0804000 | organism=Plasmodium_vivax_P01 | gene_product=RING finger E3 ubiquitin-protein ligase, putative | transcript_product=RING finger E3 ubiquitin-protein ligase, putative | location=PvP01_08_v2:197452-200961(-) | protein_length=1169 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0807000.1-p1   -            609 10294at5820          -            246   0.00084   17.5   5.8   1   2       4.5   2.7e+03   -3.8   1.0    72   120   327   375   303   422 0.53 | transcript=PVP01_0807000.1 | gene=PVP01_0807000 | organism=Plasmodium_vivax_P01 | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=PvP01_08_v2:302200-304231(+) | protein_length=609 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0807000.1-p1   -            609 10294at5820          -            246   0.00084   17.5   5.8   2   2   1.4e-06   0.00084   17.5   5.8   193   237   561   605   548   609 0.89 | transcript=PVP01_0807000.1 | gene=PVP01_0807000 | organism=Plasmodium_vivax_P01 | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=PvP01_08_v2:302200-304231(+) | protein_length=609 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
