#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0811500.1-p1   -            273 9897at5820           -            230  8.4e-147  485.3   8.4   1   2       4.4   2.6e+03   -3.8   0.3     1     8    12    19    12    20 0.90 | transcript=PVP01_0811500.1 | gene=PVP01_0811500 | organism=Plasmodium_vivax_P01 | gene_product=proteasome subunit beta type-5, putative | transcript_product=proteasome subunit beta type-5, putative | location=PvP01_08_v2:492259-493080(-) | protein_length=273 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0811500.1-p1   -            273 9897at5820           -            230  8.4e-147  485.3   8.4   2   2  1.4e-149  8.4e-147  485.3   8.4     2   230    28   273    27   273 0.97 | transcript=PVP01_0811500.1 | gene=PVP01_0811500 | organism=Plasmodium_vivax_P01 | gene_product=proteasome subunit beta type-5, putative | transcript_product=proteasome subunit beta type-5, putative | location=PvP01_08_v2:492259-493080(-) | protein_length=273 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1226300.1-p1   -            270 9897at5820           -            230   1.5e-21   75.5   0.0   1   1   3.3e-24     2e-21   75.1   0.0    23   218    36   239    21   246 0.88 | transcript=PVP01_1226300.1 | gene=PVP01_1226300 | organism=Plasmodium_vivax_P01 | gene_product=proteasome subunit beta type-7, putative | transcript_product=proteasome subunit beta type-7, putative | location=PvP01_12_v2:1033108-1033920(-) | protein_length=270 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0730500.1-p1   -            282 9897at5820           -            230   3.6e-13   48.1   5.1   1   2     2e-08   1.2e-05   23.5   0.0    25    78    27    80    18   102 0.91 | transcript=PVP01_0730500.1 | gene=PVP01_0730500 | organism=Plasmodium_vivax_P01 | gene_product=proteasome subunit beta type-6, putative | transcript_product=proteasome subunit beta type-6, putative | location=PvP01_07_v2:1291584-1292432(-) | protein_length=282 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0730500.1-p1   -            282 9897at5820           -            230   3.6e-13   48.1   5.1   2   2   4.7e-09   2.8e-06   25.6   2.3   110   201   166   266   139   282 0.75 | transcript=PVP01_0730500.1 | gene=PVP01_0730500 | organism=Plasmodium_vivax_P01 | gene_product=proteasome subunit beta type-6, putative | transcript_product=proteasome subunit beta type-6, putative | location=PvP01_07_v2:1291584-1292432(-) | protein_length=282 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0116400.1-p1   -            256 9897at5820           -            230   1.3e-11   43.0   1.3   1   2   1.1e-13   6.6e-11   40.7   0.1    26    90     8    72     3   130 0.86 | transcript=PVP01_0116400.1 | gene=PVP01_0116400 | organism=Plasmodium_vivax_P01 | gene_product=proteasome subunit beta type-4, putative | transcript_product=proteasome subunit beta type-4, putative | location=PvP01_01_v2:743975-744899(+) | protein_length=256 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0116400.1-p1   -            256 9897at5820           -            230   1.3e-11   43.0   1.3   2   2      0.12        70    1.3   0.1   138   203   152   225   141   245 0.70 | transcript=PVP01_0116400.1 | gene=PVP01_0116400 | organism=Plasmodium_vivax_P01 | gene_product=proteasome subunit beta type-4, putative | transcript_product=proteasome subunit beta type-4, putative | location=PvP01_01_v2:743975-744899(+) | protein_length=256 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1015600.1-p1   -            241 9897at5820           -            230   2.2e-07   29.2   1.2   1   1   1.8e-09   1.1e-06   26.9   1.2    24   170    35   182    18   237 0.82 | transcript=PVP01_1015600.1 | gene=PVP01_1015600 | organism=Plasmodium_vivax_P01 | gene_product=proteasome subunit beta type-1, putative | transcript_product=proteasome subunit beta type-1, putative | location=PvP01_10_v2:702214-703680(+) | protein_length=241 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1448600.1-p1   -            207 9897at5820           -            230   4.3e-07   28.2   0.0   1   2   2.7e-08   1.6e-05   23.1   0.0    21    89    31   100    19   111 0.87 | transcript=PVP01_1448600.1 | gene=PVP01_1448600 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent protease subunit ClpQ, putative | transcript_product=ATP-dependent protease subunit ClpQ, putative | location=PvP01_14_v2:2111594-2112822(-) | protein_length=207 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1448600.1-p1   -            207 9897at5820           -            230   4.3e-07   28.2   0.0   2   2     0.031        18    3.2   0.0   149   182   152   187   136   196 0.78 | transcript=PVP01_1448600.1 | gene=PVP01_1448600 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent protease subunit ClpQ, putative | transcript_product=ATP-dependent protease subunit ClpQ, putative | location=PvP01_14_v2:2111594-2112822(-) | protein_length=207 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0213100.1-p1   -            256 9897at5820           -            230   1.4e-06   26.5   0.1   1   1   4.9e-09   2.9e-06   25.5   0.1    25   174    32   191    22   225 0.81 | transcript=PVP01_0213100.1 | gene=PVP01_0213100 | organism=Plasmodium_vivax_P01 | gene_product=proteasome subunit alpha type-5, putative | transcript_product=proteasome subunit alpha type-5, putative | location=PvP01_02_v2:548876-550047(+) | protein_length=256 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0206900.1-p1   -            218 9897at5820           -            230   2.2e-06   25.9   0.1   1   1   6.5e-09   3.9e-06   25.1   0.1    26   148     8   127     2   137 0.87 | transcript=PVP01_0206900.1 | gene=PVP01_0206900 | organism=Plasmodium_vivax_P01 | gene_product=proteasome subunit beta type-3, putative | transcript_product=proteasome subunit beta type-3, putative | location=PvP01_02_v2:287397-288625(+) | protein_length=218 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1117900.1-p1   -            246 9897at5820           -            230   8.1e-05   20.8   2.5   1   1   1.8e-07   0.00011   20.3   2.5    27   171    31   180    20   240 0.79 | transcript=PVP01_1117900.1 | gene=PVP01_1117900 | organism=Plasmodium_vivax_P01 | gene_product=proteasome subunit alpha type-4, putative | transcript_product=proteasome subunit alpha type-4, putative | location=PvP01_11_v2:758711-759594(+) | protein_length=246 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1140400.1-p1   -            235 9897at5820           -            230   0.00013   20.0   0.4   1   1   2.9e-07   0.00017   19.7   0.4    29   182    34   191    22   203 0.82 | transcript=PVP01_1140400.1 | gene=PVP01_1140400 | organism=Plasmodium_vivax_P01 | gene_product=proteasome subunit alpha type-2, putative | transcript_product=proteasome subunit alpha type-2, putative | location=PvP01_11_v2:1723452-1724311(+) | protein_length=235 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1269700.1-p1   -            269 9897at5820           -            230    0.0077   14.3   0.6   1   1   1.7e-05      0.01   13.9   0.6    25   152    30   157    23   178 0.70 | transcript=PVP01_1269700.1 | gene=PVP01_1269700 | organism=Plasmodium_vivax_P01 | gene_product=proteasome subunit alpha type-1, putative | transcript_product=proteasome subunit alpha type-1, putative | location=PvP01_12_v2:2930328-2931567(+) | protein_length=269 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/9897at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/9897at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/9897at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:53:08 2026
# [ok]
