#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0813200.1-p1   -           1155 2106at5820           -            959         0 1671.4 102.2   1   5   5.8e-61     2e-58  196.7   6.2     1   120     1   128     1   142 0.93 | transcript=PVP01_0813200.1 | gene=PVP01_0813200 | organism=Plasmodium_vivax_P01 | gene_product=U3 small nucleolar RNA-associated protein 13, putative | transcript_product=U3 small nucleolar RNA-associated protein 13, putative | location=PvP01_08_v2:557987-561672(-) | protein_length=1155 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0813200.1-p1   -           1155 2106at5820           -            959         0 1671.4 102.2   2   5   2.9e-71   9.8e-69  230.9   3.8   118   251   157   296   154   302 0.93 | transcript=PVP01_0813200.1 | gene=PVP01_0813200 | organism=Plasmodium_vivax_P01 | gene_product=U3 small nucleolar RNA-associated protein 13, putative | transcript_product=U3 small nucleolar RNA-associated protein 13, putative | location=PvP01_08_v2:557987-561672(-) | protein_length=1155 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0813200.1-p1   -           1155 2106at5820           -            959         0 1671.4 102.2   3   5         0         0 1018.6  51.2   247   820   334   929   328   940 0.94 | transcript=PVP01_0813200.1 | gene=PVP01_0813200 | organism=Plasmodium_vivax_P01 | gene_product=U3 small nucleolar RNA-associated protein 13, putative | transcript_product=U3 small nucleolar RNA-associated protein 13, putative | location=PvP01_08_v2:557987-561672(-) | protein_length=1155 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0813200.1-p1   -           1155 2106at5820           -            959         0 1671.4 102.2   4   5   1.5e-06   0.00052   16.6   0.0   826   850   979  1003   971  1006 0.90 | transcript=PVP01_0813200.1 | gene=PVP01_0813200 | organism=Plasmodium_vivax_P01 | gene_product=U3 small nucleolar RNA-associated protein 13, putative | transcript_product=U3 small nucleolar RNA-associated protein 13, putative | location=PvP01_08_v2:557987-561672(-) | protein_length=1155 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0813200.1-p1   -           1155 2106at5820           -            959         0 1671.4 102.2   5   5   5.9e-70     2e-67  226.5  14.8   850   958  1046  1154  1042  1155 0.98 | transcript=PVP01_0813200.1 | gene=PVP01_0813200 | organism=Plasmodium_vivax_P01 | gene_product=U3 small nucleolar RNA-associated protein 13, putative | transcript_product=U3 small nucleolar RNA-associated protein 13, putative | location=PvP01_08_v2:557987-561672(-) | protein_length=1155 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0946700.1-p1   -            660 2106at5820           -            959   5.4e-19   66.2  11.2   1   4   5.3e-07   0.00018   18.2   0.0   573   643   109   179    84   180 0.90 | transcript=PVP01_0946700.1 | gene=PVP01_0946700 | organism=Plasmodium_vivax_P01 | gene_product=ribosome assembly protein 4, putative | transcript_product=ribosome assembly protein 4, putative | location=PvP01_09_v2:2037475-2039457(-) | protein_length=660 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0946700.1-p1   -            660 2106at5820           -            959   5.4e-19   66.2  11.2   2   4   4.4e-07   0.00015   18.4   0.1   583   637   161   215   158   226 0.89 | transcript=PVP01_0946700.1 | gene=PVP01_0946700 | organism=Plasmodium_vivax_P01 | gene_product=ribosome assembly protein 4, putative | transcript_product=ribosome assembly protein 4, putative | location=PvP01_09_v2:2037475-2039457(-) | protein_length=660 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0946700.1-p1   -            660 2106at5820           -            959   5.4e-19   66.2  11.2   3   4   8.6e-13   2.9e-10   37.3   3.4   456   658   347   568   338   577 0.76 | transcript=PVP01_0946700.1 | gene=PVP01_0946700 | organism=Plasmodium_vivax_P01 | gene_product=ribosome assembly protein 4, putative | transcript_product=ribosome assembly protein 4, putative | location=PvP01_09_v2:2037475-2039457(-) | protein_length=660 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0946700.1-p1   -            660 2106at5820           -            959   5.4e-19   66.2  11.2   4   4      0.16        53    0.1   0.0   577   613   621   658   599   660 0.52 | transcript=PVP01_0946700.1 | gene=PVP01_0946700 | organism=Plasmodium_vivax_P01 | gene_product=ribosome assembly protein 4, putative | transcript_product=ribosome assembly protein 4, putative | location=PvP01_09_v2:2037475-2039457(-) | protein_length=660 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0507600.1-p1   -            322 2106at5820           -            959   8.3e-18   62.3   1.9   1   6     0.021       7.1    3.0   0.0   474   508    16    52     3    56 0.76 | transcript=PVP01_0507600.1 | gene=PVP01_0507600 | organism=Plasmodium_vivax_P01 | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=PvP01_05_v2:335035-336445(+) | protein_length=322 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0507600.1-p1   -            322 2106at5820           -            959   8.3e-18   62.3   1.9   2   6   6.2e-08   2.1e-05   21.2   0.0   582   656    67   142    55   151 0.86 | transcript=PVP01_0507600.1 | gene=PVP01_0507600 | organism=Plasmodium_vivax_P01 | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=PvP01_05_v2:335035-336445(+) | protein_length=322 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
