#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0610700.1-p1   -           5203 70at5820             -           3440         0 4504.7 218.5   1  21   0.00018       1.2    3.9   0.1     1    23     1    23     1    30 0.83 | transcript=PVP01_0610700.1 | gene=PVP01_0610700 | organism=Plasmodium_vivax_P01 | gene_product=dynein, putative | transcript_product=dynein, putative | location=PvP01_06_v2:470727-488004(-) | protein_length=5203 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0610700.1-p1   -           5203 70at5820             -           3440         0 4504.7 218.5   2  21   0.00049       3.2    2.4   0.0    21    40    69    88    62    92 0.90 | transcript=PVP01_0610700.1 | gene=PVP01_0610700 | organism=Plasmodium_vivax_P01 | gene_product=dynein, putative | transcript_product=dynein, putative | location=PvP01_06_v2:470727-488004(-) | protein_length=5203 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0610700.1-p1   -           5203 70at5820             -           3440         0 4504.7 218.5   3  21  1.4e-117  9.3e-114  379.2   9.6    41   249   170   383   167   385 0.99 | transcript=PVP01_0610700.1 | gene=PVP01_0610700 | organism=Plasmodium_vivax_P01 | gene_product=dynein, putative | transcript_product=dynein, putative | location=PvP01_06_v2:470727-488004(-) | protein_length=5203 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0610700.1-p1   -           5203 70at5820             -           3440         0 4504.7 218.5   4  21   1.7e-34   1.1e-30  103.5   1.4   243   307   454   518   443   520 0.93 | transcript=PVP01_0610700.1 | gene=PVP01_0610700 | organism=Plasmodium_vivax_P01 | gene_product=dynein, putative | transcript_product=dynein, putative | location=PvP01_06_v2:470727-488004(-) | protein_length=5203 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0610700.1-p1   -           5203 70at5820             -           3440         0 4504.7 218.5   5  21   8.4e-36   5.5e-32  107.8   0.2   302   378   630   706   618   712 0.94 | transcript=PVP01_0610700.1 | gene=PVP01_0610700 | organism=Plasmodium_vivax_P01 | gene_product=dynein, putative | transcript_product=dynein, putative | location=PvP01_06_v2:470727-488004(-) | protein_length=5203 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0610700.1-p1   -           5203 70at5820             -           3440         0 4504.7 218.5   6  21    2e-210  1.3e-206  687.3  25.3   377   797   748  1199   744  1201 0.96 | transcript=PVP01_0610700.1 | gene=PVP01_0610700 | organism=Plasmodium_vivax_P01 | gene_product=dynein, putative | transcript_product=dynein, putative | location=PvP01_06_v2:470727-488004(-) | protein_length=5203 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0610700.1-p1   -           5203 70at5820             -           3440         0 4504.7 218.5   7  21    8e-157  5.2e-153  509.4  21.0   796  1127  1286  1633  1279  1636 0.95 | transcript=PVP01_0610700.1 | gene=PVP01_0610700 | organism=Plasmodium_vivax_P01 | gene_product=dynein, putative | transcript_product=dynein, putative | location=PvP01_06_v2:470727-488004(-) | protein_length=5203 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0610700.1-p1   -           5203 70at5820             -           3440         0 4504.7 218.5   8  21  4.9e-155  3.2e-151  503.5   2.2  1128  1522  1662  2141  1656  2144 0.86 | transcript=PVP01_0610700.1 | gene=PVP01_0610700 | organism=Plasmodium_vivax_P01 | gene_product=dynein, putative | transcript_product=dynein, putative | location=PvP01_06_v2:470727-488004(-) | protein_length=5203 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0610700.1-p1   -           5203 70at5820             -           3440         0 4504.7 218.5   9  21   5.2e-50   3.4e-46  155.0   2.9  1522  1633  2228  2343  2224  2350 0.95 | transcript=PVP01_0610700.1 | gene=PVP01_0610700 | organism=Plasmodium_vivax_P01 | gene_product=dynein, putative | transcript_product=dynein, putative | location=PvP01_06_v2:470727-488004(-) | protein_length=5203 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0610700.1-p1   -           5203 70at5820             -           3440         0 4504.7 218.5  10  21  4.3e-200  2.8e-196  653.0  23.0  1640  2109  2440  2979  2423  2981 0.88 | transcript=PVP01_0610700.1 | gene=PVP01_0610700 | organism=Plasmodium_vivax_P01 | gene_product=dynein, putative | transcript_product=dynein, putative | location=PvP01_06_v2:470727-488004(-) | protein_length=5203 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0610700.1-p1   -           5203 70at5820             -           3440         0 4504.7 218.5  11  21   1.9e-42   1.3e-38  129.9   0.7  2109  2209  3013  3120  2994  3128 0.90 | transcript=PVP01_0610700.1 | gene=PVP01_0610700 | organism=Plasmodium_vivax_P01 | gene_product=dynein, putative | transcript_product=dynein, putative | location=PvP01_06_v2:470727-488004(-) | protein_length=5203 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
