#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0606900.1-p1   -           5894 72at5820             -           3250         0 4809.2 483.9   1  27  8.6e-193  5.6e-189  628.8  50.0     1   322     1   325     1   334 0.98 | transcript=PVP01_0606900.1 | gene=PVP01_0606900 | organism=Plasmodium_vivax_P01 | gene_product=VPS13 domain-containing protein, putative | transcript_product=VPS13 domain-containing protein, putative | location=PvP01_06_v2:273601-291875(-) | protein_length=5894 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0606900.1-p1   -           5894 72at5820             -           3250         0 4809.2 483.9   2  27   2.5e-71   1.6e-67  225.8   5.7   313   446   420   556   415   566 0.94 | transcript=PVP01_0606900.1 | gene=PVP01_0606900 | organism=Plasmodium_vivax_P01 | gene_product=VPS13 domain-containing protein, putative | transcript_product=VPS13 domain-containing protein, putative | location=PvP01_06_v2:273601-291875(-) | protein_length=5894 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0606900.1-p1   -           5894 72at5820             -           3250         0 4809.2 483.9   3  27   8.2e-35   5.4e-31  104.6   0.1   446   548   632   761   626   771 0.74 | transcript=PVP01_0606900.1 | gene=PVP01_0606900 | organism=Plasmodium_vivax_P01 | gene_product=VPS13 domain-containing protein, putative | transcript_product=VPS13 domain-containing protein, putative | location=PvP01_06_v2:273601-291875(-) | protein_length=5894 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0606900.1-p1   -           5894 72at5820             -           3250         0 4809.2 483.9   4  27   1.1e-72   7.1e-69  230.3  15.9   550   686   830   972   820   979 0.95 | transcript=PVP01_0606900.1 | gene=PVP01_0606900 | organism=Plasmodium_vivax_P01 | gene_product=VPS13 domain-containing protein, putative | transcript_product=VPS13 domain-containing protein, putative | location=PvP01_06_v2:273601-291875(-) | protein_length=5894 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0606900.1-p1   -           5894 72at5820             -           3250         0 4809.2 483.9   5  27   3.7e-08   0.00024   16.2   0.6   683   727  1074  1118  1070  1127 0.88 | transcript=PVP01_0606900.1 | gene=PVP01_0606900 | organism=Plasmodium_vivax_P01 | gene_product=VPS13 domain-containing protein, putative | transcript_product=VPS13 domain-containing protein, putative | location=PvP01_06_v2:273601-291875(-) | protein_length=5894 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0606900.1-p1   -           5894 72at5820             -           3250         0 4809.2 483.9   6  27   5.4e-50   3.5e-46  155.0   3.8   719   861  1206  1359  1167  1381 0.86 | transcript=PVP01_0606900.1 | gene=PVP01_0606900 | organism=Plasmodium_vivax_P01 | gene_product=VPS13 domain-containing protein, putative | transcript_product=VPS13 domain-containing protein, putative | location=PvP01_06_v2:273601-291875(-) | protein_length=5894 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0606900.1-p1   -           5894 72at5820             -           3250         0 4809.2 483.9   7  27   3.2e-37   2.1e-33  112.6   0.5   862   972  1566  1693  1556  1698 0.85 | transcript=PVP01_0606900.1 | gene=PVP01_0606900 | organism=Plasmodium_vivax_P01 | gene_product=VPS13 domain-containing protein, putative | transcript_product=VPS13 domain-containing protein, putative | location=PvP01_06_v2:273601-291875(-) | protein_length=5894 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0606900.1-p1   -           5894 72at5820             -           3250         0 4809.2 483.9   8  27   7.4e-08   0.00048   15.2   1.2   968  1015  1777  1824  1757  1833 0.78 | transcript=PVP01_0606900.1 | gene=PVP01_0606900 | organism=Plasmodium_vivax_P01 | gene_product=VPS13 domain-containing protein, putative | transcript_product=VPS13 domain-containing protein, putative | location=PvP01_06_v2:273601-291875(-) | protein_length=5894 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0606900.1-p1   -           5894 72at5820             -           3250         0 4809.2 483.9   9  27  7.1e-165  4.6e-161  536.2  34.8  1013  1399  2016  2478  2006  2492 0.86 | transcript=PVP01_0606900.1 | gene=PVP01_0606900 | organism=Plasmodium_vivax_P01 | gene_product=VPS13 domain-containing protein, putative | transcript_product=VPS13 domain-containing protein, putative | location=PvP01_06_v2:273601-291875(-) | protein_length=5894 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0606900.1-p1   -           5894 72at5820             -           3250         0 4809.2 483.9  10  27     3e-13   1.9e-09   33.1   0.0  1392  1423  2574  2605  2568  2612 0.88 | transcript=PVP01_0606900.1 | gene=PVP01_0606900 | organism=Plasmodium_vivax_P01 | gene_product=VPS13 domain-containing protein, putative | transcript_product=VPS13 domain-containing protein, putative | location=PvP01_06_v2:273601-291875(-) | protein_length=5894 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0606900.1-p1   -           5894 72at5820             -           3250         0 4809.2 483.9  11  27   4.1e-91   2.7e-87  291.4  15.5  1424  1573  2640  2789  2631  2796 0.97 | transcript=PVP01_0606900.1 | gene=PVP01_0606900 | organism=Plasmodium_vivax_P01 | gene_product=VPS13 domain-containing protein, putative | transcript_product=VPS13 domain-containing protein, putative | location=PvP01_06_v2:273601-291875(-) | protein_length=5894 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
