#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1122400.1-p1   -           1832 766at5820            -           1071         0 2154.2 136.3   1   5   2.7e-10     2e-07   27.9   7.3     4    80    16    96    11   102 0.73 | transcript=PVP01_1122400.1 | gene=PVP01_1122400 | organism=Plasmodium_vivax_P01 | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=PvP01_11_v2:989074-994572(-) | protein_length=1832 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1122400.1-p1   -           1832 766at5820            -           1071         0 2154.2 136.3   2   5  2.2e-173  1.6e-170  567.9  37.4     5   334   150   511   145   527 0.91 | transcript=PVP01_1122400.1 | gene=PVP01_1122400 | organism=Plasmodium_vivax_P01 | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=PvP01_11_v2:989074-994572(-) | protein_length=1832 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1122400.1-p1   -           1832 766at5820            -           1071         0 2154.2 136.3   3   5   5.2e-26   3.8e-23   80.0   4.3   325   378   580   633   556   654 0.84 | transcript=PVP01_1122400.1 | gene=PVP01_1122400 | organism=Plasmodium_vivax_P01 | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=PvP01_11_v2:989074-994572(-) | protein_length=1832 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1122400.1-p1   -           1832 766at5820            -           1071         0 2154.2 136.3   4   5  4.4e-174  3.2e-171  570.2  21.3   372   653   976  1260   908  1272 0.95 | transcript=PVP01_1122400.1 | gene=PVP01_1122400 | organism=Plasmodium_vivax_P01 | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=PvP01_11_v2:989074-994572(-) | protein_length=1832 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1122400.1-p1   -           1832 766at5820            -           1071         0 2154.2 136.3   5   5  1.6e-283  1.2e-280  932.6  33.8   653  1066  1403  1816  1385  1826 0.97 | transcript=PVP01_1122400.1 | gene=PVP01_1122400 | organism=Plasmodium_vivax_P01 | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=PvP01_11_v2:989074-994572(-) | protein_length=1832 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1325900.1-p1   -            708 766at5820            -           1071   6.2e-14   49.5   0.9   1   3   8.1e-13   5.9e-10   36.3   0.1   858   992   384   519   374   520 0.88 | transcript=PVP01_1325900.1 | gene=PVP01_1325900 | organism=Plasmodium_vivax_P01 | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=PvP01_13_v2:1126107-1128233(-) | protein_length=708 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1325900.1-p1   -            708 766at5820            -           1071   6.2e-14   49.5   0.9   2   3   1.2e-06   0.00088   15.8   0.1   858   916   487   545   457   556 0.80 | transcript=PVP01_1325900.1 | gene=PVP01_1325900 | organism=Plasmodium_vivax_P01 | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=PvP01_13_v2:1126107-1128233(-) | protein_length=708 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1325900.1-p1   -            708 766at5820            -           1071   6.2e-14   49.5   0.9   3   3   0.00011      0.08    9.3   0.1   786   890   583   682   576   695 0.75 | transcript=PVP01_1325900.1 | gene=PVP01_1325900 | organism=Plasmodium_vivax_P01 | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=PvP01_13_v2:1126107-1128233(-) | protein_length=708 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0810600.1-p1   -            188 766at5820            -           1071   4.8e-11   39.9   0.4   1   1   8.6e-14   6.2e-11   39.5   0.4   846   928    62   143    18   173 0.77 | transcript=PVP01_0810600.1 | gene=PVP01_0810600 | organism=Plasmodium_vivax_P01 | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=PvP01_08_v2:467502-469232(+) | protein_length=188 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1462900.1-p1   -            309 766at5820            -           1071   7.6e-08   29.3  14.6   1   1   1.5e-10   1.1e-07   28.8  14.6   848   970    57   177    53   195 0.83 | transcript=PVP01_1462900.1 | gene=PVP01_1462900 | organism=Plasmodium_vivax_P01 | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=PvP01_14_v2:2710340-2711269(+) | protein_length=309 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0919600.1-p1   -            366 766at5820            -           1071   7.8e-07   25.9   0.1   1   1   1.6e-09   1.1e-06   25.4   0.1   849   921   278   349   255   355 0.84 | transcript=PVP01_0919600.1 | gene=PVP01_0919600 | organism=Plasmodium_vivax_P01 | gene_product=acyl-CoA-binding protein, putative | transcript_product=acyl-CoA-binding protein, putative | location=PvP01_09_v2:857907-859007(-) | protein_length=366 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
