#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1136200.1-p1   -            818 4367at5820           -            599         0 1148.8  40.6   1   3    1e-227  1.3e-224  745.9   8.4     3   368     2   394     1   400 0.96 | transcript=PVP01_1136200.1 | gene=PVP01_1136200 | organism=Plasmodium_vivax_P01 | gene_product=nucleolar GTP-binding protein 1, putative | transcript_product=nucleolar GTP-binding protein 1, putative | location=PvP01_11_v2:1549548-1552004(-) | protein_length=818 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1136200.1-p1   -            818 4367at5820           -            599         0 1148.8  40.6   2   3   9.1e-89   1.2e-85  286.9  10.6   360   521   543   710   523   715 0.96 | transcript=PVP01_1136200.1 | gene=PVP01_1136200 | organism=Plasmodium_vivax_P01 | gene_product=nucleolar GTP-binding protein 1, putative | transcript_product=nucleolar GTP-binding protein 1, putative | location=PvP01_11_v2:1549548-1552004(-) | protein_length=818 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1136200.1-p1   -            818 4367at5820           -            599         0 1148.8  40.6   3   3   1.1e-40   1.4e-37  128.2   5.6   519   599   734   818   728   818 0.95 | transcript=PVP01_1136200.1 | gene=PVP01_1136200 | organism=Plasmodium_vivax_P01 | gene_product=nucleolar GTP-binding protein 1, putative | transcript_product=nucleolar GTP-binding protein 1, putative | location=PvP01_11_v2:1549548-1552004(-) | protein_length=818 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0521200.1-p1   -            643 4367at5820           -            599   6.9e-18   63.2   0.2   1   2      0.15   1.9e+02   -1.1   2.4   500   539   300   338   289   343 0.81 | transcript=PVP01_0521200.1 | gene=PVP01_0521200 | organism=Plasmodium_vivax_P01 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=PvP01_05_v2:863369-865300(+) | protein_length=643 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0521200.1-p1   -            643 4367at5820           -            599   6.9e-18   63.2   0.2   2   2   5.3e-21   6.9e-18   63.2   0.2   159   301   450   600   425   611 0.86 | transcript=PVP01_0521200.1 | gene=PVP01_0521200 | organism=Plasmodium_vivax_P01 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=PvP01_05_v2:863369-865300(+) | protein_length=643 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1009500.1-p1   -            365 4367at5820           -            599   3.8e-09   34.3   0.3   1   2   1.2e-11   1.6e-08   32.2   0.0   171   293    65   185    58   208 0.78 | transcript=PVP01_1009500.1 | gene=PVP01_1009500 | organism=Plasmodium_vivax_P01 | gene_product=ribosome-interacting GTPase 1, putative | transcript_product=ribosome-interacting GTPase 1, putative | location=PvP01_10_v2:422852-423949(+) | protein_length=365 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1009500.1-p1   -            365 4367at5820           -            599   3.8e-09   34.3   0.3   2   2      0.13   1.7e+02   -0.9   0.3   254   300   214   258   177   263 0.63 | transcript=PVP01_1009500.1 | gene=PVP01_1009500 | organism=Plasmodium_vivax_P01 | gene_product=ribosome-interacting GTPase 1, putative | transcript_product=ribosome-interacting GTPase 1, putative | location=PvP01_10_v2:422852-423949(+) | protein_length=365 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1113000.1-p1   -            367 4367at5820           -            599   1.1e-08   32.7   0.6   1   1   1.7e-11   2.2e-08   31.8   0.1   170   293    63   186    58   217 0.78 | transcript=PVP01_1113000.1 | gene=PVP01_1113000 | organism=Plasmodium_vivax_P01 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=PvP01_11_v2:563234-566336(+) | protein_length=367 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1337300.1-p1   -            570 4367at5820           -            599   9.6e-08   29.7  10.4   1   3      0.96   1.2e+03   -3.7   0.4   519   541    48    70    42    75 0.75 | transcript=PVP01_1337300.1 | gene=PVP01_1337300 | organism=Plasmodium_vivax_P01 | gene_product=GTP-binding protein Obg1, putative | transcript_product=GTP-binding protein Obg1, putative | location=PvP01_13_v2:1604816-1606528(-) | protein_length=570 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1337300.1-p1   -            570 4367at5820           -            599   9.6e-08   29.7  10.4   2   3   1.1e-07   0.00014   19.2   0.0   174   211   228   265   217   288 0.89 | transcript=PVP01_1337300.1 | gene=PVP01_1337300 | organism=Plasmodium_vivax_P01 | gene_product=GTP-binding protein Obg1, putative | transcript_product=GTP-binding protein Obg1, putative | location=PvP01_13_v2:1604816-1606528(-) | protein_length=570 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1337300.1-p1   -            570 4367at5820           -            599   9.6e-08   29.7  10.4   3   3   8.8e-07    0.0012   16.2   2.0   215   339   338   467   324   504 0.74 | transcript=PVP01_1337300.1 | gene=PVP01_1337300 | organism=Plasmodium_vivax_P01 | gene_product=GTP-binding protein Obg1, putative | transcript_product=GTP-binding protein Obg1, putative | location=PvP01_13_v2:1604816-1606528(-) | protein_length=570 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4367at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/4367at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4367at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:41:13 2026
# [ok]
