#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0911800.1-p1   -            505 5961at5820           -            363  2.7e-195  647.0  17.3   1   3   1.3e-38   1.6e-35  121.4   0.1     1    75     1    76     1    87 0.95 | transcript=PVP01_0911800.1 | gene=PVP01_0911800 | organism=Plasmodium_vivax_P01 | gene_product=RNA cytosine C(5)-methyltransferase NSUN2, putative | transcript_product=RNA cytosine C(5)-methyltransferase NSUN2, putative | location=PvP01_09_v2:567415-568932(+) | protein_length=505 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0911800.1-p1   -            505 5961at5820           -            363  2.7e-195  647.0  17.3   2   3  1.3e-143  1.7e-140  466.8   8.3    73   327   173   433   171   437 0.98 | transcript=PVP01_0911800.1 | gene=PVP01_0911800 | organism=Plasmodium_vivax_P01 | gene_product=RNA cytosine C(5)-methyltransferase NSUN2, putative | transcript_product=RNA cytosine C(5)-methyltransferase NSUN2, putative | location=PvP01_09_v2:567415-568932(+) | protein_length=505 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0911800.1-p1   -            505 5961at5820           -            363  2.7e-195  647.0  17.3   3   3   3.1e-21   4.1e-18   64.1   0.1   327   363   469   505   463   505 0.95 | transcript=PVP01_0911800.1 | gene=PVP01_0911800 | organism=Plasmodium_vivax_P01 | gene_product=RNA cytosine C(5)-methyltransferase NSUN2, putative | transcript_product=RNA cytosine C(5)-methyltransferase NSUN2, putative | location=PvP01_09_v2:567415-568932(+) | protein_length=505 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0930100.1-p1   -            641 5961at5820           -            363   5.4e-23   80.2   4.6   1   2   4.7e-08   6.2e-05   20.8   0.5    70   142   248   326   221   344 0.66 | transcript=PVP01_0930100.1 | gene=PVP01_0930100 | organism=Plasmodium_vivax_P01 | gene_product=RNA cytosine C(5)-methyltransferase, putative | transcript_product=RNA cytosine C(5)-methyltransferase, putative | location=PvP01_09_v2:1310745-1312670(-) | protein_length=641 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0930100.1-p1   -            641 5961at5820           -            363   5.4e-23   80.2   4.6   2   2   2.8e-20   3.6e-17   61.0   0.6   207   314   353   458   327   484 0.82 | transcript=PVP01_0930100.1 | gene=PVP01_0930100 | organism=Plasmodium_vivax_P01 | gene_product=RNA cytosine C(5)-methyltransferase, putative | transcript_product=RNA cytosine C(5)-methyltransferase, putative | location=PvP01_09_v2:1310745-1312670(-) | protein_length=641 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0104400.1-p1   -           1116 5961at5820           -            363   3.4e-12   44.7  16.4   1   3   2.3e-07    0.0003   18.5   5.3    44   146    62   164    18   180 0.81 | transcript=PVP01_0104400.1 | gene=PVP01_0104400 | organism=Plasmodium_vivax_P01 | gene_product=RNA cytosine C(5)-methyltransferase, putative | transcript_product=RNA cytosine C(5)-methyltransferase, putative | location=PvP01_01_v2:225097-228447(-) | protein_length=1116 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0104400.1-p1   -           1116 5961at5820           -            363   3.4e-12   44.7  16.4   2   3     3e-14   3.9e-11   41.2   3.3   179   324   288   438   279   449 0.71 | transcript=PVP01_0104400.1 | gene=PVP01_0104400 | organism=Plasmodium_vivax_P01 | gene_product=RNA cytosine C(5)-methyltransferase, putative | transcript_product=RNA cytosine C(5)-methyltransferase, putative | location=PvP01_01_v2:225097-228447(-) | protein_length=1116 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0104400.1-p1   -           1116 5961at5820           -            363   3.4e-12   44.7  16.4   3   3         3   3.9e+03   -4.9   5.3     7   125   809   937   805   944 0.56 | transcript=PVP01_0104400.1 | gene=PVP01_0104400 | organism=Plasmodium_vivax_P01 | gene_product=RNA cytosine C(5)-methyltransferase, putative | transcript_product=RNA cytosine C(5)-methyltransferase, putative | location=PvP01_01_v2:225097-228447(-) | protein_length=1116 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1448800.1-p1   -            376 5961at5820           -            363   6.2e-09   33.9   0.7   1   2   0.00084       1.1    6.8   0.0   116   145   192   221   104   233 0.90 | transcript=PVP01_1448800.1 | gene=PVP01_1448800 | organism=Plasmodium_vivax_P01 | gene_product=RNA cytosine C(5)-methyltransferase, putative | transcript_product=RNA cytosine C(5)-methyltransferase, putative | location=PvP01_14_v2:2116244-2117610(+) | protein_length=376 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1448800.1-p1   -            376 5961at5820           -            363   6.2e-09   33.9   0.7   2   2   1.4e-09   1.8e-06   25.9   0.3   196   337   229   373   221   376 0.82 | transcript=PVP01_1448800.1 | gene=PVP01_1448800 | organism=Plasmodium_vivax_P01 | gene_product=RNA cytosine C(5)-methyltransferase, putative | transcript_product=RNA cytosine C(5)-methyltransferase, putative | location=PvP01_14_v2:2116244-2117610(+) | protein_length=376 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0605600.1-p1   -            536 5961at5820           -            363   3.1e-05   21.8   0.2   1   2    0.0033       4.3    4.8   0.0   111   141   183   213   173   245 0.82 | transcript=PVP01_0605600.1 | gene=PVP01_0605600 | organism=Plasmodium_vivax_P01 | gene_product=rRNA (cytosine-C(5))-methyltransferase, putative | transcript_product=rRNA (cytosine-C(5))-methyltransferase, putative | location=PvP01_06_v2:226050-227855(-) | protein_length=536 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
