#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1214100.1-p1   -            229 11171at5820          -            191  1.5e-125  414.8   1.7   1   1  4.9e-128  1.9e-125  414.5   1.7     1   185     1   185     1   208 0.97 | transcript=PVP01_1214100.1 | gene=PVP01_1214100 | organism=Plasmodium_vivax_P01 | gene_product=ras-related protein Rab-11B, putative | transcript_product=ras-related protein Rab-11B, putative | location=PvP01_12_v2:601290-602627(+) | protein_length=229 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1421400.1-p1   -            216 11171at5820          -            191   3.1e-61  205.0   2.5   1   1   9.5e-64   3.6e-61  204.8   2.5     1   183     3   181     1   192 0.95 | transcript=PVP01_1421400.1 | gene=PVP01_1421400 | organism=Plasmodium_vivax_P01 | gene_product=ras-related protein Rab-11A, putative | transcript_product=ras-related protein Rab-11A, putative | location=PvP01_14_v2:927784-929333(+) | protein_length=216 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1449300.1-p1   -            213 11171at5820          -            191   2.8e-47  159.5   0.1   1   1   8.9e-50   3.4e-47  159.2   0.1     6   181     4   173     1   183 0.96 | transcript=PVP01_1449300.1 | gene=PVP01_1449300 | organism=Plasmodium_vivax_P01 | gene_product=ras-related protein Rab-2, putative | transcript_product=ras-related protein Rab-2, putative | location=PvP01_14_v2:2135325-2136787(+) | protein_length=213 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0113100.1-p1   -            201 11171at5820          -            191     8e-44  148.2   1.4   1   1   2.5e-46   9.7e-44  147.9   1.4     3   178     4   174     1   183 0.94 | transcript=PVP01_0113100.1 | gene=PVP01_0113100 | organism=Plasmodium_vivax_P01 | gene_product=ras-related protein Rab-18, putative | transcript_product=ras-related protein Rab-18, putative | location=PvP01_01_v2:591114-592334(-) | protein_length=201 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1021300.1-p1   -            200 11171at5820          -            191   3.1e-43  146.3   1.9   1   1   9.7e-46   3.7e-43  146.0   1.9     3   179     2   173     1   185 0.95 | transcript=PVP01_1021300.1 | gene=PVP01_1021300 | organism=Plasmodium_vivax_P01 | gene_product=ras-related protein Rab-1B, putative | transcript_product=ras-related protein Rab-1B, putative | location=PvP01_10_v2:912112-913699(-) | protein_length=200 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0945600.1-p1   -            207 11171at5820          -            191   1.4e-41  140.9   0.2   1   1   4.5e-44   1.7e-41  140.6   0.2     9   177    11   174     5   191 0.91 | transcript=PVP01_0945600.1 | gene=PVP01_0945600 | organism=Plasmodium_vivax_P01 | gene_product=ras-related protein Rab-6, putative | transcript_product=ras-related protein Rab-6, putative | location=PvP01_09_v2:1987820-1989251(-) | protein_length=207 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1020100.1-p1   -            207 11171at5820          -            191   2.1e-41  140.3   1.1   1   1   6.7e-44   2.6e-41  140.0   1.1     3   185     6   183     4   189 0.92 | transcript=PVP01_1020100.1 | gene=PVP01_1020100 | organism=Plasmodium_vivax_P01 | gene_product=ras-related protein Rab-1A, putative | transcript_product=ras-related protein Rab-1A, putative | location=PvP01_10_v2:874174-874797(+) | protein_length=207 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0208000.1-p1   -            194 11171at5820          -            191   2.4e-34  117.3   0.2   1   1   7.5e-37   2.9e-34  117.0   0.2    15   189    13   182    10   184 0.92 | transcript=PVP01_0208000.1 | gene=PVP01_0208000 | organism=Plasmodium_vivax_P01 | gene_product=ras-related protein Rab-5C, putative | transcript_product=ras-related protein Rab-5C, putative | location=PvP01_02_v2:333879-335555(-) | protein_length=194 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1411600.1-p1   -            205 11171at5820          -            191   1.8e-32  111.2   0.1   1   1   6.4e-35   2.5e-32  110.8   0.1     5   176    28   193    24   199 0.95 | transcript=PVP01_1411600.1 | gene=PVP01_1411600 | organism=Plasmodium_vivax_P01 | gene_product=ras-related protein Rab-5B, putative | transcript_product=ras-related protein Rab-5B, putative | location=PvP01_14_v2:524820-526310(-) | protein_length=205 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0701600.1-p1   -            206 11171at5820          -            191   3.4e-29  100.5   0.1   1   1   1.1e-31   4.2e-29  100.2   0.1     7   174     6   173     1   183 0.85 | transcript=PVP01_0701600.1 | gene=PVP01_0701600 | organism=Plasmodium_vivax_P01 | gene_product=ras-related protein RAB7, putative | transcript_product=ras-related protein RAB7, putative | location=PvP01_07_v2:90611-93019(-) | protein_length=206 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0413800.1-p1   -            245 11171at5820          -            191   4.7e-26   90.3   3.5   1   2   3.3e-05     0.013   13.8   0.0     8    52     5    49     1    56 0.92 | transcript=PVP01_0413800.1 | gene=PVP01_0413800 | organism=Plasmodium_vivax_P01 | gene_product=ras-related protein Rab-5A, putative | transcript_product=ras-related protein Rab-5A, putative | location=PvP01_04_v2:557635-558372(+) | protein_length=245 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
