#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0704300.1-p1   -           1013 1972at5820           -            810         0 1695.8  70.6   1   2         0         0 1084.1  34.1     1   482     1   496     1   520 0.98 | transcript=PVP01_0704300.1 | gene=PVP01_0704300 | organism=Plasmodium_vivax_P01 | gene_product=coatomer subunit beta, putative | transcript_product=coatomer subunit beta, putative | location=PvP01_07_v2:258401-261442(-) | protein_length=1013 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0704300.1-p1   -           1013 1972at5820           -            810         0 1695.8  70.6   2   2  3.9e-188  1.2e-185  617.8  28.5   480   810   530   894   522   894 0.95 | transcript=PVP01_0704300.1 | gene=PVP01_0704300 | organism=Plasmodium_vivax_P01 | gene_product=coatomer subunit beta, putative | transcript_product=coatomer subunit beta, putative | location=PvP01_07_v2:258401-261442(-) | protein_length=1013 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1142200.1-p1   -           1399 1972at5820           -            810   1.5e-43  147.8   3.5   1   5     1e-25   3.1e-23   80.6   0.2    12   173     6   165     2   191 0.92 | transcript=PVP01_1142200.1 | gene=PVP01_1142200 | organism=Plasmodium_vivax_P01 | gene_product=coatomer alpha subunit, putative | transcript_product=coatomer alpha subunit, putative | location=PvP01_11_v2:1787120-1791935(-) | protein_length=1399 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1142200.1-p1   -           1399 1972at5820           -            810   1.5e-43  147.8   3.5   2   5     8e-25   2.4e-22   77.7   0.3   182   331   241   391   223   398 0.91 | transcript=PVP01_1142200.1 | gene=PVP01_1142200 | organism=Plasmodium_vivax_P01 | gene_product=coatomer alpha subunit, putative | transcript_product=coatomer alpha subunit, putative | location=PvP01_11_v2:1787120-1791935(-) | protein_length=1399 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1142200.1-p1   -           1399 1972at5820           -            810   1.5e-43  147.8   3.5   3   5       1.9   5.6e+02   -2.9   0.0   629   664   411   450   392   459 0.75 | transcript=PVP01_1142200.1 | gene=PVP01_1142200 | organism=Plasmodium_vivax_P01 | gene_product=coatomer alpha subunit, putative | transcript_product=coatomer alpha subunit, putative | location=PvP01_11_v2:1787120-1791935(-) | protein_length=1399 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1142200.1-p1   -           1399 1972at5820           -            810   1.5e-43  147.8   3.5   4   5       2.5   7.5e+02   -3.4   1.0   437   469   599   633   516   720 0.56 | transcript=PVP01_1142200.1 | gene=PVP01_1142200 | organism=Plasmodium_vivax_P01 | gene_product=coatomer alpha subunit, putative | transcript_product=coatomer alpha subunit, putative | location=PvP01_11_v2:1787120-1791935(-) | protein_length=1399 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1142200.1-p1   -           1399 1972at5820           -            810   1.5e-43  147.8   3.5   5   5     0.027       8.1    3.2   5.4   581   715   782   923   770   932 0.72 | transcript=PVP01_1142200.1 | gene=PVP01_1142200 | organism=Plasmodium_vivax_P01 | gene_product=coatomer alpha subunit, putative | transcript_product=coatomer alpha subunit, putative | location=PvP01_11_v2:1787120-1791935(-) | protein_length=1399 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0946700.1-p1   -            660 1972at5820           -            810   1.6e-21   74.9  19.3   1   4     8e-12   2.4e-09   34.7   0.4   177   283   109   213    41   227 0.90 | transcript=PVP01_0946700.1 | gene=PVP01_0946700 | organism=Plasmodium_vivax_P01 | gene_product=ribosome assembly protein 4, putative | transcript_product=ribosome assembly protein 4, putative | location=PvP01_09_v2:2037475-2039457(-) | protein_length=660 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0946700.1-p1   -            660 1972at5820           -            810   1.6e-21   74.9  19.3   2   4   6.4e-08   1.9e-05   21.8   1.6   158   244   341   423   332   440 0.83 | transcript=PVP01_0946700.1 | gene=PVP01_0946700 | organism=Plasmodium_vivax_P01 | gene_product=ribosome assembly protein 4, putative | transcript_product=ribosome assembly protein 4, putative | location=PvP01_09_v2:2037475-2039457(-) | protein_length=660 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0946700.1-p1   -            660 1972at5820           -            810   1.6e-21   74.9  19.3   3   4   7.3e-08   2.2e-05   21.6   1.3   185   265   490   568   431   575 0.82 | transcript=PVP01_0946700.1 | gene=PVP01_0946700 | organism=Plasmodium_vivax_P01 | gene_product=ribosome assembly protein 4, putative | transcript_product=ribosome assembly protein 4, putative | location=PvP01_09_v2:2037475-2039457(-) | protein_length=660 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0946700.1-p1   -            660 1972at5820           -            810   1.6e-21   74.9  19.3   4   4    0.0015      0.46    7.3   0.1   178   220   619   659   609   660 0.84 | transcript=PVP01_0946700.1 | gene=PVP01_0946700 | organism=Plasmodium_vivax_P01 | gene_product=ribosome assembly protein 4, putative | transcript_product=ribosome assembly protein 4, putative | location=PvP01_09_v2:2037475-2039457(-) | protein_length=660 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
